osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,access,bridge
4231559,4,Xavierville Avenue,secondary,40,False,True,251.94299999999998,"LINESTRING (121.0729669 14.6341111, 121.0728945 14.6341339, 121.0724867 14.634262, 121.0722725 14.6343293, 121.0721653 14.634363, 121.0717647 14.6344889, 121.0716642 14.6345205, 121.0713779 14.6345938, 121.0710551 14.6346961, 121.0707356 14.6347974)",,,,
25739302,2,Esteban Abada Street,residential,,True,False,61.072,"LINESTRING (121.0729669 14.6341111, 121.0729612 14.6339996, 121.0729395 14.6335625)",,,,
25739303,2,Xavierville Avenue,secondary,40,False,False,131.121,"LINESTRING (121.0729669 14.6341111, 121.0730761 14.6340823, 121.0741428 14.6338012)",,,,
138252953,2,Esteban Abada Street,residential,30,False,False,148.41,"LINESTRING (121.0729669 14.6341111, 121.0729713 14.6341716, 121.073022 14.6348833, 121.073035 14.6350328, 121.0730543 14.635443)",,,,
657272007,2,Katipunan Avenue,primary,60,True,False,19.183,"LINESTRING (121.0743251 14.6317342, 121.074334 14.6319065)",11,,,
1078018162,4,Marcos Highway,primary,60,True,False,18.336,"LINESTRING (121.0743251 14.6317342, 121.0744739 14.6318146)",59,,,
158979037,3,Marcos Highway,primary,60,True,False,168.603,"LINESTRING (121.0758799 14.6325063, 121.0759749 14.6325363, 121.0761151 14.6325806, 121.0763197 14.632608, 121.0765801 14.6325935, 121.0768686 14.6325278, 121.0771262 14.632438, 121.0772747 14.6323627, 121.0773717 14.6323039)",59,,,
28483225,2,Banaba Street,residential,,False,False,54.596,"LINESTRING (121.0687014 14.6325363, 121.0689929 14.6329382)",,,,
4308773,2,Narra Street,tertiary,30,False,True,246.05399999999997,"LINESTRING (121.0687014 14.6325363, 121.0688588 14.632407, 121.0688961 14.6323633, 121.0689996 14.6322418, 121.0691342 14.6319946, 121.0691863 14.6319012, 121.06923 14.6318008, 121.0695249 14.6313007, 121.0698196 14.6307003, 121.0698468 14.630642)",,,,
244383458,2,Molave Street,tertiary,30,False,True,64.632,"LINESTRING (121.0698468 14.630642, 121.0693035 14.630394)",,,,
481342219,2,Molave Street,tertiary,30,False,False,85.379,"LINESTRING (121.0698468 14.630642, 121.0705609 14.6309769)",,,,
4308773,2,Narra Street,tertiary,30,False,False,246.05399999999997,"LINESTRING (121.0698468 14.630642, 121.0698196 14.6307003, 121.0695249 14.6313007, 121.06923 14.6318008, 121.0691863 14.6319012, 121.0691342 14.6319946, 121.0689996 14.6322418, 121.0688961 14.6323633, 121.0688588 14.632407, 121.0687014 14.6325363)",,,,
609205086,2,Katipunan Avenue,primary,60,True,False,17.923,"LINESTRING (121.0740667 14.6317615, 121.0740613 14.6316004)",11,,,
940348143,4,Aurora Boulevard,primary,60,True,False,30.761,"LINESTRING (121.0740667 14.6317615, 121.0738146 14.631631)",59,,,
