osmid,highway,oneway,reversed,length,ref,name,bridge,geometry,lanes
278584718,residential,False,True,68.41,,,,"LINESTRING (122.7041233 10.8931282, 122.7045211 10.8936035)",
653509731,primary,False,False,60.893,SRNH,Barotac Nuevo-Dumangas Road,,"LINESTRING (122.7041233 10.8931282, 122.7036973 10.8934816)",
653509731,primary,False,True,45.476,SRNH,Barotac Nuevo-Dumangas Road,,"LINESTRING (122.7041233 10.8931282, 122.7044494 10.8928738)",
168239681,tertiary,False,True,59.982,,Iloilo East Coast Road,,"LINESTRING (122.7026576 10.8943439, 122.7029874 10.8947753)",
1010879855,primary,False,False,93.607,508,J.T. Bretaña Street,,"LINESTRING (122.7026576 10.8943439, 122.7020231 10.89491)",
1010879855,primary,False,True,148.6,508,J.T. Bretaña Street,,"LINESTRING (122.7026576 10.8943439, 122.7036973 10.8934816)",
168239681,tertiary,False,False,73.281,,Iloilo East Coast Road,,"LINESTRING (122.7039897 10.8962015, 122.7036085 10.8956591)",
168239681,tertiary,False,True,63.093,,Iloilo East Coast Road,,"LINESTRING (122.7039897 10.8962015, 122.7044493 10.8958576)",
246670182,residential,False,True,89.988,,,,"LINESTRING (122.7039897 10.8962015, 122.7033359 10.8966942)",
624585112,primary,False,True,65.127,508,Iloilo East Coast Road,,"LINESTRING (122.7036973 10.8934816, 122.7040678 10.8939406)",
653509731,primary,False,True,60.893,SRNH,Barotac Nuevo-Dumangas Road,,"LINESTRING (122.7036973 10.8934816, 122.7041233 10.8931282)",
1010879855,primary,False,False,148.6,508,J.T. Bretaña Street,,"LINESTRING (122.7036973 10.8934816, 122.7026576 10.8943439)",
"[246668057, 653506676, 653506677, 246668655]",tertiary,False,"[False, True]",211.725,,,yes,"LINESTRING (122.7036973 10.8934816, 122.7033752 10.8930884, 122.7033304 10.8930337, 122.7032054 10.8928862, 122.7027162 10.8923093, 122.7025647 10.8922119, 122.7023649 10.8921404)",
168239681,tertiary,False,False,63.093,,Iloilo East Coast Road,,"LINESTRING (122.7044493 10.8958576, 122.7039897 10.8962015)",
624585112,primary,False,False,97.55899999999998,508,Iloilo East Coast Road,,"LINESTRING (122.7044493 10.8958576, 122.7049738 10.8954558, 122.7050865 10.8953741, 122.7051066 10.8952898)",
624585112,primary,False,True,133.34400000000002,508,Iloilo East Coast Road,,"LINESTRING (122.7044493 10.8958576, 122.7045191 10.8959789, 122.7050208 10.8967824, 122.7050779 10.8968855)",
304385605,secondary,False,True,70.56700000000001,,Guintas-Barotac Nuevo Road,,"LINESTRING (122.7051066 10.8952898, 122.7053636 10.8951118, 122.705617 10.8949015)",2
624585112,primary,False,False,64.12,508,Iloilo East Coast Road,,"LINESTRING (122.7051066 10.8952898, 122.7050582 10.8952076, 122.7049815 10.8951037, 122.7047693 10.8948183)",
624585112,primary,False,True,97.559,508,Iloilo East Coast Road,,"LINESTRING (122.7051066 10.8952898, 122.7050865 10.8953741, 122.7049738 10.8954558, 122.7044493 10.8958576)",
304385605,secondary,False,False,43.603,,Guintas-Barotac Nuevo Road,,"LINESTRING (122.7064187 10.8943392, 122.7060878 10.8945587)",2
304385605,secondary,False,True,79.821,,Guintas-Barotac Nuevo Road,,"LINESTRING (122.7064187 10.8943392, 122.7070311 10.8939472)",2
1023415470,residential,False,True,80.75,,,,"LINESTRING (122.7064187 10.8943392, 122.7068259 10.8949454)",
246668046,residential,False,False,139.487,,,,"LINESTRING (122.7051624 10.8922725, 122.7059159 10.8929663, 122.706101 10.8931232)",
653509731,primary,False,False,102.62700000000001,SRNH,Barotac Nuevo-Dumangas Road,,"LINESTRING (122.7051624 10.8922725, 122.7049988 10.8924147, 122.7044494 10.8928738)",
246668046,residential,False,True,74.885,,,,"LINESTRING (122.7070311 10.8939472, 122.7065283 10.8934892)",
304385605,secondary,False,False,79.821,,Guintas-Barotac Nuevo Road,,"LINESTRING (122.7070311 10.8939472, 122.7064187 10.8943392)",2
624585112,primary,False,False,58.477,508,Iloilo East Coast Road,,"LINESTRING (122.7043814 10.8943669, 122.7040678 10.8939406)",
624585112,primary,False,True,51.662,508,Iloilo East Coast Road,,"LINESTRING (122.7043814 10.8943669, 122.7046883 10.8947205)",
246668048,residential,False,True,66.81,,,,"LINESTRING (122.7043814 10.8943669, 122.7044827 10.8942867, 122.7048757 10.8940131)",
246668050,residential,False,False,62.741,,,,"LINESTRING (122.7056854 10.8940925, 122.7052531 10.8944642)",
246672851,residential,False,False,8.814,,,,"LINESTRING (122.7056854 10.8940925, 122.7057367 10.8941537)",
246673090,residential,False,False,58.437,,,,"LINESTRING (122.7056854 10.8940925, 122.7053294 10.8937001)",
246668050,residential,False,True,65.886,,,,"LINESTRING (122.7047693 10.8948183, 122.7052531 10.8944642)",
624585112,primary,False,False,14.017,508,Iloilo East Coast Road,,"LINESTRING (122.7047693 10.8948183, 122.7046883 10.8947205)",
624585112,primary,False,True,64.12,508,Iloilo East Coast Road,,"LINESTRING (122.7047693 10.8948183, 122.7049815 10.8951037, 122.7050582 10.8952076, 122.7051066 10.8952898)",
246668048,residential,False,False,40.607,,,,"LINESTRING (122.7051834 10.893808, 122.7048757 10.8940131)",
246668048,residential,False,True,19.952,,,,"LINESTRING (122.7051834 10.893808, 122.7053294 10.8937001)",
246668052,residential,False,False,61.939,,,,"LINESTRING (122.7051834 10.893808, 122.7048332 10.8933698)",
246668052,residential,False,True,69.268,,,,"LINESTRING (122.7044494 10.8928738, 122.7048332 10.8933698)",
653509731,primary,False,False,45.476,SRNH,Barotac Nuevo-Dumangas Road,,"LINESTRING (122.7044494 10.8928738, 122.7041233 10.8931282)",
653509731,primary,False,True,102.62700000000001,SRNH,Barotac Nuevo-Dumangas Road,,"LINESTRING (122.7044494 10.8928738, 122.7049988 10.8924147, 122.7051624 10.8922725)",
246668052,residential,False,False,69.268,,,,"LINESTRING (122.7048332 10.8933698, 122.7044494 10.8928738)",
246668052,residential,False,True,61.939,,,,"LINESTRING (122.7048332 10.8933698, 122.7051834 10.893808)",
246668054,residential,False,False,42.856,,,,"LINESTRING (122.7048332 10.8933698, 122.7045211 10.8936035)",
246668054,residential,False,True,62.088,,,,"LINESTRING (122.7040678 10.8939406, 122.7045211 10.8936035)",
