osmid,highway,oneway,reversed,length,geometry,ref,name
246784219,residential,False,False,60.579,"LINESTRING (124.3370631 9.9834999, 124.337161 9.9840361)",,
246762037,tertiary,False,False,167.155,"LINESTRING (124.3370631 9.9834999, 124.3372051 9.983506, 124.338588 9.9835659)",,
384776456,primary,False,False,45.505,"LINESTRING (124.338588 9.9835659, 124.3386111 9.9839745)",852,Loay Interior Road
246762037,tertiary,False,True,167.155,"LINESTRING (124.338588 9.9835659, 124.3372051 9.983506, 124.3370631 9.9834999)",,
384776456,primary,False,False,101.789,"LINESTRING (124.3386111 9.9839745, 124.3386726 9.9848879)",852,Loay Interior Road
384776456,primary,False,True,45.505,"LINESTRING (124.3386111 9.9839745, 124.338588 9.9835659)",852,Loay Interior Road
246784190,residential,False,True,158.95000000000002,"LINESTRING (124.3386111 9.9839745, 124.3372966 9.9840303, 124.337161 9.9840361)",,
246784219,residential,False,False,130.961,"LINESTRING (124.337161 9.9840361, 124.3374232 9.9851852)",,
246784219,residential,False,True,60.579,"LINESTRING (124.337161 9.9840361, 124.3370631 9.9834999)",,
246784190,residential,False,False,158.95000000000002,"LINESTRING (124.337161 9.9840361, 124.3372966 9.9840303, 124.3386111 9.9839745)",,
384776456,primary,False,False,16.348,"LINESTRING (124.3386726 9.9848879, 124.3386825 9.9850346)",852,Loay Interior Road
384776456,primary,False,True,101.789,"LINESTRING (124.3386726 9.9848879, 124.3386111 9.9839745)",852,Loay Interior Road
246784191,residential,False,False,283.634,"LINESTRING (124.3386726 9.9848879, 124.3400289 9.9848144, 124.3400954 9.9848299, 124.3401517 9.9849699, 124.3402277 9.9859622)",,
246784217,residential,False,True,138.92,"LINESTRING (124.3386825 9.9850346, 124.3374232 9.9851852)",,
384776456,primary,False,False,105.674,"LINESTRING (124.3386825 9.9850346, 124.33873 9.9859838)",852,Loay Interior Road
384776456,primary,False,True,16.348,"LINESTRING (124.3386825 9.9850346, 124.3386726 9.9848879)",852,Loay Interior Road
246784217,residential,False,False,138.92,"LINESTRING (124.3374232 9.9851852, 124.3386825 9.9850346)",,
246784217,residential,False,True,84.408,"LINESTRING (124.3374232 9.9851852, 124.3367131 9.9854804)",,
246784219,residential,False,False,97.469,"LINESTRING (124.3374232 9.9851852, 124.3376234 9.9860393)",,
246784219,residential,False,True,130.961,"LINESTRING (124.3374232 9.9851852, 124.337161 9.9840361)",,
246784217,residential,False,False,96.681,"LINESTRING (124.3349094 9.9852948, 124.3357824 9.9854243)",,
246784215,residential,False,False,321.56,"LINESTRING (124.3349094 9.9852948, 124.3347209 9.9862826, 124.3365182 9.9863978, 124.3366326 9.9863898)",,
246784217,residential,False,False,17.07,"LINESTRING (124.3357824 9.9854243, 124.3359379 9.9854349)",,
246784217,residential,False,True,96.681,"LINESTRING (124.3357824 9.9854243, 124.3349094 9.9852948)",,
"[246784208, 246784202, 384771546]",residential,False,True,204.74699999999999,"LINESTRING (124.3357824 9.9854243, 124.3358174 9.9850926, 124.3358728 9.9850443, 124.336748 9.9849185, 124.3367546 9.9849844, 124.3367131 9.9854804)",,
246784217,residential,False,True,17.07,"LINESTRING (124.3359379 9.9854349, 124.3357824 9.9854243)",,
"[246784216, 384771547]",residential,False,False,127.092,"LINESTRING (124.3359379 9.9854349, 124.3359064 9.9857239, 124.3360097 9.9859012, 124.3366667 9.9859343)",,
246784217,residential,False,False,85.043,"LINESTRING (124.3359379 9.9854349, 124.336353 9.985458, 124.3367131 9.9854804)",,
246784208,residential,False,True,50.727,"LINESTRING (124.3367131 9.9854804, 124.3366667 9.9859343)",,
246784217,residential,False,False,84.408,"LINESTRING (124.3367131 9.9854804, 124.3374232 9.9851852)",,
"[246784208, 384771546, 246784202]",residential,False,False,204.747,"LINESTRING (124.3367131 9.9854804, 124.3367546 9.9849844, 124.336748 9.9849185, 124.3358728 9.9850443, 124.3358174 9.9850926, 124.3357824 9.9854243)",,
246784217,residential,False,True,85.043,"LINESTRING (124.3367131 9.9854804, 124.336353 9.985458, 124.3359379 9.9854349)",,
246784208,residential,False,False,50.727,"LINESTRING (124.3366667 9.9859343, 124.3367131 9.9854804)",,
246784208,residential,False,True,50.787,"LINESTRING (124.3366667 9.9859343, 124.3366326 9.9863898)",,
384771547,residential,False,False,47.391,"LINESTRING (124.3366667 9.9859343, 124.3370948 9.9859966)",,
"[246784216, 384771547]",residential,False,True,127.09200000000001,"LINESTRING (124.3366667 9.9859343, 124.3360097 9.9859012, 124.3359064 9.9857239, 124.3359379 9.9854349)",,
246784192,residential,False,False,84.256,"LINESTRING (124.3370948 9.9859966, 124.3371731 9.9867504)",,
384771547,residential,False,False,58.082,"LINESTRING (124.3370948 9.9859966, 124.3376234 9.9860393)",,
384771547,residential,False,True,47.391,"LINESTRING (124.3370948 9.9859966, 124.3366667 9.9859343)",,
384776456,primary,False,False,16.773,"LINESTRING (124.33873 9.9859838, 124.3387336 9.9861346)",852,Loay Interior Road
384776456,primary,False,True,105.674,"LINESTRING (124.33873 9.9859838, 124.3386825 9.9850346)",852,Loay Interior Road
384771547,residential,False,True,121.43299999999999,"LINESTRING (124.33873 9.9859838, 124.338438 9.9860172, 124.338014 9.986029, 124.3376234 9.9860393)",,
246784219,residential,False,False,69.589,"LINESTRING (124.3376234 9.9860393, 124.337802 9.9866399)",,
246784219,residential,False,True,97.469,"LINESTRING (124.3376234 9.9860393, 124.3374232 9.9851852)",,
384771547,residential,False,True,58.082,"LINESTRING (124.3376234 9.9860393, 124.3370948 9.9859966)",,
384771547,residential,False,False,121.43299999999999,"LINESTRING (124.3376234 9.9860393, 124.338014 9.986029, 124.338438 9.9860172, 124.33873 9.9859838)",,
246784208,residential,False,False,50.787,"LINESTRING (124.3366326 9.9863898, 124.3366667 9.9859343)",,
246784215,residential,False,False,71.493,"LINESTRING (124.3366326 9.9863898, 124.3371731 9.9867504)",,
246784215,residential,False,True,321.56,"LINESTRING (124.3366326 9.9863898, 124.3365182 9.9863978, 124.3347209 9.9862826, 124.3349094 9.9852948)",,
384776456,primary,False,False,40.282,"LINESTRING (124.3387949 9.9865426, 124.3388978 9.9868904)",852,Loay Interior Road
246784206,residential,False,True,110.13999999999999,"LINESTRING (124.3387949 9.9865426, 124.3385021 9.9865338, 124.3380596 9.9866242, 124.3379557 9.986649, 124.337802 9.9866399)",,
384776456,primary,False,True,45.958999999999996,"LINESTRING (124.3387949 9.9865426, 124.3387817 9.9865074, 124.3387336 9.9861346)",852,Loay Interior Road
156451526,unclassified,False,False,50.567,"LINESTRING (124.3402896 9.9865699, 124.3398329 9.986637)",,
246784203,residential,False,False,67.912,"LINESTRING (124.3402896 9.9865699, 124.3402277 9.9859622)",,
246784203,residential,False,True,108.878,"LINESTRING (124.3402896 9.9865699, 124.3403743 9.9875455)",,
246784219,residential,False,True,69.589,"LINESTRING (124.337802 9.9866399, 124.3376234 9.9860393)",,
246784206,residential,False,False,110.14,"LINESTRING (124.337802 9.9866399, 124.3379557 9.986649, 124.3380596 9.9866242, 124.3385021 9.9865338, 124.3387949 9.9865426)",,
246784219,residential,False,False,59.725,"LINESTRING (124.337802 9.9866399, 124.337896 9.9869747, 124.3379576 9.9871545)",,
246784192,residential,False,True,84.256,"LINESTRING (124.3371731 9.9867504, 124.3370948 9.9859966)",,
246784215,residential,False,True,71.493,"LINESTRING (124.3371731 9.9867504, 124.3366326 9.9863898)",,
