osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,lanes
283480828,residential,False,True,90.73700000000001,"LINESTRING (122.6048014 11.4921459, 122.6044653 11.4926038, 122.6044047 11.4927476, 122.6043893 11.4928428)",,,,
283480831,residential,False,True,158.654,"LINESTRING (122.6048014 11.4921459, 122.6050051 11.492328, 122.6056999 11.492816, 122.6059665 11.4929989)",,,,
283480814,residential,False,False,355.205,"LINESTRING (122.6066118 11.4924916, 122.6063947 11.4923897, 122.6061049 11.4921295, 122.6058147 11.4919152, 122.6056834 11.4916516, 122.6054415 11.491502, 122.6050164 11.4912956, 122.6050023 11.491043, 122.6056911 11.490925, 122.6059361 11.4909397)",,,,
283480818,residential,False,False,203.49,"LINESTRING (122.6066118 11.4924916, 122.6066588 11.4923654, 122.6066548 11.4921643, 122.6065837 11.4919199, 122.6064626 11.4917746, 122.6060998 11.4915393, 122.6060097 11.4913617, 122.6059361 11.4909397)",,,,
283480818,residential,False,True,90.203,"LINESTRING (122.6066118 11.4924916, 122.6063947 11.4926453, 122.6061936 11.4928141, 122.6059665 11.4929989)",,,,
283480818,residential,False,False,90.203,"LINESTRING (122.6059665 11.4929989, 122.6061936 11.4928141, 122.6063947 11.4926453, 122.6066118 11.4924916)",,,,
283480820,residential,False,True,111.545,"LINESTRING (122.6059665 11.4929989, 122.6058395 11.4934516, 122.605662 11.4939561)",,,,
283480831,residential,False,False,158.654,"LINESTRING (122.6059665 11.4929989, 122.6056999 11.492816, 122.6050051 11.492328, 122.6048014 11.4921459)",,,,
764877620,primary,False,False,35.834,"LINESTRING (122.6040039 11.4935228, 122.6041578 11.493238)",503,Capiz-Aklan Road,,
283480836,unclassified,False,True,155.02999999999997,"LINESTRING (122.6040039 11.4935228, 122.6043383 11.49366, 122.6045519 11.4938005, 122.6046193 11.4938684, 122.604651 11.4939938, 122.6046496 11.4941654, 122.6045721 11.4945493)",,,,
764877620,primary,False,True,94.396,"LINESTRING (122.6040039 11.4935228, 122.6039591 11.4936039, 122.6036396 11.4942928)",503,Capiz-Aklan Road,,
764866132,primary,False,True,33.42,"LINESTRING (122.605662 11.4939561, 122.6054538 11.4937354)",503,Capiz-Aklan Road,,
"[764862112, 283480813, 764862111]",unclassified,False,False,95.987,"LINESTRING (122.605662 11.4939561, 122.6055768 11.4942192, 122.6055123 11.4944012, 122.6053853 11.4947756)",,,yes,
283480820,residential,False,False,111.545,"LINESTRING (122.605662 11.4939561, 122.6058395 11.4934516, 122.6059665 11.4929989)",,,,
