osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge
56017967,2,Zaragoza - Aliaga Road,trunk_link,40,False,True,73.85,"LINESTRING (120.7901094 15.451917, 120.7899262 15.4515215, 120.7898913 15.4514104, 120.789881 15.4512959)",,,
186245074,2,,trunk_link,40,False,False,82.44,"LINESTRING (120.7901094 15.451917, 120.7906336 15.4516857, 120.7907228 15.4516346, 120.7907916 15.4515803)",,,
155556531,,,residential,,False,True,62.271,"LINESTRING (120.7945983 15.4487235, 120.7943933 15.4481995)",,,
160391552,2,Santa Rosa-Tarlac Road,trunk,50,False,False,61.212,"LINESTRING (120.7945983 15.4487235, 120.7944635 15.4487869, 120.7943902 15.4488214, 120.794103 15.448996)",58,6.1,
"[160391552, 721033668, 762797356]",2,Santa Rosa-Tarlac Road,trunk,50,False,True,136.47299999999998,"LINESTRING (120.7945983 15.4487235, 120.794718 15.4486824, 120.7948158 15.4486489, 120.7950028 15.4485935, 120.7950438 15.4485849, 120.7951978 15.4485588, 120.7953955 15.4485301, 120.7956132 15.448503, 120.795842 15.4485139)",58,6.1,yes
56017967,2,Zaragoza - Aliaga Road,trunk_link,40,False,False,73.85,"LINESTRING (120.789881 15.4512959, 120.7898913 15.4514104, 120.7899262 15.4515215, 120.7901094 15.451917)",,,
"[842294370, 762797357, 160391834]",2,Santa Rosa-Tarlac Road,trunk,50,False,False,93.152,"LINESTRING (120.789881 15.4512959, 120.7898028 15.45119, 120.7897499 15.4510898, 120.7895655 15.4506766, 120.7895059 15.4505429)",58,"['13.4', '6.1']",
762797357,2,Santa Rosa-Tarlac Road,trunk,50,False,True,107.916,"LINESTRING (120.789881 15.4512959, 120.7900362 15.4514349, 120.7901197 15.4514912, 120.7902926 15.4515636, 120.7905113 15.4515984, 120.7906531 15.4516056, 120.7907916 15.4515803)",58,13.4,
186245074,2,,trunk_link,40,False,True,82.44,"LINESTRING (120.7907916 15.4515803, 120.7907228 15.4516346, 120.7906336 15.4516857, 120.7901094 15.451917)",,,
762797357,2,Santa Rosa-Tarlac Road,trunk,50,False,False,107.91600000000001,"LINESTRING (120.7907916 15.4515803, 120.7906531 15.4516056, 120.7905113 15.4515984, 120.7902926 15.4515636, 120.7901197 15.4514912, 120.7900362 15.4514349, 120.789881 15.4512959)",58,13.4,
"[160391715, 762797357, 762797358]",2,Santa Rosa-Tarlac Road,trunk,50,False,True,132.047,"LINESTRING (120.7907916 15.4515803, 120.7911094 15.4514654, 120.7912444 15.4514073, 120.791457 15.4513121, 120.791568 15.4512623, 120.7917746 15.451165, 120.7919151 15.4510954)",58,"['13.4', '6.1']",yes
160391834,2,Santa Rosa-Tarlac Road,trunk,50,False,True,52.797,"LINESTRING (120.7890946 15.4496264, 120.7892972 15.4500592)",58,6.1,
155554089,,,residential,,False,True,132.872,"LINESTRING (120.7890946 15.4496264, 120.7898749 15.4494774, 120.7900437 15.4494475, 120.790315 15.4494214)",,,
