osmid,oneway,lanes,highway,width,reversed,length,geometry,name,bridge
1021030402,False,2,tertiary,6,False,57.33,"LINESTRING (120.6228693 14.9355825, 120.6226145 14.9360355)",,
1021030402,False,2,tertiary,6,True,195.47,"LINESTRING (120.6228693 14.9355825, 120.6237301 14.9340338)",,
"[48487668, 921123575]",True,2,residential,"['5', '6']",False,245.44799999999998,"LINESTRING (120.6228693 14.9355825, 120.6232577 14.9357728, 120.6233436 14.935778, 120.6233947 14.9357188, 120.6235717 14.9355283, 120.6237998 14.9352355, 120.6239052 14.9350766, 120.6241686 14.9346796, 120.6243524 14.9343855)",,
1021030402,False,2,tertiary,6,False,73.464,"LINESTRING (120.6240659 14.9333752, 120.6237638 14.9339679)",,
244931750,False,2,secondary,6,True,234.326,"LINESTRING (120.6214396 14.938466, 120.6214717 14.9383677, 120.6216337 14.9378715, 120.6217436 14.9376095, 120.6219035 14.9373299, 120.6220278 14.9370842, 120.6221057 14.9369222, 120.6222171 14.9367025, 120.6223104 14.9365409)",Guagua-Sasmuan Road,
72245258,False,2,residential,4,False,187.78499999999997,"LINESTRING (120.6237576 14.9372257, 120.6237921 14.9371664, 120.6238458 14.937112, 120.6239064 14.9370614, 120.6239697 14.9370019, 120.6240627 14.9369229, 120.6242127 14.9368284, 120.6243484 14.9367359, 120.6245077 14.9366046, 120.6247005 14.9364466, 120.6248156 14.9363492, 120.6249133 14.9362692, 120.6249429 14.9362497, 120.6249677 14.936238, 120.6250039 14.9362296, 120.6250662 14.9362244, 120.625122 14.9362227)",,
72245258,False,2,residential,4,True,140.726,"LINESTRING (120.6237576 14.9372257, 120.6236661 14.9373435, 120.6235522 14.937486, 120.6234737 14.9376149, 120.6234007 14.9377303, 120.6233296 14.937862, 120.6232686 14.9380059, 120.6232518 14.9381315, 120.6232664 14.9382095, 120.623393 14.9382845)",,
"[122957845, 72246612, 72247253]",False,2,residential,4,"[False, True]",131.696,"LINESTRING (120.6237576 14.9372257, 120.6235035 14.9369757, 120.6231086 14.9365569, 120.6230579 14.9365069, 120.6228874 14.9363981)",,yes
1021030402,False,2,tertiary,6,True,8.184,"LINESTRING (120.6223104 14.9365409, 120.6223471 14.9364764)",,
244931750,False,2,secondary,6,False,234.326,"LINESTRING (120.6223104 14.9365409, 120.6222171 14.9367025, 120.6221057 14.9369222, 120.6220278 14.9370842, 120.6219035 14.9373299, 120.6217436 14.9376095, 120.6216337 14.9378715, 120.6214717 14.9383677, 120.6214396 14.938466)",Guagua-Sasmuan Road,
122957711,True,2,residential,4,False,36.733,"LINESTRING (120.6226493 14.9366309, 120.6223471 14.9364764)",,
447617101,False,2,tertiary,4,True,36.394000000000005,"LINESTRING (120.6226493 14.9366309, 120.6228278 14.936458, 120.6228874 14.9363981)",Lele Ilog,
447617101,False,2,tertiary,4,True,17.801,"LINESTRING (120.6228874 14.9363981, 120.6229645 14.9362564)",Lele Ilog,
"[72247253, 72246612, 122957845]",False,2,residential,4,"[False, True]",131.696,"LINESTRING (120.6228874 14.9363981, 120.6230579 14.9365069, 120.6231086 14.9365569, 120.6235035 14.9369757, 120.6237576 14.9372257)",,yes
447617101,False,2,tertiary,4,False,36.394000000000005,"LINESTRING (120.6228874 14.9363981, 120.6228278 14.936458, 120.6226493 14.9366309)",Lele Ilog,
447617101,False,2,tertiary,4,False,17.801,"LINESTRING (120.6229645 14.9362564, 120.6228874 14.9363981)",Lele Ilog,
1021030402,False,2,tertiary,6,False,8.184,"LINESTRING (120.6223471 14.9364764, 120.6223104 14.9365409)",,
