osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,maxspeed
99990641,tertiary,False,False,103.863,,,,"LINESTRING (125.0056004 7.7646067, 125.0064896 7.7642965)",
330189410,trunk,False,False,116.893,4,10,Sayre Highway,"LINESTRING (125.0056004 7.7646067, 125.0059362 7.7656039)",
330189410,trunk,False,True,175.296,4,10,Sayre Highway,"LINESTRING (125.0056004 7.7646067, 125.00507 7.7631204)",
958386125,unclassified,False,True,94.825,,,,"LINESTRING (125.0056004 7.7646067, 125.004789 7.7648911)",
99990641,tertiary,False,True,76.842,,,,"LINESTRING (125.0078527 7.7638669, 125.0071863 7.7640708)",
99990641,tertiary,False,False,119.797,,,,"LINESTRING (125.0078527 7.7638669, 125.0080123 7.7638079, 125.0086981 7.7635981, 125.0088854 7.7635308)",
99990641,tertiary,False,False,7.396,,,,"LINESTRING (125.0088854 7.7635308, 125.0089485 7.7635081)",
182813294,residential,False,False,115.343,,,,"LINESTRING (125.0088854 7.7635308, 125.0092408 7.7645065)",
99990641,tertiary,False,True,119.797,,,,"LINESTRING (125.0088854 7.7635308, 125.0086981 7.7635981, 125.0080123 7.7638079, 125.0078527 7.7638669)",
182813294,residential,False,True,115.343,,,,"LINESTRING (125.0092408 7.7645065, 125.0088854 7.7635308)",
101151858,residential,False,True,84.938,,,,"LINESTRING (125.0088011 7.757386, 125.0080557 7.7571911)",
101151889,primary,False,True,79.557,4,945,Maramag-Maradugao Road,"LINESTRING (125.0004773 7.7643861, 125.0011649 7.7641676)",
851397020,trunk,True,False,100.835,1,10,Sayre Highway,"LINESTRING (125.00508 7.760422, 125.0048836 7.7613077)",
1181452798,unclassified,False,True,12.384,2,,,"LINESTRING (125.00508 7.760422, 125.0049704 7.7603973)",40
101151869,unclassified,False,False,96.077,2,,,"LINESTRING (125.00508 7.760422, 125.0053975 7.7604936, 125.0059307 7.7606119)",40
577422636,tertiary,False,True,182.12,,,,"LINESTRING (125.0042862 7.759541, 125.0046758 7.7579493)",
944910600,tertiary,True,False,93.464,4,,M. H. Del Pilar Street,"LINESTRING (125.0042862 7.759541, 125.0051145 7.7597225)",40
944910601,tertiary,True,False,180.786,4,,,"LINESTRING (125.0042862 7.759541, 125.0041837 7.7599574, 125.0040847 7.7603597, 125.0038911 7.761119)",40
1181452800,unclassified,False,False,94.747,2,,M. H. Del Pilar Street,"LINESTRING (125.0069292 7.7601145, 125.0060898 7.7599293)",40
