osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,bridge,width
68518626,False,2,Jose P. Rizal Street,unclassified,True,60.292,"LINESTRING (121.9773562 13.842157, 121.9774582 13.8422507, 121.9776697 13.8426008)",,,,
246748842,False,2,J. P. Rizal Street,primary,False,82.531,"LINESTRING (121.9773562 13.842157, 121.9773344 13.8420792, 121.9769624 13.8415249)",610,40,,
"[273445761, 273445763, 68518628]",False,2,Route 610,primary,True,299.137,"LINESTRING (121.9773562 13.842157, 121.9773549 13.8422072, 121.9773448 13.8422501, 121.9773167 13.8422983, 121.9772645 13.842352, 121.9768658 13.8426364, 121.9752659 13.8436982, 121.9751769 13.8437574)",610,40,yes,6.6
246748842,False,2,J. P. Rizal Street,primary,True,46.813,"LINESTRING (121.9753527 13.8391809, 121.9756006 13.8395263)",610,40,,
272256064,False,2,Manuel L. Quezon Avenue,residential,False,33.098,"LINESTRING (121.9753527 13.8391809, 121.975102 13.8393522)",,,,
345700949,False,2,Jose P. Rizal Street,residential,False,43.515,"LINESTRING (121.9753527 13.8391809, 121.9751141 13.8388655)",,,,
246748843,False,2,Quezon Avenue,primary,True,34.659000000000006,"LINESTRING (121.9753527 13.8391809, 121.9754885 13.8390905, 121.9756175 13.8390047)",610,40,,
68518614,False,,Meriel Street,residential,False,37.462,"LINESTRING (121.9772464 13.8377063, 121.977027 13.8374453)",,,,
246748843,False,2,Quezon Avenue,primary,True,54.415,"LINESTRING (121.9772464 13.8377063, 121.977525 13.8372985)",610,40,,
246748843,False,2,Quezon Avenue,primary,False,78.807,"LINESTRING (121.9772464 13.8377063, 121.977084 13.8379403, 121.9770515 13.8379819, 121.9770156 13.8380176, 121.9767566 13.8382226)",610,40,,
68518598,False,,V. Tolentino Street,residential,False,66.219,"LINESTRING (121.9758743 13.8375525, 121.9762162 13.8380469)",,,,
68518598,False,,V. Tolentino Street,residential,False,49.118,"LINESTRING (121.9762162 13.8380469, 121.9764772 13.8384087)",,,,
68518598,False,,V. Tolentino Street,residential,True,66.219,"LINESTRING (121.9762162 13.8380469, 121.9758743 13.8375525)",,,,
68518622,False,,R. Vargas Street,residential,False,38.839,"LINESTRING (121.9762162 13.8380469, 121.9759239 13.8382505)",,,,
68518622,False,,R. Vargas Street,residential,True,36.398,"LINESTRING (121.9762162 13.8380469, 121.9764859 13.8378505)",,,,
68518598,False,,V. Tolentino Street,residential,False,48.342,"LINESTRING (121.9764772 13.8384087, 121.9767273 13.8387693)",,,,
