osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,ref,bridge
53657111,residential,False,True,247.95600000000002,"LINESTRING (120.9088875 14.8181108, 120.9089311 14.8181414, 120.9090183 14.8181796, 120.9099343 14.8185414, 120.9099792 14.8185556, 120.9110554 14.8188564)",,,,,
1020799986,unclassified,False,False,41.922,"LINESTRING (120.9088875 14.8181108, 120.9087536 14.8183118, 120.9086777 14.8184286)",2,P. Castro Street,30,,
1020799986,unclassified,False,True,59.599,"LINESTRING (120.9083384 14.8188525, 120.9086777 14.8184286)",2,P. Castro Street,30,,
33740725,tertiary,False,False,309.958,"LINESTRING (120.9083384 14.8188525, 120.9079494 14.8193264, 120.9079193 14.8193595, 120.9075971 14.8198465, 120.9074378 14.8201633, 120.9072626 14.82055, 120.9072568 14.8205652, 120.9069537 14.821277)",2,P. Castro Street,30,,
47499577,tertiary,False,True,114.414,"LINESTRING (120.9083384 14.8188525, 120.9080205 14.8185867, 120.9076631 14.8182749, 120.9075451 14.8181667)",2,F. Sison Street,30,,
1020799986,unclassified,False,False,59.599,"LINESTRING (120.9086777 14.8184286, 120.9083384 14.8188525)",2,P. Castro Street,30,,
33049287,residential,False,False,255.469,"LINESTRING (120.9086777 14.8184286, 120.909711 14.8188363, 120.9098686 14.8188947, 120.9103514 14.8190697, 120.9108201 14.8192295, 120.9108932 14.8192587)",,G. Atienza Street,,,
1020799986,unclassified,False,True,41.922,"LINESTRING (120.9086777 14.8184286, 120.9087536 14.8183118, 120.9088875 14.8181108)",2,P. Castro Street,30,,
33049287,residential,False,True,102.177,"LINESTRING (120.9117877 14.8195695, 120.9108932 14.8192587)",,G. Atienza Street,,,
48359395,residential,False,True,59.165,"LINESTRING (120.9117877 14.8195695, 120.9121904 14.8192068)",,,,,
33329020,residential,False,True,63.351,"LINESTRING (120.9117877 14.8195695, 120.9119318 14.8196252, 120.9121397 14.8197037, 120.9123395 14.8197691)",,,,,
48359395,residential,False,False,59.165,"LINESTRING (120.9121904 14.8192068, 120.9117877 14.8195695)",,,,,
53657111,residential,False,False,128.098,"LINESTRING (120.9121904 14.8192068, 120.911622 14.8190418, 120.9110554 14.8188564)",,,,,
829581912,residential,False,False,188.196,"LINESTRING (120.9121904 14.8192068, 120.9122416 14.8191598, 120.9122758 14.8191027, 120.9123174 14.8189702, 120.9123764 14.8187352, 120.912357 14.8186801, 120.9123322 14.8186516, 120.912304 14.8186263, 120.912243 14.8186017, 120.9120331 14.8185572, 120.9119764 14.8185598, 120.9119332 14.8185841, 120.9118688 14.8186626, 120.9118299 14.8186781, 120.9117146 14.8186756, 120.9115389 14.8186516, 120.9114806 14.8186347, 120.9114148 14.8185861, 120.911384 14.8185692, 120.9113143 14.81854)",,,,,
33049725,residential,False,False,44.762,"LINESTRING (120.9108607 14.8141968, 120.9107773 14.8140461, 120.9107048 14.8139238, 120.9106582 14.8138451)",2,,,,
33049725,residential,False,True,52.223,"LINESTRING (120.9108607 14.8141968, 120.9109502 14.8142966, 120.9111396 14.8145108, 120.9111825 14.8145481)",2,,,,
48845421,residential,False,False,131.95800000000003,"LINESTRING (120.9108607 14.8141968, 120.9108958 14.8141669, 120.9111757 14.8139064, 120.9113002 14.8138052, 120.9117992 14.8134341)",,,,,
"[48845419, 48845421]",residential,False,True,132.26800000000003,"LINESTRING (120.9108607 14.8141968, 120.9107718 14.8142434, 120.9101572 14.8143845, 120.9101331 14.8143854, 120.9101053 14.8143789, 120.9100875 14.8143611, 120.9100905 14.8143254, 120.9101459 14.8139598)",,,,,
48845421,residential,False,True,131.958,"LINESTRING (120.9117992 14.8134341, 120.9113002 14.8138052, 120.9111757 14.8139064, 120.9108958 14.8141669, 120.9108607 14.8141968)",,,,,
47376335,residential,False,True,56.529,"LINESTRING (120.9101459 14.8139598, 120.9106582 14.8138451)",,,,,
48845419,residential,False,True,85.455,"LINESTRING (120.9101459 14.8139598, 120.9101746 14.8138063, 120.9101908 14.8137494, 120.910216 14.8136932, 120.9102817 14.8136541, 120.9103582 14.813665, 120.9104185 14.813692, 120.9105415 14.813757, 120.9106582 14.8138451)",,,,,
"[48845419, 48845421]",residential,False,False,132.268,"LINESTRING (120.9101459 14.8139598, 120.9100905 14.8143254, 120.9100875 14.8143611, 120.9101053 14.8143789, 120.9101331 14.8143854, 120.9101572 14.8143845, 120.9107718 14.8142434, 120.9108607 14.8141968)",,,,,
54029926,residential,False,True,66.618,"LINESTRING (120.9056421 14.8208059, 120.9053818 14.8213496)",,,,,
48845423,residential,False,False,150.881,"LINESTRING (120.9056421 14.8208059, 120.905703 14.8208146, 120.9059317 14.8208809, 120.9062275 14.8209729, 120.9065131 14.8210708, 120.9069537 14.821277)",,Milagrosa Street,,,
48845423,residential,False,True,39.028000000000006,"LINESTRING (120.9056421 14.8208059, 120.9054644 14.8207616, 120.9054094 14.8207525, 120.9052873 14.820772)",,Milagrosa Street,,,
33740725,tertiary,False,False,36.56,"LINESTRING (120.9069537 14.821277, 120.9068159 14.8215776)",2,P. Castro Street,30,,
33740725,tertiary,False,True,309.958,"LINESTRING (120.9069537 14.821277, 120.9072568 14.8205652, 120.9072626 14.82055, 120.9074378 14.8201633, 120.9075971 14.8198465, 120.9079193 14.8193595, 120.9079494 14.8193264, 120.9083384 14.8188525)",2,P. Castro Street,30,,
48845423,residential,False,True,150.881,"LINESTRING (120.9069537 14.821277, 120.9065131 14.8210708, 120.9062275 14.8209729, 120.9059317 14.8208809, 120.905703 14.8208146, 120.9056421 14.8208059)",,Milagrosa Street,,,
47374792,residential,False,True,55.138,"LINESTRING (120.9102719 14.8175121, 120.9106377 14.8171645)",,,,,
33078189,residential,False,False,37.582,"LINESTRING (120.9106377 14.8171645, 120.9103607 14.8169583)",2,R. A. Jose Street,,,
47374792,residential,False,False,55.138,"LINESTRING (120.9106377 14.8171645, 120.9102719 14.8175121)",,,,,
47374792,residential,False,True,86.37700000000001,"LINESTRING (120.9106377 14.8171645, 120.9108563 14.8169523, 120.9108841 14.8169418, 120.9109106 14.8169531, 120.9112454 14.8172215)",,,,,
33078189,residential,False,False,6.482,"LINESTRING (120.9095031 14.8162563, 120.9094615 14.8162141)",2,R. A. Jose Street,,,
607465047,trunk,True,False,36.124,"LINESTRING (120.9095031 14.8162563, 120.9092628 14.8164834)",2,MacArthur Highway,60,1,
33078189,residential,False,True,57.997,"LINESTRING (120.9095031 14.8162563, 120.9095614 14.8163107, 120.9099101 14.8165985)",2,R. A. Jose Street,,,
48358962,residential,False,False,93.952,"LINESTRING (120.9085147 14.8153564, 120.90875 14.8152791, 120.9089358 14.8152392, 120.9091809 14.8152283, 120.9093706 14.8152337)",,,,,
608611391,residential,False,False,50.791,"LINESTRING (120.9085147 14.8153564, 120.908625 14.8156506, 120.9086613 14.8157901)",2,Sebastian Street,,,
608611391,residential,False,True,121.66500000000002,"LINESTRING (120.9085147 14.8153564, 120.9084651 14.8153001, 120.9083746 14.815199, 120.9082626 14.8149416, 120.9082358 14.8149059, 120.9082042 14.8148871, 120.9081694 14.8148871, 120.9076908 14.8150591)",2,Sebastian Street,,,
47375677,residential,False,False,215.41000000000003,"LINESTRING (120.9119681 14.8164572, 120.9116167 14.8163516, 120.9114148 14.8162984, 120.9112056 14.8162141, 120.9110004 14.8161039, 120.9108227 14.815971, 120.910629 14.8158336, 120.9105793 14.8157707, 120.910525 14.8156774, 120.9104446 14.8155425, 120.9103782 14.8154161)",,,,,
47375677,residential,False,True,54.598,"LINESTRING (120.9119681 14.8164572, 120.9122387 14.816385, 120.9124448 14.8162926)",,,,,
47375677,residential,False,False,50.122,"LINESTRING (120.9128445 14.8160605, 120.9124448 14.8162926)",,,,,
47375677,residential,False,True,50.122,"LINESTRING (120.9124448 14.8162926, 120.9128445 14.8160605)",,,,,
47375677,residential,False,False,54.598,"LINESTRING (120.9124448 14.8162926, 120.9122387 14.816385, 120.9119681 14.8164572)",,,,,
33740737,unclassified,True,False,7.07,"LINESTRING (120.9080054 14.8170917, 120.9080428 14.817144)",,,30,,
"[607608146, 607465050, 998957150]",trunk,True,False,107.959,"LINESTRING (120.9080054 14.8170917, 120.908066 14.8170624, 120.9084821 14.8168678, 120.9088296 14.8166937, 120.9089032 14.8166568)",2,MacArthur Highway,60,1,yes
