osmid,highway,oneway,reversed,length,geometry,lanes,name,ref,maxspeed,bridge
61110916,residential,False,True,124.16900000000001,"LINESTRING (120.9228153 14.795755, 120.9225293 14.7956592, 120.9217813 14.7952642)",,,,,
163918399,residential,False,False,251.225,"LINESTRING (120.9228153 14.795755, 120.9227577 14.7958557, 120.9226188 14.7960401, 120.9224758 14.7962268, 120.9223255 14.796411, 120.9220426 14.7967494, 120.9218702 14.7969046, 120.9215417 14.7972051, 120.9212676 14.7974323)",1,Bukid,,,
347945072,residential,False,True,113.68,"LINESTRING (120.9228153 14.795755, 120.9229849 14.7954415, 120.9231099 14.7950978, 120.9233449 14.7948955)",1,Bukid,,,
47149089,residential,False,False,77.74799999999999,"LINESTRING (120.9221286 14.7985641, 120.922399 14.7986168, 120.922665 14.7986832, 120.9228307 14.79873)",2,L. Jaena Street,,,
47149089,residential,False,True,73.263,"LINESTRING (120.9221286 14.7985641, 120.9217529 14.7986445, 120.9215773 14.7986885, 120.9214692 14.7987272)",2,L. Jaena Street,,,
1104992255,residential,False,False,158.277,"LINESTRING (120.9221286 14.7985641, 120.9227586 14.7975011, 120.9228437 14.7973207)",,Bukid,,,
33300517,residential,False,False,43.541,"LINESTRING (120.9244137 14.7953153, 120.9248082 14.7954039)",2,A. Bonifacio Street,,,
83716637,residential,False,False,89.738,"LINESTRING (120.9244137 14.7953153, 120.9247584 14.7945803)",,Bukid,,,
"[33300517, 1104992255]",residential,False,True,323.493,"LINESTRING (120.9244137 14.7953153, 120.9238531 14.7951818, 120.9228437 14.7973207)",2,"['A. Bonifacio Street', 'Bukid']",,,
163918401,residential,False,True,416.228,"LINESTRING (120.9244137 14.7953153, 120.9239097 14.7963381, 120.9238048 14.7965563, 120.9233313 14.7975406, 120.9228307 14.79873)",,Bukid,,,
47149089,residential,False,False,48.455,"LINESTRING (120.9228307 14.79873, 120.9232679 14.7988359)",2,L. Jaena Street,,,
47149089,residential,False,True,77.748,"LINESTRING (120.9228307 14.79873, 120.922665 14.7986832, 120.922399 14.7986168, 120.9221286 14.7985641)",2,L. Jaena Street,,,
163918401,residential,False,False,416.228,"LINESTRING (120.9228307 14.79873, 120.9233313 14.7975406, 120.9238048 14.7965563, 120.9239097 14.7963381, 120.9244137 14.7953153)",,Bukid,,,
61110915,residential,False,True,33.595,"LINESTRING (120.9260336 14.792624, 120.9258281 14.7923964)",,,,,
83716635,residential,False,False,45.074,"LINESTRING (120.9260336 14.792624, 120.9259585 14.7927116, 120.9258848 14.79278, 120.9257135 14.7928787)",1,Bukid,,,
83716635,residential,False,True,173.02499999999998,"LINESTRING (120.9260336 14.792624, 120.9260942 14.792528, 120.9263318 14.7920448, 120.9263375 14.7920332, 120.926717 14.7912161)",1,Bukid,,,
163918441,residential,False,True,139.548,"LINESTRING (120.9252746 14.7961735, 120.9248072 14.7973443)",,,,,
"[163918498, 163918420]",residential,False,False,68.649,"LINESTRING (120.9252746 14.7961735, 120.9257124 14.7962822, 120.9256422 14.7964493)",,,,,
"[163918441, 1175961044]",residential,False,"[False, True]",66.633,"LINESTRING (120.9252746 14.7961735, 120.9253268 14.7959992, 120.9253459 14.7958576, 120.9250819 14.7957553)",2,,,,
163918441,residential,False,False,139.548,"LINESTRING (120.9248072 14.7973443, 120.9252746 14.7961735)",,,,,
1081607591,residential,False,True,44.366,"LINESTRING (120.9248072 14.7973443, 120.9246389 14.7977086)",,,,,
163918498,residential,False,True,159.228,"LINESTRING (120.9248072 14.7973443, 120.9250364 14.7974119, 120.925133 14.7974139, 120.9252128 14.7973724, 120.9252811 14.7973083, 120.9256422 14.7964493)",,,,,
163918497,tertiary,True,False,398.40000000000003,"LINESTRING (120.9250819 14.7957553, 120.9246661 14.7966079, 120.9238874 14.7982156, 120.9233217 14.7988069, 120.9232679 14.7988359)",2,P. Burgos Street,,,
"[163918441, 1175961044]",residential,False,"[False, True]",66.63300000000001,"LINESTRING (120.9250819 14.7957553, 120.9253459 14.7958576, 120.9253268 14.7959992, 120.9252746 14.7961735)",2,,,,
33300517,residential,False,True,43.782,"LINESTRING (120.9252022 14.7955035, 120.9248082 14.7954039)",2,A. Bonifacio Street,,,
607463455,tertiary,True,False,30.842,"LINESTRING (120.9252022 14.7955035, 120.9250819 14.7957553)",2,P. Burgos Street,,,
613925423,trunk,False,True,7.687,"LINESTRING (120.9282304 14.7984156, 120.92816 14.7984035)",1,Bocaue Flyover,1,60,
613925424,trunk,False,False,8.627,"LINESTRING (120.9282304 14.7984156, 120.9281624 14.7984568)",2,Bocaue Flyover,1,60,
"[1081598097, 607463474, 1081611838]",trunk,False,False,299.644,"LINESTRING (120.9282304 14.7984156, 120.9283165 14.7983876, 120.9283879 14.7983584, 120.9284282 14.7983399, 120.9284665 14.7983174, 120.9285017 14.7982939, 120.9285542 14.798257, 120.928598 14.7982213, 120.9286409 14.798179, 120.928682 14.7981372, 120.9287248 14.798086, 120.9287949 14.7979833, 120.9288482 14.7978923, 120.9289346 14.7977434, 120.9292415 14.7971972, 120.9297551 14.7962517, 120.9297625 14.7962381)",1,MacArthur Highway,1,60,viaduct
532460986,residential,False,False,51.758,"LINESTRING (120.9257973 14.7935928, 120.9254195 14.7933043)",,,,,
532460986,residential,False,True,63.287,"LINESTRING (120.9257973 14.7935928, 120.9262566 14.7939488)",,,,,
163918466,residential,False,False,146.01,"LINESTRING (120.9257973 14.7935928, 120.9254294 14.7941913, 120.9251643 14.7947524)",,,,,
163918476,residential,False,True,74.851,"LINESTRING (120.9257973 14.7935928, 120.9259401 14.7933628, 120.9260653 14.7932352, 120.9262564 14.7930999)",,,,,
47087981,residential,False,False,110.108,"LINESTRING (120.9264299 14.7952287, 120.926667 14.7947806, 120.926928 14.7943642)",2,Bambang,,,
"[46909779, 114670685, 163918478]",secondary,False,"[False, True]",178.031,"LINESTRING (120.9264299 14.7952287, 120.9264809 14.7952522, 120.927076 14.7954806, 120.9272571 14.7955456, 120.9278421 14.7957627, 120.9279705 14.7958152)",2,J.P. Rizal Street,,40,yes
163918478,secondary,False,True,107.74799999999999,"LINESTRING (120.9264299 14.7952287, 120.9260059 14.795068, 120.9259224 14.7950413, 120.9257773 14.7949953, 120.9254865 14.7949027)",2,J.P. Rizal Street,,40,
47087981,residential,False,False,272.169,"LINESTRING (120.926928 14.7943642, 120.9272067 14.7940071, 120.9276872 14.7934658, 120.9282522 14.7929579, 120.928692 14.7926233)",2,Bambang,,,
47087981,residential,False,True,110.108,"LINESTRING (120.926928 14.7943642, 120.926667 14.7947806, 120.9264299 14.7952287)",2,Bambang,,,
532460986,residential,False,False,85.87,"LINESTRING (120.926928 14.7943642, 120.9265977 14.7941862, 120.9263402 14.7940151, 120.9262566 14.7939488)",,,,,
33300517,residential,False,False,43.782,"LINESTRING (120.9248082 14.7954039, 120.9252022 14.7955035)",2,A. Bonifacio Street,,,
33300517,residential,False,True,43.541,"LINESTRING (120.9248082 14.7954039, 120.9244137 14.7953153)",2,A. Bonifacio Street,,,
1104985891,secondary,False,False,75.096,"LINESTRING (120.9248082 14.7954039, 120.9251095 14.7948975, 120.9251454 14.794866, 120.925187 14.7948475)",2,T. Sandico Street,,40,
