osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,lanes,access
58069718,residential,False,False,114.826,"LINESTRING (121.9063253 18.2477217, 121.9063286 18.2474294, 121.9063126 18.2469117, 121.9062938 18.24669)",,,,,
"[339330074, 339330075, 245245789]",primary,False,True,257.29299999999995,"LINESTRING (121.9063253 18.2477217, 121.9081789 18.2476294, 121.9083739 18.2476186, 121.9087587 18.247609)",102,Camalaniugan-Santa Ana Road,yes,,
"[844285266, 844285267, 1193441538]",residential,False,True,348.619,"LINESTRING (121.9063253 18.2477217, 121.9062931 18.2478656, 121.9062334 18.2480388, 121.9060805 18.2484687, 121.9059182 18.2489623, 121.9058727 18.2492864, 121.9058512 18.2495666, 121.9058593 18.2500251, 121.9058653 18.2501965, 121.9059151 18.2504145, 121.9059605 18.2505364, 121.9060048 18.2506543, 121.9060494 18.250766)",,Reyno Street,yes,1,
58069718,residential,False,False,268.372,"LINESTRING (121.9062938 18.24669, 121.9065177 18.2467009, 121.9068557 18.2467378, 121.9070569 18.2467684, 121.9072171 18.2467907, 121.9073526 18.2468027, 121.9076181 18.246804, 121.9079306 18.2467843, 121.9081391 18.2467614, 121.9083329 18.2467111, 121.9085824 18.2466079, 121.9087748 18.24652)",,,,,
58069718,residential,False,True,114.826,"LINESTRING (121.9062938 18.24669, 121.9063126 18.2469117, 121.9063286 18.2474294, 121.9063253 18.2477217)",,,,,
163822051,residential,False,True,144.291,"LINESTRING (121.9062938 18.24669, 121.9061972 18.246243, 121.9061261 18.2459443, 121.9060095 18.2454208)",,,,,
163822058,residential,False,True,92.72,"LINESTRING (121.9087748 18.24652, 121.9087118 18.2456883)",,,,,
58069718,residential,False,False,120.794,"LINESTRING (121.9087748 18.24652, 121.9088171 18.2469785, 121.9088449 18.2473708, 121.9088606 18.2476032)",,,,,
58069718,residential,False,True,268.372,"LINESTRING (121.9087748 18.24652, 121.9085824 18.2466079, 121.9083329 18.2467111, 121.9081391 18.2467614, 121.9079306 18.2467843, 121.9076181 18.246804, 121.9073526 18.2468027, 121.9072171 18.2467907, 121.9070569 18.2467684, 121.9068557 18.2467378, 121.9065177 18.2467009, 121.9062938 18.24669)",,,,,
245245789,primary,False,False,10.78,"LINESTRING (121.9088606 18.2476032, 121.9087587 18.247609)",102,Camalaniugan-Santa Ana Road,,,
245245789,primary,False,True,95.42,"LINESTRING (121.9088606 18.2476032, 121.9097625 18.2475511)",102,Camalaniugan-Santa Ana Road,,,
58069718,residential,False,True,120.794,"LINESTRING (121.9088606 18.2476032, 121.9088449 18.2473708, 121.9088171 18.2469785, 121.9087748 18.24652)",,,,,
163822051,residential,False,False,144.291,"LINESTRING (121.9060095 18.2454208, 121.9061261 18.2459443, 121.9061972 18.246243, 121.9062938 18.24669)",,,,,
844295416,residential,False,False,286.942,"LINESTRING (121.9060095 18.2454208, 121.9070374 18.2455297, 121.9079744 18.2456293, 121.9087118 18.2456883)",,Enrile Street,,,
163822058,residential,False,False,92.72,"LINESTRING (121.9087118 18.2456883, 121.9087748 18.24652)",,,,,
844295416,residential,False,False,138.153,"LINESTRING (121.9087118 18.2456883, 121.9095433 18.2457915, 121.9100013 18.2458902)",,Enrile Street,,,
844295416,residential,False,True,286.942,"LINESTRING (121.9087118 18.2456883, 121.9079744 18.2456293, 121.9070374 18.2455297, 121.9060095 18.2454208)",,Enrile Street,,,
844295416,residential,False,False,188.874,"LINESTRING (121.9100013 18.2458902, 121.9098262 18.2463137, 121.9097786 18.2465194, 121.9097485 18.2468728, 121.9097625 18.2475511)",,Enrile Street,,,
844295416,residential,False,True,138.153,"LINESTRING (121.9100013 18.2458902, 121.9095433 18.2457915, 121.9087118 18.2456883)",,Enrile Street,,,
245245789,primary,False,False,95.42,"LINESTRING (121.9097625 18.2475511, 121.9088606 18.2476032)",102,Camalaniugan-Santa Ana Road,,,
245245789,primary,False,True,378.303,"LINESTRING (121.9097625 18.2475511, 121.9133413 18.2474007)",102,Camalaniugan-Santa Ana Road,,,
844295416,residential,False,False,102.662,"LINESTRING (121.9097625 18.2475511, 121.909786 18.2481095, 121.9097954 18.2484738)",,Enrile Street,,,
844295416,residential,False,True,188.87400000000002,"LINESTRING (121.9097625 18.2475511, 121.9097485 18.2468728, 121.9097786 18.2465194, 121.9098262 18.2463137, 121.9100013 18.2458902)",,Enrile Street,,,
245245789,primary,False,True,10.78,"LINESTRING (121.9087587 18.247609, 121.9088606 18.2476032)",102,Camalaniugan-Santa Ana Road,,,
844285270,residential,False,False,101.981,"LINESTRING (121.9087587 18.247609, 121.9088108 18.2485248)",,F. Florentino Street,,,
