osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry
199282101,2,460,Marinduque Circumferential Road,primary,False,True,11.952,,"LINESTRING (121.8458619 13.32834, 121.8457772 13.328409)"
"[579047949, 199282101, 199418799]",2,460,Marinduque Circumferential Road,primary,False,False,221.694,yes,"LINESTRING (121.8458619 13.32834, 121.8461823 13.3280244, 121.8465966 13.3276163, 121.846699 13.3274362, 121.846675 13.3271918, 121.8466991 13.3266672)"
"[579047948, 579047956]",,,,residential,False,"[False, True]",769.633,,"LINESTRING (121.8458619 13.32834, 121.8454644 13.3279539, 121.8454422 13.3278962, 121.8454743 13.327841, 121.8454669 13.3277641, 121.8453188 13.327548, 121.8450892 13.3272862, 121.8448449 13.3270965, 121.8445536 13.3269067, 121.8444204 13.3268323, 121.8443957 13.3267819, 121.8444031 13.3267026, 121.8444327 13.3266137, 121.8446228 13.326191, 121.8449023 13.32554, 121.8448833 13.3253085, 121.845077 13.325353, 121.8453738 13.3255014, 121.8457563 13.3262356, 121.8459736 13.3267175, 121.8461157 13.3269331, 121.8461283 13.3270226, 121.8460656 13.3275188, 121.846076 13.3277282, 121.8461387 13.3279418)"
148293257,,,Guevarra,residential,False,False,34.502,,"LINESTRING (121.8469584 13.3225665, 121.8466406 13.3225412)"
591316476,2,460,Marinduque Circumferential Road,primary,False,True,74.801,,"LINESTRING (121.8469584 13.3225665, 121.8469171 13.323238)"
767454082,2,460,Marinduque Circumferential Road,primary,False,True,105.479,,"LINESTRING (121.8469584 13.3225665, 121.8470466 13.3216218)"
767454082,2,460,Marinduque Circumferential Road,primary,False,False,52.159,,"LINESTRING (121.8471035 13.321156, 121.8470466 13.3216218)"
579047941,,,,residential,False,False,38.232,,"LINESTRING (121.8471035 13.321156, 121.8471073 13.3210179, 121.8471419 13.320815)"
767454082,2,460,Marinduque Circumferential Road,primary,False,True,42.76,,"LINESTRING (121.8471035 13.321156, 121.8471465 13.3210796, 121.8473402 13.3208495)"
148293257,,,Guevarra,residential,False,False,24.014,,"LINESTRING (121.8463039 13.3225133, 121.8460855 13.3224749)"
148293257,,,Guevarra,residential,False,True,36.564,,"LINESTRING (121.8463039 13.3225133, 121.8466406 13.3225412)"
199419006,,,Rizal,residential,False,False,107.189,,"LINESTRING (121.8463039 13.3225133, 121.8464516 13.3215601)"
199419006,,,Rizal,residential,False,True,74.736,,"LINESTRING (121.8463039 13.3225133, 121.8461822 13.3231749)"
