osmid,name,highway,oneway,reversed,length,ref,access,geometry,bridge,lanes
492880256,Piral Street,residential,False,False,105.702,,,"LINESTRING (125.2550858 10.3515314, 125.2547072 10.352406)",,
909874727,Jct Himay-angan-Silago-Abuyog Boundary Road,primary,False,False,55.503,690,yes,"LINESTRING (125.2550858 10.3515314, 125.2552598 10.351352, 125.2554267 10.3511619)",,
909874727,Jct Himay-angan-Silago-Abuyog Boundary Road,primary,False,True,35.375,690,yes,"LINESTRING (125.2550858 10.3515314, 125.2549459 10.3515564, 125.2548292 10.3515498, 125.254769 10.3515275)",,
492880252,,tertiary,False,False,98.026,,,"LINESTRING (125.2515768 10.350418, 125.2507201 10.3501593)",,
909874727,Jct Himay-angan-Silago-Abuyog Boundary Road,primary,False,True,46.605,690,yes,"LINESTRING (125.2515768 10.350418, 125.2514387 10.3508145)",,
909874727,Jct Himay-angan-Silago-Abuyog Boundary Road,primary,False,False,124.676,690,yes,"LINESTRING (125.2515768 10.350418, 125.2516892 10.3504555, 125.2526561 10.3507784)",,
492880245,Olarte Street,residential,False,True,123.426,,,"LINESTRING (125.2525172 10.3511408, 125.2514387 10.3508145)",,
627805326,Mate Street,residential,False,False,56.843,,,"LINESTRING (125.2525172 10.3511408, 125.2523387 10.3516209)",,
627805326,Mate Street,residential,False,True,43.066,,,"LINESTRING (125.2525172 10.3511408, 125.2525726 10.3509969, 125.2526561 10.3507784)",,
492880245,Olarte Street,residential,False,False,123.426,,,"LINESTRING (125.2514387 10.3508145, 125.2525172 10.3511408)",,
909874727,Jct Himay-angan-Silago-Abuyog Boundary Road,primary,False,False,46.605,690,yes,"LINESTRING (125.2514387 10.3508145, 125.2515768 10.350418)",,
909874727,Jct Himay-angan-Silago-Abuyog Boundary Road,primary,False,True,54.374,690,yes,"LINESTRING (125.2514387 10.3508145, 125.2512887 10.3512807)",,
492880249,San Jose Street,residential,False,False,129.122,,,"LINESTRING (125.253594 10.3520197, 125.2547072 10.352406)",,
492880249,San Jose Street,residential,False,True,61.897,,,"LINESTRING (125.253594 10.3520197, 125.2530542 10.3518527)",,
629829889,Progreso Street,residential,False,False,96.342,,,"LINESTRING (125.253594 10.3520197, 125.2539637 10.3512333)",,
