osmid,highway,oneway,reversed,length,lanes,maxspeed,ref,name,geometry,bridge
107183567,tertiary,False,True,61.055,,,,,"LINESTRING (120.5198676 18.0609372, 120.519636 18.0604342)",
758168513,secondary,False,False,77.759,2,40,,,"LINESTRING (120.5198676 18.0609372, 120.520562 18.0607066)",
758168513,secondary,False,True,99.637,2,40,,,"LINESTRING (120.5198676 18.0609372, 120.5189661 18.0611986)",
28482999,primary,False,True,41.364,2,40,122,McArthur Street,"LINESTRING (120.520326 18.0624749, 120.5206928 18.0623454)",
97334033,tertiary,True,False,53.658,2,,,,"LINESTRING (120.520326 18.0624749, 120.520193 18.0620092)",
777502661,tertiary,False,False,43.125,,,,,"LINESTRING (120.520326 18.0624749, 120.5204642 18.0628398)",
28482999,primary,False,False,98.05199999999999,2,40,122,McArthur Street,"LINESTRING (120.520326 18.0624749, 120.5201382 18.0625488, 120.5199263 18.0626152, 120.5194455 18.0627496)",
97333685,residential,False,False,48.923,,,,,"LINESTRING (120.5174594 18.0633183, 120.5173078 18.0629026)",
97333685,residential,False,True,58.626,,,,,"LINESTRING (120.5174594 18.0633183, 120.5176418 18.0638162)",
107183526,primary,False,False,40.919,2,40,122,McArthur Street,"LINESTRING (120.5174594 18.0633183, 120.5170999 18.0634547)",
107183526,primary,False,True,41.823,2,40,122,McArthur Street,"LINESTRING (120.5174594 18.0633183, 120.5178402 18.0632163)",
107183540,residential,False,False,5.385,,,,,"LINESTRING (120.5155855 18.0641683, 120.5155675 18.064123)",
107183540,residential,False,True,33.789,,,,,"LINESTRING (120.5155855 18.0641683, 120.5157226 18.0644428)",
107183526,primary,False,False,57.123000000000005,2,40,122,McArthur Street,"LINESTRING (120.5155855 18.0641683, 120.5154712 18.0643632, 120.5153511 18.0646304)",
107183526,primary,False,True,37.941,2,40,122,McArthur Street,"LINESTRING (120.5155855 18.0641683, 120.5157146 18.0640552, 120.5158688 18.0639609)",
33079057,secondary,False,False,62.374,2,40,122,Pias-Currimao-Balaccad Road,"LINESTRING (120.520562 18.0607066, 120.5202681 18.0602202)",
97333695,secondary,False,False,61.608,2,40,122,,"LINESTRING (120.520562 18.0607066, 120.5211005 18.0604948)",
758168513,secondary,False,True,77.759,2,40,,,"LINESTRING (120.520562 18.0607066, 120.5198676 18.0609372)",
107183588,residential,False,False,60.15,,,,,"LINESTRING (120.5194811 18.0586268, 120.5189601 18.0588442)",
107183588,residential,False,True,47.019,,,,,"LINESTRING (120.5194811 18.0586268, 120.5198902 18.0584609)",
338476874,secondary,False,False,41.66,2,40,122,Pias-Currimao-Balaccad Road,"LINESTRING (120.5194811 18.0586268, 120.5193476 18.0582743)",
338476874,secondary,False,True,42.78,2,40,122,Pias-Currimao-Balaccad Road,"LINESTRING (120.5194811 18.0586268, 120.5196266 18.0589858)",
