osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,bridge
211565585,2,L. De Leon Street,tertiary,False,True,23.573,,"LINESTRING (121.4453365 14.4170878, 121.4451196 14.4171163)",
211708630,2,J. Rizal,secondary,True,False,417.395,40,"LINESTRING (121.4453365 14.4170878, 121.4454199 14.4173252, 121.4455641 14.4176709, 121.4456271 14.4178682, 121.4456539 14.4180178, 121.4456687 14.4182184, 121.4456707 14.418336, 121.4456727 14.4184372, 121.4456868 14.4185697, 121.445727 14.4187302, 121.4459529 14.4193374, 121.4461086 14.4197192, 121.4462298 14.4200216, 121.4463453 14.4203401, 121.4464817 14.4206486)",
211565585,2,L. De Leon Street,tertiary,False,False,23.573,,"LINESTRING (121.4451196 14.4171163, 121.4453365 14.4170878)",
"[211565585, 211565586, 211565363]",2,L. De Leon Street,tertiary,False,True,63.037,,"LINESTRING (121.4451196 14.4171163, 121.4449106 14.4171405, 121.4446782 14.4171727, 121.444543 14.4172082)",yes
211715331,,Valderama,residential,False,True,432.56299999999993,,"LINESTRING (121.4451196 14.4171163, 121.4451993 14.4174592, 121.4452454 14.4175889, 121.4453498 14.4177915, 121.4454067 14.4179061, 121.4454449 14.4180277, 121.4454534 14.4182397, 121.4454337 14.4185787, 121.4454333 14.4188835, 121.4454451 14.4189892, 121.4454666 14.4190843, 121.4455001 14.4191931, 121.4455417 14.4193129, 121.4456228 14.4195155, 121.4457335 14.4198064, 121.4458287 14.4200578, 121.4459588 14.4203838, 121.4461178 14.4207517, 121.446152 14.4208215)",
211565363,2,L. De Leon Street,tertiary,False,True,69.609,,"LINESTRING (121.444543 14.4172082, 121.4439361 14.4174236)",
"[211565585, 211565586, 211565363]",2,L. De Leon Street,tertiary,False,False,63.037,,"LINESTRING (121.444543 14.4172082, 121.4446782 14.4171727, 121.4449106 14.4171405, 121.4451196 14.4171163)",yes
211718439,,General Antonio Luna Street,residential,False,True,224.982,,"LINESTRING (121.444543 14.4172082, 121.4446892 14.4177099, 121.4448159 14.4182731, 121.4449268 14.4186742, 121.4449916 14.4189004, 121.4450211 14.4190374, 121.4450488 14.4191704)",
211565363,2,L. De Leon Street,tertiary,False,False,69.609,,"LINESTRING (121.4439361 14.4174236, 121.444543 14.4172082)",
211731058,2,Pandeño Street,tertiary,False,True,226.968,,"LINESTRING (121.4439361 14.4174236, 121.4440752 14.4177446, 121.4441709 14.4180081, 121.4446523 14.419142, 121.444726 14.4193156)",
211737172,,,tertiary,False,True,45.862,,"LINESTRING (121.446855 14.4204501, 121.4464817 14.4206486)",
211737173,,Acevida Street,residential,False,False,227.087,,"LINESTRING (121.446855 14.4204501, 121.4466989 14.4201479, 121.4466512 14.4200219, 121.4465876 14.4198713, 121.4465567 14.4197771, 121.4464198 14.4194985, 121.4463219 14.4192686, 121.4461758 14.4188776, 121.4461202 14.4186981, 121.4460978 14.4186301, 121.4460743 14.4185568)",
213009017,,A. Bonifacio Street,tertiary,False,True,325.247,,"LINESTRING (121.446855 14.4204501, 121.4470039 14.4207286, 121.4470975 14.4208974, 121.4471712 14.4210302, 121.4472516 14.4211997, 121.4472824 14.4212647, 121.4473599 14.4214197, 121.4474822 14.4217102, 121.4479804 14.4230154, 121.448028 14.4231407)",
211737172,,,tertiary,False,False,45.862,,"LINESTRING (121.4464817 14.4206486, 121.446855 14.4204501)",
211737280,,Bagumbarangay Street,secondary,False,True,40.377,40,"LINESTRING (121.4464817 14.4206486, 121.446152 14.4208215)",
65069818,,A. Mabini,residential,False,False,321.25699999999995,,"LINESTRING (121.4464817 14.4206486, 121.4466924 14.4209938, 121.4467402 14.4210671, 121.4469005 14.4213131, 121.4469159 14.4213518, 121.4474939 14.4228078, 121.4476877 14.4232811)",
211737280,,Bagumbarangay Street,secondary,False,False,40.377,40,"LINESTRING (121.446152 14.4208215, 121.4464817 14.4206486)",
211715331,,Valderama,residential,False,False,432.563,,"LINESTRING (121.446152 14.4208215, 121.4461178 14.4207517, 121.4459588 14.4203838, 121.4458287 14.4200578, 121.4457335 14.4198064, 121.4456228 14.4195155, 121.4455417 14.4193129, 121.4455001 14.4191931, 121.4454666 14.4190843, 121.4454451 14.4189892, 121.4454333 14.4188835, 121.4454337 14.4185787, 121.4454534 14.4182397, 121.4454449 14.4180277, 121.4454067 14.4179061, 121.4453498 14.4177915, 121.4452454 14.4175889, 121.4451993 14.4174592, 121.4451196 14.4171163)",
"[211737280, 211738650, 211737277]",2,Bagumbarangay Street,secondary,False,True,45.48500000000001,40,"LINESTRING (121.446152 14.4208215, 121.4461146 14.42084, 121.4459464 14.4209281, 121.4458342 14.4209959, 121.4457873 14.4210271)",yes
211738650,,Bagumbarangay Street,secondary,False,True,36.289,40,"LINESTRING (121.4457873 14.4210271, 121.4455164 14.4212212)",
