osmid,lanes,name,highway,oneway,reversed,length,geometry,access,maxspeed,bridge
9867992,2,Sagrada Familia Street,residential,False,False,38.185,"LINESTRING (121.0055148 14.5708958, 121.0057612 14.5711429)",,,
9867992,2,Sagrada Familia Street,residential,False,True,39.269,"LINESTRING (121.0055148 14.5708958, 121.0052615 14.5706416)",,,
701234262,,Crisolita Street,residential,False,False,177.412,"LINESTRING (121.0055148 14.5708958, 121.0048563 14.5715179, 121.0044865 14.5718898, 121.004353 14.5720274)",,,
1076847982,,Crisolita Street,residential,True,False,187.24099999999999,"LINESTRING (121.0055148 14.5708958, 121.0055418 14.5708716, 121.00662 14.5698208, 121.0067131 14.56973, 121.0067418 14.569702)",yes,,
9867992,2,Sagrada Familia Street,residential,False,False,35.663,"LINESTRING (121.0075505 14.5729381, 121.0076097 14.5729975, 121.0077806 14.5731689)",,,
9867992,2,Sagrada Familia Street,residential,False,True,38.495000000000005,"LINESTRING (121.0075505 14.5729381, 121.0074049 14.572792, 121.0073022 14.5726889)",,,
14438129,,Mercurio Street,residential,False,False,175.711,"LINESTRING (121.0075505 14.5729381, 121.0075007 14.5729849, 121.0063788 14.5740386)",,,
701234266,2,Zobel Roxas Street,secondary,True,False,35.445,"LINESTRING (121.0063174 14.5691705, 121.0065463 14.5693997)",,50,
887526840,,Alabastro Street,residential,False,False,8.138,"LINESTRING (121.0063174 14.5691705, 121.0062919 14.5692001, 121.0062655 14.5692235)",,,
9867992,2,Sagrada Familia Street,residential,False,False,37.559,"LINESTRING (121.003086 14.568459, 121.0033283 14.5687021)",,,
701234286,,Agata Street,residential,False,False,52.056,"LINESTRING (121.003086 14.568459, 121.0027424 14.5687885)",,,
14267471,2,Dagonoy Street,residential,False,False,38.194,"LINESTRING (121.0019057 14.569568, 121.0021519 14.5698154)",,,
14267471,2,Dagonoy Street,residential,False,True,24.39,"LINESTRING (121.0019057 14.569568, 121.0017485 14.56941)",,,
701234286,,Agata Street,residential,False,True,124.984,"LINESTRING (121.0019057 14.569568, 121.0027424 14.5687885)",,,
154422823,2,San Andres Street,residential,False,True,43.876,"LINESTRING (121.0081511 14.5761155, 121.0077718 14.5759708)",,,
923271512,2,Dagonoy Street,residential,False,True,81.30199999999999,"LINESTRING (121.0081511 14.5761155, 121.0080485 14.5758093, 121.007944 14.5756306, 121.0078271 14.5755056, 121.0078026 14.5754794)",,,
9867992,2,Sagrada Familia Street,residential,False,False,37.915,"LINESTRING (121.0033283 14.5687021, 121.0035729 14.5689475)",,,
9867992,2,Sagrada Familia Street,residential,False,True,37.559,"LINESTRING (121.0033283 14.5687021, 121.003086 14.568459)",,,
14267471,2,Dagonoy Street,residential,False,False,37.699,"LINESTRING (121.0021519 14.5698154, 121.0023949 14.5700596)",,,
14267471,2,Dagonoy Street,residential,False,True,38.194,"LINESTRING (121.0021519 14.5698154, 121.0019057 14.569568)",,,
14267812,2,Opalo Street,residential,True,False,125.2,"LINESTRING (121.0021519 14.5698154, 121.0029896 14.5690341)",,,
14267961,,Esmeralda Street,residential,False,False,196.324,"LINESTRING (121.0010908 14.5712942, 121.0023949 14.5700596)",,,
14269540,2,Augusto Francisco Street,residential,False,False,37.147,"LINESTRING (121.0010908 14.5712942, 121.0013307 14.5715344)",,,
14269540,2,Augusto Francisco Street,residential,False,True,35.12,"LINESTRING (121.0010908 14.5712942, 121.0008639 14.5710672)",,,
14267471,2,Dagonoy Street,residential,False,False,37.947,"LINESTRING (121.0023949 14.5700596, 121.0026395 14.5703054)",,,
14267471,2,Dagonoy Street,residential,False,True,37.699,"LINESTRING (121.0023949 14.5700596, 121.0021519 14.5698154)",,,
14267961,,Esmeralda Street,residential,False,True,196.324,"LINESTRING (121.0023949 14.5700596, 121.0010908 14.5712942)",,,
14267961,,Esmeralda Street,residential,False,False,125.581,"LINESTRING (121.0023949 14.5700596, 121.0024293 14.5700233, 121.0032335 14.5692744)",,,
9867992,2,Sagrada Familia Street,residential,False,False,36.986,"LINESTRING (121.0035729 14.5689475, 121.0038115 14.5691869)",,,
9867992,2,Sagrada Familia Street,residential,False,True,37.915,"LINESTRING (121.0035729 14.5689475, 121.0033283 14.5687021)",,,
14267961,,Esmeralda Street,residential,False,True,51.531,"LINESTRING (121.0035729 14.5689475, 121.0032335 14.5692744)",,,
9867992,2,Sagrada Familia Street,residential,False,False,38.131,"LINESTRING (121.0038115 14.5691869, 121.0040575 14.5694337)",,,
9867992,2,Sagrada Familia Street,residential,False,True,36.986,"LINESTRING (121.0038115 14.5691869, 121.0035729 14.5689475)",,,
14269540,2,Augusto Francisco Street,residential,False,False,37.565,"LINESTRING (121.0013307 14.5715344, 121.0015734 14.5717772)",,,
14269540,2,Augusto Francisco Street,residential,False,True,37.147,"LINESTRING (121.0013307 14.5715344, 121.0010908 14.5712942)",,,
14268023,,Amatista Street,residential,True,False,196.255,"LINESTRING (121.0013307 14.5715344, 121.0019467 14.5709637, 121.0026395 14.5703054)",,,
14268074,,Coral Street,residential,True,False,131.561,"LINESTRING (121.0006801 14.5725849, 121.0015734 14.5717772)",,,
340559285,3,San Andres Street,tertiary,True,False,71.606,"LINESTRING (121.0006801 14.5725849, 121.0013373 14.5724843)",,40,
14267471,2,Dagonoy Street,residential,False,False,37.436,"LINESTRING (121.0028825 14.5705496, 121.0031238 14.5707921)",,,
14267471,2,Dagonoy Street,residential,False,True,37.699,"LINESTRING (121.0028825 14.5705496, 121.0026395 14.5703054)",,,
14268074,,Coral Street,residential,True,False,177.163,"LINESTRING (121.0028825 14.5705496, 121.0040575 14.5694337)",,,
9867992,2,Sagrada Familia Street,residential,False,False,36.344,"LINESTRING (121.0040575 14.5694337, 121.004292 14.5696689)",,,
9867992,2,Sagrada Familia Street,residential,False,True,38.131,"LINESTRING (121.0040575 14.5694337, 121.0038115 14.5691869)",,,
154429929,,Nakar Street,residential,True,False,8.035,"LINESTRING (121.0055931 14.5684486, 121.0055399 14.5684993)",,,
701234279,2,Zobel Roxas Street,secondary,True,False,35.752,"LINESTRING (121.0055931 14.5684486, 121.0058015 14.5686561, 121.0058246 14.5686792)",,50,
154422816,2,Aviadores Street,residential,False,False,7.257,"LINESTRING (120.9996984 14.5739847, 120.9996954 14.5740499)",,,
154422816,2,Aviadores Street,residential,False,True,51.344,"LINESTRING (120.9996984 14.5739847, 120.9997193 14.5735234)",,,
15246638,,De Pinedo Street,residential,False,False,30.591,"LINESTRING (120.9998918 14.5743252, 120.9996918 14.5741297)",,,
