osmid,highway,oneway,reversed,length,lanes,geometry,name,maxspeed,width,ref
149099267,unclassified,False,True,122.706,,"LINESTRING (124.8662992 8.3688487, 124.8663448 8.3699513)",,,,
177519198,unclassified,False,False,85.40899999999999,2,"LINESTRING (124.8662992 8.3688487, 124.8665419 8.3688686, 124.8669577 8.3688965, 124.867073 8.3689098)",,,,
177519198,unclassified,False,True,74.68299999999999,2,"LINESTRING (124.8662992 8.3688487, 124.8660295 8.3688266, 124.8656229 8.3687904)",,,,
177519198,unclassified,False,False,39.462,2,"LINESTRING (124.8652652 8.3687638, 124.8656229 8.3687904)",,,,
30270169,unclassified,False,True,306.111,,"LINESTRING (124.8652652 8.3687638, 124.8653819 8.3700553, 124.8654629 8.3710897, 124.8654885 8.3715077)",,,,
"[1224772008, 177519198]",unclassified,False,True,139.418,2,"LINESTRING (124.8652652 8.3687638, 124.8651203 8.3687519, 124.8650828 8.3687426, 124.865054 8.3687174, 124.8650386 8.3686855, 124.8650325 8.3686577, 124.8649638 8.3676902)",C. Asilan Street,,,
912976340,secondary,False,False,31.107,4,"LINESTRING (124.865531 8.366399, 124.8655218 8.3661194)",Manolo Fortich-Libona Road,40,14,
1019667313,secondary,False,True,137.489,4,"LINESTRING (124.865531 8.366399, 124.8655897 8.3676341)",Manolo Fortich-Libona Road,40,14,
1224771155,tertiary,False,False,99.226,2,"LINESTRING (124.865531 8.366399, 124.8649849 8.3664324, 124.8646311 8.366459)",,,,
180362364,residential,False,True,72.146,,"LINESTRING (124.8663286 8.3675816, 124.8669805 8.3675109)",,,,
1019667317,trunk,False,False,58.115,4,"LINESTRING (124.8663286 8.3675816, 124.8665241 8.3676155, 124.8666291 8.3676539, 124.8667266 8.3676949, 124.8668256 8.3677465)",Sayre Highway,50,14,10
1019667317,trunk,False,True,81.49799999999999,4,"LINESTRING (124.8663286 8.3675816, 124.8660547 8.3675986, 124.8658079 8.3676167, 124.8655897 8.3676341)",Sayre Highway,50,14,10
177519198,unclassified,False,True,53.439,2,"LINESTRING (124.8675562 8.3689591, 124.867073 8.3689098)",,,,
1019667317,trunk,False,True,55.606,4,"LINESTRING (124.8675562 8.3689591, 124.8673954 8.368485)",Sayre Highway,50,14,10
"[149099272, 855268014]",residential,False,False,152.37199999999999,,"LINESTRING (124.8675562 8.3689591, 124.8678133 8.3689549, 124.8683608 8.3689144, 124.8683759 8.3689104, 124.8683896 8.3688991, 124.8683933 8.3688829, 124.868392 8.3688683, 124.8682939 8.3683693)",,,,
1019667317,trunk,False,False,116.541,4,"LINESTRING (124.8675562 8.3689591, 124.8677397 8.3695207, 124.8677914 8.3696394, 124.8678595 8.3697665, 124.8679207 8.3698433, 124.8679816 8.369906)",Sayre Highway,50,14,10
178129241,trunk,False,True,69.138,4,"LINESTRING (124.8655897 8.3676341, 124.8649638 8.3676902)",Sayre Highway,50,14,10
1019667313,secondary,False,False,137.489,4,"LINESTRING (124.8655897 8.3676341, 124.865531 8.366399)",Manolo Fortich-Libona Road,40,14,
31954368,residential,False,True,128.644,,"LINESTRING (124.8655897 8.3676341, 124.8656071 8.3679582, 124.8656153 8.3682387, 124.8656229 8.3687904)",,,,
1019667317,trunk,False,False,81.498,4,"LINESTRING (124.8655897 8.3676341, 124.8658079 8.3676167, 124.8660547 8.3675986, 124.8663286 8.3675816)",Sayre Highway,50,14,10
149099282,residential,False,False,103.554,,"LINESTRING (124.8681848 8.3645434, 124.8684502 8.3654369)",,,,
149099282,residential,False,True,53.836,,"LINESTRING (124.8681848 8.3645434, 124.8680542 8.3640768)",,,,
149099268,residential,False,True,56.515,,"LINESTRING (124.8681848 8.3645434, 124.8684404 8.3644618, 124.8686691 8.3643745)",,,,
912976340,secondary,False,False,63.433,4,"LINESTRING (124.8654972 8.3652528, 124.8654887 8.3646824)",Manolo Fortich-Libona Road,40,14,
912976340,secondary,False,True,22.686,4,"LINESTRING (124.8654972 8.3652528, 124.8655002 8.3654568)",Manolo Fortich-Libona Road,40,14,
