osmid,name,highway,oneway,reversed,length,lanes,maxspeed,ref,geometry
180772229,H. Malgapo Street,unclassified,False,False,4.544,,,,"LINESTRING (120.9496644 15.3124258, 120.949678 15.3123871)"
180772229,H. Malgapo Street,unclassified,False,True,118.563,,,,"LINESTRING (120.9496644 15.3124258, 120.9494059 15.3134625)"
875979524,Tinio Street,secondary,True,False,48.704,1,40,,"LINESTRING (120.9496644 15.3124258, 120.9492365 15.3122791)"
1063359342,Tinio Street,secondary,True,False,21.673,1,40,,"LINESTRING (120.9454152 15.3079061, 120.9455456 15.308055)"
38350312,Maharlika Highway,trunk,False,False,129.241,2,40,1,"LINESTRING (120.9454152 15.3079061, 120.9452766 15.3080302, 120.9450688 15.3082057, 120.9447191 15.3084187, 120.9444334 15.3085704)"
48622877,J. Malgapo Street,unclassified,False,False,4.119,2,,,"LINESTRING (120.9479735 15.3110077, 120.947959 15.311042)"
180772204,Tinio Street,secondary,True,False,172.359,1,40,,"LINESTRING (120.9479735 15.3110077, 120.9483234 15.3114358, 120.9483871 15.311516, 120.9485787 15.3117434, 120.948671 15.311853, 120.9487128 15.3119026, 120.9490054 15.312159, 120.9490279 15.3121703)"
180772206,Magno Street,residential,False,False,132.279,,,,"LINESTRING (120.9467335 15.3094813, 120.9476978 15.3087396)"
180772206,Magno Street,residential,False,True,4.554,,,,"LINESTRING (120.9467335 15.3094813, 120.9466973 15.3095027)"
180772204,Tinio Street,secondary,True,False,140.242,1,40,,"LINESTRING (120.9467335 15.3094813, 120.9474897 15.3104192, 120.9475378 15.3104757)"
38350312,Maharlika Highway,trunk,False,True,129.24099999999999,2,40,1,"LINESTRING (120.9444334 15.3085704, 120.9447191 15.3084187, 120.9450688 15.3082057, 120.9452766 15.3080302, 120.9454152 15.3079061)"
180772217,Delos Reyes Street,unclassified,False,True,140.891,2,,,"LINESTRING (120.9452854 15.3116275, 120.9451312 15.3103692)"
204876615,Del Corro Street,unclassified,False,False,241.072,2,,,"LINESTRING (120.9452854 15.3116275, 120.9473269 15.3125348)"
180772217,Delos Reyes Street,unclassified,False,False,296.337,2,,,"LINESTRING (120.9452854 15.3116275, 120.9452935 15.3121137, 120.945471 15.3124815, 120.9460959 15.3130313, 120.9469561 15.3135088)"
48622877,J. Malgapo Street,unclassified,False,True,115.374,2,,,"LINESTRING (120.9469561 15.3135088, 120.9473269 15.3125348)"
"[204876601, 48622877]","['J. Malgapo Street', 'Valmonte Street']",unclassified,False,False,378.206,2,,,"LINESTRING (120.9469561 15.3135088, 120.9465813 15.3142965, 120.9473173 15.3147086, 120.9479329 15.3150447, 120.9484744 15.3152483, 120.9489548 15.3153327)"
180772217,Delos Reyes Street,unclassified,False,True,296.337,2,,,"LINESTRING (120.9469561 15.3135088, 120.9460959 15.3130313, 120.945471 15.3124815, 120.9452935 15.3121137, 120.9452854 15.3116275)"
48622877,J. Malgapo Street,unclassified,False,False,115.374,2,,,"LINESTRING (120.9473269 15.3125348, 120.9469561 15.3135088)"
204876615,Del Corro Street,unclassified,False,True,241.072,2,,,"LINESTRING (120.9473269 15.3125348, 120.9452854 15.3116275)"
48622877,J. Malgapo Street,unclassified,False,True,179.302,2,,,"LINESTRING (120.9473269 15.3125348, 120.9478182 15.3113744, 120.947959 15.311042)"
204876615,Del Corro Street,unclassified,False,False,156.7,2,,,"LINESTRING (120.9473269 15.3125348, 120.9481358 15.3129012, 120.9486494 15.3131339)"
48622874,E. Jacinto Street,unclassified,False,False,5.442,2,,,"LINESTRING (120.9490279 15.3121703, 120.9490077 15.3122152)"
180772204,Tinio Street,secondary,True,False,25.385,1,40,,"LINESTRING (120.9490279 15.3121703, 120.9492559 15.3122316)"
180772229,H. Malgapo Street,unclassified,False,False,118.563,,,,"LINESTRING (120.9494059 15.3134625, 120.9496644 15.3124258)"
180772229,H. Malgapo Street,unclassified,False,True,94.314,,,,"LINESTRING (120.9494059 15.3134625, 120.9491563 15.3142758)"
204876615,Del Corro Street,unclassified,False,True,88.981,2,,,"LINESTRING (120.9494059 15.3134625, 120.9486494 15.3131339)"
204876615,Del Corro Street,unclassified,False,False,123.071,2,,,"LINESTRING (120.9494059 15.3134625, 120.9499482 15.313703, 120.9504619 15.3138943)"
204876615,Del Corro Street,unclassified,False,False,88.981,2,,,"LINESTRING (120.9486494 15.3131339, 120.9494059 15.3134625)"
48622874,E. Jacinto Street,unclassified,False,True,109.14399999999999,2,,,"LINESTRING (120.9486494 15.3131339, 120.9489961 15.3122466, 120.9490077 15.3122152)"
204876615,Del Corro Street,unclassified,False,True,156.7,2,,,"LINESTRING (120.9486494 15.3131339, 120.9481358 15.3129012, 120.9473269 15.3125348)"
180772229,H. Malgapo Street,unclassified,False,False,94.314,,,,"LINESTRING (120.9491563 15.3142758, 120.9494059 15.3134625)"
180772229,H. Malgapo Street,unclassified,False,True,119.492,,,,"LINESTRING (120.9491563 15.3142758, 120.9489548 15.3153327)"
204876606,Delos Reyes Street,unclassified,False,False,129.825,,,,"LINESTRING (120.9491563 15.3142758, 120.9503149 15.3146141)"
180772259,V. Liwag Street,unclassified,False,False,81.576,2,,,"LINESTRING (120.9504619 15.3138943, 120.9503149 15.3146141)"
180772259,V. Liwag Street,unclassified,False,True,124.079,2,,,"LINESTRING (120.9504619 15.3138943, 120.95078 15.3129748, 120.9508281 15.3128358)"
204876615,Del Corro Street,unclassified,False,False,181.513,2,,,"LINESTRING (120.9504619 15.3138943, 120.9511128 15.3140448, 120.9516573 15.3141268, 120.952123 15.3142012)"
