osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,bridge,geometry
996676842,2,243,Roxas Boulevard,primary,False,True,6.933,,,"LINESTRING (120.3483326 15.925857, 120.3483202 15.9259182)"
"[236666793, 236666795, 183111742]","['2', '4']",243,Perez Boulevard,primary,False,True,121.11500000000001,40,yes,"LINESTRING (120.3483326 15.925857, 120.3483595 15.9257488, 120.3483746 15.9257061, 120.3483984 15.9256301, 120.3484386 15.9255179, 120.3484816 15.9254083, 120.3485432 15.9253077, 120.3486682 15.9251668, 120.3487844 15.925013, 120.3488366 15.9249423, 120.348863 15.9249128)"
50612574,,,M.H. del Pilar Street,residential,False,False,176.39000000000001,,,"LINESTRING (120.3466335 15.9301489, 120.3470009 15.930401, 120.3472906 15.9306158, 120.3474167 15.9307009, 120.3475106 15.930755, 120.3475857 15.9307963, 120.3476796 15.9308505, 120.3477332 15.9308814, 120.3478003 15.9309124, 120.3478485 15.9309304, 120.3478995 15.9309459, 120.3479451 15.9309588, 120.3480256 15.9309794)"
103387665,2,,Lucban Street,tertiary,False,True,108.256,,,"LINESTRING (120.3466335 15.9301489, 120.3459557 15.9297163, 120.3457886 15.9296125)"
235500164,2,243,Roxas Boulevard,primary,True,False,282.14,40,,"LINESTRING (120.3466335 15.9301489, 120.3467354 15.9299942, 120.3469768 15.9296021, 120.3474301 15.9288954, 120.3478083 15.9282326, 120.3478512 15.9281552, 120.3478995 15.9280443, 120.3479102 15.928003, 120.3479248 15.9279429)"
235500163,2,,Bugallon Street,tertiary,True,False,42.057,,,"LINESTRING (120.3482813 15.9281027, 120.3479248 15.9279429)"
531004841,2,241,Rizal Street,primary,True,False,23.428,40,,"LINESTRING (120.3482813 15.9281027, 120.3482294 15.9283074)"
50612574,,,M.H. del Pilar Street,residential,False,True,176.39000000000001,,,"LINESTRING (120.3480256 15.9309794, 120.3479451 15.9309588, 120.3478995 15.9309459, 120.3478485 15.9309304, 120.3478003 15.9309124, 120.3477332 15.9308814, 120.3476796 15.9308505, 120.3475857 15.9307963, 120.3475106 15.930755, 120.3474167 15.9307009, 120.3472906 15.9306158, 120.3470009 15.930401, 120.3466335 15.9301489)"
103387666,,,,residential,False,True,263.57000000000005,,,"LINESTRING (120.3480256 15.9309794, 120.3486639 15.931178, 120.3488892 15.9312683, 120.3489965 15.9313044, 120.3490502 15.9313147, 120.3490716 15.9313147, 120.3490931 15.9313044, 120.3491199 15.9312864, 120.3491414 15.9312425, 120.3491574 15.9312064, 120.3492057 15.9310645, 120.3492433 15.9309459, 120.3492969 15.930804, 120.3493452 15.9306931, 120.3496081 15.9301257)"
222917347,,,Quezon Boulevard,secondary,False,False,267.713,40,,"LINESTRING (120.348416 15.9269822, 120.3506042 15.9281522)"
222917347,,,Quezon Boulevard,secondary,False,True,24.81,40,,"LINESTRING (120.348416 15.9269822, 120.3482016 15.9268969)"
531004841,2,241,Rizal Street,primary,True,False,116.304,40,,"LINESTRING (120.348416 15.9269822, 120.3484085 15.9272323, 120.3484033 15.927319, 120.3483847 15.9274695, 120.3482942 15.92802)"
531004841,2,241,Rizal Street,primary,True,False,83.10499999999999,40,,"LINESTRING (120.3483381 15.9262478, 120.348382 15.926316, 120.3483823 15.9263665, 120.348389 15.9264848, 120.3483903 15.9265851, 120.3483947 15.9266365, 120.348416 15.9269822)"
741801027,2,243,Roxas Boulevard,primary,False,False,36.85999999999999,,,"LINESTRING (120.3483381 15.9262478, 120.3483336 15.9261777, 120.3483132 15.926006, 120.3483126 15.9259867, 120.3483126 15.9259603, 120.3483202 15.9259182)"
"[1085416848, 103387627]",,,Mabini Street,residential,False,"[False, True]",253.125,,,"LINESTRING (120.3483381 15.9262478, 120.3483616 15.9262452, 120.3484084 15.9262433, 120.3484346 15.9262478, 120.3484621 15.9262608, 120.3484789 15.9262685, 120.3485607 15.9263046, 120.3487082 15.9263691, 120.3504627 15.9272282)"
103387659,,,Versoza Street,residential,False,False,110.638,,,"LINESTRING (120.3451985 15.9235922, 120.3446017 15.924405)"
183116555,2,,Palaris Street,secondary,False,True,126.144,40,,"LINESTRING (120.3451985 15.9235922, 120.3443073 15.9228489)"
183116555,2,,Palaris Street,secondary,False,False,184.661,40,,"LINESTRING (120.3451985 15.9235922, 120.3464642 15.9245977, 120.3465269 15.9246532)"
103387642,,,,residential,False,True,282.655,,,"LINESTRING (120.3439969 15.9269816, 120.3441712 15.9266309, 120.3444475 15.9260505, 120.3445333 15.9258674, 120.3447345 15.9254289, 120.3450859 15.9246655)"
103387626,,,,residential,False,False,276.773,,,"LINESTRING (120.3457886 15.9296125, 120.3472825 15.9275798)"
103387665,2,,Lucban Street,tertiary,False,False,108.256,,,"LINESTRING (120.3457886 15.9296125, 120.3459557 15.9297163, 120.3466335 15.9301489)"
