osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,ref
221206220,False,2,J. M. Espino Street,secondary,20,5,False,122.719,"LINESTRING (120.7752856 15.1499419, 120.7741977 15.1502815)",
221206220,False,2,J. M. Espino Street,secondary,20,5,True,167.549,"LINESTRING (120.7752856 15.1499419, 120.7767578 15.1494408)",
"[221204347, 874954461]",False,2,M. L. Quezon Street,residential,,,False,202.793,"LINESTRING (120.7752856 15.1499419, 120.7749994 15.1492389, 120.7739342 15.1495294)",
95914903,False,2,,tertiary,,,True,88.296,"LINESTRING (120.7711617 15.1504708, 120.770923 15.1512307)",
221201895,False,2,R. Rivera Street,residential,,4,True,51.228,"LINESTRING (120.7711617 15.1504708, 120.7713165 15.150035)",
221206220,False,2,J. M. Espino Street,secondary,20,5,False,69.96300000000001,"LINESTRING (120.7711617 15.1504708, 120.7708917 15.1503801, 120.7705685 15.1502144)",
221206220,False,2,J. M. Espino Street,secondary,20,5,True,79.174,"LINESTRING (120.7711617 15.1504708, 120.7713988 15.1505504, 120.771534 15.1505915, 120.7717101 15.1506276, 120.7718749 15.150632)",
230335000,False,2,A.N. Manapat Street,residential,,4,True,45.906,"LINESTRING (120.7724851 15.1525209, 120.7723194 15.1521403)",
886360584,False,2,,tertiary,,4,False,35.179,"LINESTRING (120.7724851 15.1525209, 120.7727681 15.1523613)",
886360584,False,2,,tertiary,,4,True,166.633,"LINESTRING (120.7724851 15.1525209, 120.7721761 15.1526878, 120.7718801 15.1528693, 120.771715 15.1529999, 120.7715335 15.1531613, 120.7714654 15.1532667, 120.7713557 15.153493)",
28356166,False,2,Jose Abad Santos Avenue,trunk,80,,False,21.099,"LINESTRING (120.7686409 15.1516632, 120.7685146 15.1515178)",3
28356166,False,2,Jose Abad Santos Avenue,trunk,80,,True,31.772,"LINESTRING (120.7686409 15.1516632, 120.7688178 15.1518923)",3
95348641,False,,,residential,,,False,30.445,"LINESTRING (120.7686409 15.1516632, 120.7687037 15.1513962)",
95348641,False,,,residential,,,True,66.241,"LINESTRING (120.7688891 15.150828, 120.7687037 15.1513962)",
97240853,False,2,General J. B. Alejandrino Street,tertiary,20,4,False,223.443,"LINESTRING (120.7688891 15.150828, 120.7690143 15.1508859, 120.769191 15.15093, 120.7698445 15.151067, 120.770184 15.1511161, 120.770923 15.1512307)",
97240853,False,2,General J. B. Alejandrino Street,tertiary,20,4,True,100.755,"LINESTRING (120.7688891 15.150828, 120.7687654 15.1507451, 120.768657 15.1506314, 120.7686086 15.1505201, 120.7685899 15.150421, 120.768612 15.1501246, 120.7686375 15.1500405)",
95914903,False,2,,tertiary,,,False,88.296,"LINESTRING (120.770923 15.1512307, 120.7711617 15.1504708)",
97240853,False,2,General J. B. Alejandrino Street,tertiary,20,4,False,31.574,"LINESTRING (120.770923 15.1512307, 120.7712163 15.1512526)",
97240853,False,2,General J. B. Alejandrino Street,tertiary,20,4,True,223.443,"LINESTRING (120.770923 15.1512307, 120.770184 15.1511161, 120.7698445 15.151067, 120.769191 15.15093, 120.7690143 15.1508859, 120.7688891 15.150828)",
97240853,False,2,General J. B. Alejandrino Street,tertiary,20,4,True,85.833,"LINESTRING (120.7720157 15.151246, 120.7718307 15.1512561, 120.7712163 15.1512526)",
230335000,False,2,A.N. Manapat Street,residential,,4,False,104.65100000000001,"LINESTRING (120.7720157 15.151246, 120.7720453 15.1513263, 120.7723194 15.1521403)",
230335000,False,2,A.N. Manapat Street,residential,,4,True,70.143,"LINESTRING (120.7720157 15.151246, 120.7719418 15.1510274, 120.771903 15.1508397, 120.7718749 15.150632)",
1037036531,False,2,Arayat-Magalang Road,secondary,,6,False,67.197,"LINESTRING (120.7688618 15.1468954, 120.7682542 15.1467497)",
221206220,False,2,J. M. Espino Street,secondary,20,5,True,286.567,"LINESTRING (120.7688618 15.1468954, 120.7688586 15.1469098, 120.7687338 15.1474108, 120.7686753 15.1477112, 120.7686617 15.1478256, 120.768663 15.1479537, 120.7686791 15.1480935, 120.7687086 15.148201, 120.7687607 15.1483115, 120.7687917 15.1483712, 120.7693845 15.1492613)",
97240853,False,2,General J. B. Alejandrino Street,tertiary,20,4,True,56.542,"LINESTRING (120.768979 15.1495859, 120.7693845 15.1492613)",
221160897,False,,,residential,,,False,66.337,"LINESTRING (120.768979 15.1495859, 120.768601 15.1491139)",
97240853,False,2,General J. B. Alejandrino Street,tertiary,20,4,False,62.837999999999994,"LINESTRING (120.768979 15.1495859, 120.7688708 15.1497, 120.7686764 15.1499511, 120.7686375 15.1500405)",
221160897,False,,,residential,,,True,66.337,"LINESTRING (120.768601 15.1491139, 120.768979 15.1495859)",
822387775,False,2,,residential,,4,False,182.731,"LINESTRING (120.7713557 15.153493, 120.7709575 15.1533577, 120.7707669 15.1532827, 120.7697451 15.1529617)",
886360584,False,2,,tertiary,,4,False,166.63299999999998,"LINESTRING (120.7713557 15.153493, 120.7714654 15.1532667, 120.7715335 15.1531613, 120.771715 15.1529999, 120.7718801 15.1528693, 120.7721761 15.1526878, 120.7724851 15.1525209)",
886360584,False,2,,tertiary,,4,True,111.90899999999999,"LINESTRING (120.7713557 15.153493, 120.7712158 15.1538845, 120.771085 15.1542139, 120.7710298 15.1543941, 120.7710147 15.1544436)",
28356166,False,2,Jose Abad Santos Avenue,trunk,80,,True,14.328,"LINESTRING (120.7697451 15.1529617, 120.769828 15.1530627)",3
28356166,False,2,Jose Abad Santos Avenue,trunk,80,,False,51.498000000000005,"LINESTRING (120.7697451 15.1529617, 120.7695246 15.1527059, 120.7694392 15.1526049)",3
822387775,False,2,,residential,,4,True,182.731,"LINESTRING (120.7697451 15.1529617, 120.7707669 15.1532827, 120.7709575 15.1533577, 120.7713557 15.153493)",
"[28356166, 50718231]",False,2,Jose Abad Santos Avenue,trunk,80,,False,199.50700000000003,"LINESTRING (120.7710147 15.1544436, 120.7705353 15.1538928, 120.7701648 15.1534656, 120.7700363 15.1533106, 120.7699316 15.1531848, 120.769828 15.1530627)",3
50718231,False,2,Jose Abad Santos Avenue,trunk,80,,True,66.87899999999999,"LINESTRING (120.7710147 15.1544436, 120.7712449 15.1547359, 120.7713975 15.1549181)",3
886360584,False,2,,tertiary,,4,False,111.90899999999999,"LINESTRING (120.7710147 15.1544436, 120.7710298 15.1543941, 120.771085 15.1542139, 120.7712158 15.1538845, 120.7713557 15.153493)",
886360584,False,2,,tertiary,,4,True,32.324,"LINESTRING (120.7769251 15.1504014, 120.7766468 15.1505125)",
221204798,False,1,,residential,,2.5,True,114.671,"LINESTRING (120.7769251 15.1504014, 120.7769805 15.1503387, 120.7770234 15.1502585, 120.7770073 15.1501497, 120.7767578 15.1494408)",
886360584,False,2,,tertiary,,4,False,20.745,"LINESTRING (120.774075 15.1515741, 120.774247 15.151489)",
