osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,width,geometry,bridge
573372381,True,2,452,A. Bonifacio Street,primary,40,False,59.93,,"LINESTRING (121.1806913 13.4139685, 121.1801651 13.4141373)",
169299900,False,2,452,Osmeña Street,primary,40,True,106.23700000000001,7,"LINESTRING (121.1806913 13.4139685, 121.1807565 13.4143136, 121.1807925 13.414454, 121.1808398 13.4147086, 121.180863 13.4148111, 121.1808808 13.414871, 121.1808917 13.4149031)",
573372376,False,2,,A. Bonifacio Street,tertiary,30,False,112.26499999999999,6,"LINESTRING (121.1806913 13.4139685, 121.1812233 13.4138012, 121.1816784 13.4136564)",
93419153,False,1,,Mabini Street,residential,30,False,109.262,4,"LINESTRING (121.180627 13.413655, 121.1815765 13.4133196)",
573372380,True,2,,Osmeña Street,primary,30,False,35.547,,"LINESTRING (121.180627 13.413655, 121.1806913 13.4139685)",
169299983,True,2,,Mabini Street,primary,30,False,61.986,,"LINESTRING (121.1800886 13.413846, 121.180627 13.413655)",
169300002,False,,,,unclassified,,True,78.383,,"LINESTRING (121.1800886 13.413846, 121.1797799 13.4140538, 121.1796405 13.414181, 121.179605 13.4143309)",
"[573372384, 573372385, 985412128]",False,2,452,J.P. Rizal Street,primary,40,False,149.608,"['9', '11']","LINESTRING (121.1800886 13.413846, 121.1799895 13.413486, 121.1799233 13.4132242, 121.1797574 13.4125398)",yes
169299888,False,2,,Leuterio Street,tertiary,30,False,87.873,6,"LINESTRING (121.1793172 13.4109164, 121.1792041 13.4109602, 121.1788821 13.411085, 121.1785551 13.4111891)",
985412132,False,2,452,J. P. Rizal Street,primary,40,True,98.119,9,"LINESTRING (121.1793172 13.4109164, 121.1793417 13.4110077, 121.1795459 13.4117703)",
985412202,False,2,452,J. P. Rizal Street,primary,40,False,96.078,9,"LINESTRING (121.1793172 13.4109164, 121.1792951 13.4108383, 121.1790812 13.4100834)",
985412203,False,2,,Quezon Drive,unclassified,40,False,95.93,,"LINESTRING (121.1818653 13.4161621, 121.1810735 13.4157734)",
69205289,False,2,452,Quezon Drive,primary,40,True,110.201,7,"LINESTRING (121.1818653 13.4161621, 121.1822965 13.4163869, 121.1825272 13.4165002, 121.1827737 13.4166102)",
169299900,False,2,452,Osmeña Street,primary,40,False,175.208,7,"LINESTRING (121.1818653 13.4161621, 121.1817494 13.4160177, 121.1817081 13.4159627, 121.1816564 13.4158889, 121.1815974 13.415812, 121.1814529 13.4156245, 121.1812766 13.4153902, 121.1811384 13.4152083, 121.1808917 13.4149031)",
