osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,bridge
369833375,4,140,Tayuman Street,primary,60,11,False,False,3.117,"LINESTRING (120.9710155 14.6179438, 120.9710424 14.6179334)",
833362301,4,140,Tayuman Street,primary,60,11,False,True,22.391,"LINESTRING (120.9710155 14.6179438, 120.970819 14.6180101)",
126174736,2,,,secondary_link,,,True,False,67.91199999999999,"LINESTRING (120.9710155 14.6179438, 120.9710126 14.6180956, 120.9710069 14.6181794, 120.9710103 14.6183413, 120.971012 14.6184312, 120.9710123 14.6185543)",
833362295,4,140,Tayuman Street,primary,60,12,False,True,123.843,"LINESTRING (120.9761027 14.6168856, 120.9761848 14.6168751, 120.9772447 14.6167466)",
885766558,4,140,Tayuman Street,primary,60,12,False,False,42.119,"LINESTRING (120.9761027 14.6168856, 120.9760224 14.6168978, 120.9757165 14.6169474)",
833362296,4,140,Tayuman Street,primary,60,12.2,False,True,9.79,"LINESTRING (120.970819 14.6180101, 120.9707529 14.6180706)",
833362301,4,140,Tayuman Street,primary,60,11,False,False,22.391,"LINESTRING (120.970819 14.6180101, 120.9710155 14.6179438)",
1067296110,2,,Juan Luna Street,secondary,50,,True,False,63.987,"LINESTRING (120.970819 14.6180101, 120.9710123 14.6185543)",
833362305,2,,Herbosa Street,tertiary,40,9,False,False,159.641,"LINESTRING (120.9690819 14.617737, 120.9705085 14.6173425)",
7715338,2,,Franco Street,residential,,,False,True,118.68,"LINESTRING (120.9690819 14.617737, 120.9690982 14.617794, 120.9691527 14.6180295, 120.9691555 14.6181619, 120.9689839 14.6187742)",
833696341,4,,Juan Luna Street,secondary,50,12.2,False,True,20.772,"LINESTRING (120.9722329 14.6220562, 120.9722895 14.6222348)",
"[7715385, 833696204]",4,,Juan Luna Street,secondary,50,12.2,False,False,113.78299999999999,"LINESTRING (120.9722329 14.6220562, 120.9721356 14.6217722, 120.9720091 14.6214133, 120.9718884 14.6210888)",
421750123,4,140,Tayuman Street,primary,60,12,False,True,13.864,"LINESTRING (120.9772447 14.6167466, 120.9773731 14.6167362)",
795519365,4,151,Abad Santos Avenue,secondary,50,,True,False,152.425,"LINESTRING (120.9772447 14.6167466, 120.9769447 14.6154069)",
833362295,4,140,Tayuman Street,primary,60,12,False,False,123.843,"LINESTRING (120.9772447 14.6167466, 120.9761848 14.6168751, 120.9761027 14.6168856)",
7715628,2,,F. Yuseco Street,tertiary,30,,False,True,12.644,"LINESTRING (120.9776402 14.6196194, 120.977757 14.6196069)",
1078950983,2,,F. Yuseco Street,tertiary,30,,False,False,69.298,"LINESTRING (120.9776402 14.6196194, 120.9770016 14.6197004)",
1078950984,4,151,Abad Santos Avenue,secondary,50,,True,False,176.417,"LINESTRING (120.9776402 14.6196194, 120.9774141 14.618048)",
833696235,4,,Raxabago Street,tertiary,30,,False,False,100.242,"LINESTRING (120.9715768 14.6202573, 120.9706923 14.6205405)",
7715385,4,,Juan Luna Street,secondary,50,12.2,False,True,98.35,"LINESTRING (120.9715768 14.6202573, 120.971716 14.6206249, 120.9718884 14.6210888)",
"[690399033, 1127952091, 833696220, 833696221]",4,,F. Yuseco Street,tertiary,30,,False,True,303.572,"LINESTRING (120.9715768 14.6202573, 120.9720844 14.620159, 120.9723017 14.6201229, 120.9723944 14.6201096, 120.9725967 14.6200863, 120.9728635 14.6200663, 120.9729337 14.6200609, 120.9729508 14.6200596, 120.9729829 14.620057, 120.9733402 14.6200455, 120.9735219 14.6200417, 120.9739213 14.6200279, 120.9743808 14.6200203)",
"[923235032, 833696236]",4,,Juan Luna Street,secondary,50,12.2,False,False,133.93099999999998,"LINESTRING (120.9715768 14.6202573, 120.971576 14.620255, 120.9712774 14.6194072, 120.9711787 14.6191161)",
179949240,2,,,residential,,,False,True,58.142,"LINESTRING (120.9697133 14.6208377, 120.9698877 14.6213326)",
923235031,4,,Raxabago Street,tertiary,30,,False,False,34.766,"LINESTRING (120.9697133 14.6208377, 120.969396 14.6208968)",
923235031,4,,Raxabago Street,tertiary,30,,False,True,36.242,"LINESTRING (120.9697133 14.6208377, 120.9700352 14.6207417)",
1088056381,2,,,residential,,,False,True,38.468,"LINESTRING (120.9697133 14.6208377, 120.9695987 14.62051)",
150158675,4,140,Tayuman Street,primary,60,12,False,True,81.073,"LINESTRING (120.9773731 14.6167362, 120.9781241 14.616677)",
421750122,4,151,Abad Santos Avenue,secondary,50,,True,False,321.869,"LINESTRING (120.9773731 14.6167362, 120.977757 14.6196069)",
421750123,4,140,Tayuman Street,primary,60,12,False,False,13.864,"LINESTRING (120.9773731 14.6167362, 120.9772447 14.6167466)",
7715628,2,,F. Yuseco Street,tertiary,30,,False,False,12.644,"LINESTRING (120.977757 14.6196069, 120.9776402 14.6196194)",
150158654,2,,F. Yuseco Street,tertiary,30,,False,False,34.639,"LINESTRING (120.977757 14.6196069, 120.9780763 14.6195671)",
1078950982,4,151,Abad Santos Avenue,secondary,50,,True,False,151.058,"LINESTRING (120.977757 14.6196069, 120.9779369 14.6209542)",
893280262,2,,Ambrosio Lorenzo Jr. Street,unclassified,,,False,False,12.087,"LINESTRING (120.9779369 14.6209542, 120.9778255 14.6209682)",
9162065,2,,Antipolo Street,tertiary,40,,False,False,67.151,"LINESTRING (120.9781428 14.6233341, 120.9777425 14.6233811, 120.9775312 14.6234434)",
"[22749792, 22749793]",4,151,Abad Santos Avenue,secondary,50,,True,False,39.358000000000004,"LINESTRING (120.9781428 14.6233341, 120.9781221 14.6231997, 120.9781168 14.6231628, 120.9780912 14.6229837)",
14096536,2,,Ambrosio Lorenzo Jr. Street,residential,,,False,False,95.251,"LINESTRING (120.9778255 14.6209682, 120.9769475 14.6210778)",
22749793,4,151,Abad Santos Avenue,secondary,50,,True,False,151.299,"LINESTRING (120.9778255 14.6209682, 120.9776402 14.6196194)",
893280262,2,,Ambrosio Lorenzo Jr. Street,unclassified,,,False,True,12.087,"LINESTRING (120.9778255 14.6209682, 120.9779369 14.6209542)",
833696216,4,140,Tayuman Street,primary,60,11,False,False,82.324,"LINESTRING (120.9725185 14.6175976, 120.973271 14.6174637)",
833696217,2,,Perfecto Street,residential,30,,False,False,111.759,"LINESTRING (120.9725185 14.6175976, 120.9727225 14.6185831)",
369833375,4,140,Tayuman Street,primary,60,11,False,True,163.178,"LINESTRING (120.9725185 14.6175976, 120.9720839 14.6176957, 120.9713956 14.61785, 120.9712134 14.6178869, 120.9710424 14.6179334)",
923277470,2,,Perfecto Street,residential,30,,False,False,93.08,"LINESTRING (120.9725185 14.6175976, 120.9724397 14.6171934, 120.9723437 14.6167779)",
833696200,4,140,Tayuman Street,primary,60,11,False,True,70.855,"LINESTRING (120.9739136 14.6173244, 120.973271 14.6174637)",
"[250480482, 54615786]",4,140,Tayuman Street,primary,60,12,False,True,72.20599999999999,"LINESTRING (120.9739136 14.6173244, 120.9741687 14.6172697, 120.9742066 14.617262, 120.9742274 14.6172578, 120.9742423 14.6172548, 120.9745698 14.6171885)",
369833371,2,,Dagupan Street,tertiary,40,,False,False,193.689,"LINESTRING (120.9739136 14.6173244, 120.9740491 14.6181068, 120.9741131 14.618476, 120.9742113 14.6190423)",
"[923277474, 800203515]",4,,Dagupan Street,tertiary,40,11,False,True,94.362,"LINESTRING (120.9739136 14.6173244, 120.9738297 14.6169254, 120.973819 14.6168772, 120.9737344 14.6164937)",
369833371,2,,Dagupan Street,tertiary,40,,False,True,110.267,"LINESTRING (120.9743808 14.6200203, 120.9742113 14.6190423)",
554806924,2,,Dagupan Street,residential,,,False,False,132.972,"LINESTRING (120.9743808 14.6200203, 120.9744721 14.6205689, 120.9744981 14.6207247, 120.9745563 14.621031, 120.9745806 14.6211907, 120.974582 14.6212001)",
"[833696205, 833696206]",4,,F. Yuseco Street,tertiary,30,,False,True,214.252,"LINESTRING (120.9743808 14.6200203, 120.9745266 14.6200161, 120.9746106 14.6200054, 120.9746278 14.6200028, 120.9746498 14.6199999, 120.9763559 14.6197806)",
"[690399033, 1127952091, 833696220, 833696221]",4,,F. Yuseco Street,tertiary,30,,False,False,303.572,"LINESTRING (120.9743808 14.6200203, 120.9739213 14.6200279, 120.9735219 14.6200417, 120.9733402 14.6200455, 120.9729829 14.620057, 120.9729508 14.6200596, 120.9729337 14.6200609, 120.9728635 14.6200663, 120.9725967 14.6200863, 120.9723944 14.6201096, 120.9723017 14.6201229, 120.9720844 14.620159, 120.9715768 14.6202573)",
554806924,2,,Dagupan Street,residential,,,False,True,132.97199999999998,"LINESTRING (120.974582 14.6212001, 120.9745806 14.6211907, 120.9745563 14.621031, 120.9744981 14.6207247, 120.9744721 14.6205689, 120.9743808 14.6200203)",
1088044464,2,,Arqueros Street,residential,,,False,False,152.935,"LINESTRING (120.9737344 14.6164937, 120.9723437 14.6167779)",
"[923277474, 800203515]",4,,Dagupan Street,tertiary,40,11,False,False,94.362,"LINESTRING (120.9737344 14.6164937, 120.973819 14.6168772, 120.9738297 14.6169254, 120.9739136 14.6173244)",
"[923277473, 923277474]",4,,Dagupan Street,tertiary,40,11,False,True,63.412000000000006,"LINESTRING (120.9737344 14.6164937, 120.9736716 14.6162091, 120.9736113 14.615936)",
1088044464,2,,Arqueros Street,residential,,,False,True,152.935,"LINESTRING (120.9723437 14.6167779, 120.9737344 14.6164937)",
"[923277470, 923277471]",2,,Perfecto Street,residential,30,,False,False,62.408,"LINESTRING (120.9723437 14.6167779, 120.9722774 14.6165019, 120.9722186 14.6162299)",
923277470,2,,Perfecto Street,residential,30,,False,True,93.08,"LINESTRING (120.9723437 14.6167779, 120.9724397 14.6171934, 120.9725185 14.6175976)",
"[1088044464, 16267489, 126174697, 1088044463]",2,,"['Prudencia Street', 'Arqueros Street']","['residential', 'unclassified']",,,False,False,242.238,"LINESTRING (120.9723437 14.6167779, 120.972289 14.6167903, 120.972038 14.6168472, 120.9720257 14.61685, 120.97181 14.616899, 120.9716047 14.6169456, 120.9710119 14.6170801, 120.9710198 14.617775, 120.9710424 14.6179334)",
103001211,,,Cabezas Street,residential,,,False,True,153.372,"LINESTRING (120.9722186 14.6162299, 120.9736113 14.615936)",
923277471,2,,Perfecto Street,residential,30,,False,False,78.749,"LINESTRING (120.9722186 14.6162299, 120.9721407 14.6158721, 120.9720603 14.6155385)",
"[923277470, 923277471]",2,,Perfecto Street,residential,30,,False,True,62.408,"LINESTRING (120.9722186 14.6162299, 120.9722774 14.6165019, 120.9723437 14.6167779)",
103001211,,,Cabezas Street,residential,,,False,False,153.372,"LINESTRING (120.9736113 14.615936, 120.9722186 14.6162299)",
"[923277473, 923277474]",4,,Dagupan Street,tertiary,40,11,False,False,63.412000000000006,"LINESTRING (120.9736113 14.615936, 120.9736716 14.6162091, 120.9737344 14.6164937)",
923277473,4,,Dagupan Street,tertiary,40,11,False,True,77.97800000000001,"LINESTRING (120.9736113 14.615936, 120.9735339 14.6155857, 120.9734599 14.6152502)",
16267531,,,Endaya Street,residential,,,False,False,108.912,"LINESTRING (120.9710697 14.6157398, 120.9713361 14.6156875, 120.9715406 14.6156454, 120.9720603 14.6155385)",
16267531,,,Endaya Street,residential,,,False,False,153.967,"LINESTRING (120.9720603 14.6155385, 120.9734599 14.6152502)",
