osmid,highway,oneway,reversed,length,lanes,geometry,name,maxspeed,bridge
332490823,residential,False,True,69.595,,"LINESTRING (123.3635161 8.5301134, 123.362911 8.5302968)",,,
723912363,secondary,False,False,72.458,2,"LINESTRING (123.3635161 8.5301134, 123.363352 8.5294823)",,,
847483931,residential,False,True,96.919,,"LINESTRING (123.3635161 8.5301134, 123.364356 8.5298492)",,,
723912363,secondary,False,True,144.182,2,"LINESTRING (123.3635161 8.5301134, 123.3635513 8.530234, 123.3638873 8.531357)",,,
332490824,residential,False,True,75.227,,"LINESTRING (123.3620884 8.5298207, 123.3622853 8.5304686)",,,
380526647,tertiary,False,False,66.383,,"LINESTRING (123.3620884 8.5298207, 123.3615057 8.5299767)",,,
380526647,tertiary,False,True,71.706,,"LINESTRING (123.3620884 8.5298207, 123.3627178 8.5296521)",,,
681754418,residential,False,True,75.546,,"LINESTRING (123.3620884 8.5298207, 123.3619016 8.5291669)",,,
332490823,residential,False,False,71.408,,"LINESTRING (123.3622853 8.5304686, 123.362911 8.5302968)",,,
332490823,residential,False,True,69.08,,"LINESTRING (123.3622853 8.5304686, 123.3616818 8.5306411)",,,
332490824,residential,False,False,75.227,,"LINESTRING (123.3622853 8.5304686, 123.3620884 8.5298207)",,,
332490824,residential,False,True,141.72,,"LINESTRING (123.3622853 8.5304686, 123.3626343 8.5316955)",,,
332490821,secondary,False,False,76.937,4,"LINESTRING (123.3630547 8.5331627, 123.3623829 8.533356)",Polanco - Piñan Road,60,
332490821,secondary,False,True,74.632,4,"LINESTRING (123.3630547 8.5331627, 123.363705 8.5329706)",Polanco - Piñan Road,60,
332490824,residential,False,False,76.742,,"LINESTRING (123.3630547 8.5331627, 123.3628785 8.5324949)",,,
380526647,tertiary,False,False,72.251,,"LINESTRING (123.363352 8.5294823, 123.3627178 8.5296521)",,,
723912363,secondary,False,False,83.548,2,"LINESTRING (123.363352 8.5294823, 123.3631438 8.5287597)",,,
723912363,secondary,False,True,72.458,2,"LINESTRING (123.363352 8.5294823, 123.3635161 8.5301134)",,,
