osmid,highway,oneway,reversed,length,name,lanes,ref,geometry,junction
169163259,residential,False,True,117.679,,,,"LINESTRING (-2.7984864 8.0423941, -2.7976854 8.0430948)",
778908235,primary,False,False,151.573,Koutouba - Bondoukou,,,"LINESTRING (-2.7984864 8.0423941, -2.7993831 8.0434284)",
778908235,primary,False,True,92.338,Koutouba - Bondoukou,,,"LINESTRING (-2.7984864 8.0423941, -2.7979618 8.0417462)",
246436222,primary,False,True,121.596,,2,A1,"LINESTRING (-2.7984864 8.0423941, -2.7988905 8.0420441, -2.79932 8.0416768)",
169163272,tertiary,False,False,79.819,,,,"LINESTRING (-2.8023431 8.0374322, -2.8028554 8.0369243)",
169163272,tertiary,False,True,119.808,,,,"LINESTRING (-2.8023431 8.0374322, -2.8015204 8.0381374)",
317500918,unclassified,False,False,212.863,,,,"LINESTRING (-2.8023431 8.0374322, -2.8008024 8.0362758)",
169163275,residential,False,False,158.125,,,,"LINESTRING (-2.7969291 8.0389242, -2.7978661 8.0400019)",
172174841,tertiary,False,False,27.302,,,,"LINESTRING (-2.7969291 8.0389242, -2.796687 8.0389773)",
172174841,tertiary,False,True,54.763,,,,"LINESTRING (-2.7969291 8.0389242, -2.797415 8.038819)",
172174789,primary,False,True,165.056,Bondoukou - Sampa,,A102,"LINESTRING (-2.7958294 8.0393422, -2.7948659 8.038205)",
166970338,tertiary,False,False,129.194,,,,"LINESTRING (-2.7958294 8.0393422, -2.7957225 8.0394387, -2.7949622 8.0401249)",
172174841,tertiary,False,True,50.555,,,,"LINESTRING (-2.7958294 8.0393422, -2.7960178 8.0391917, -2.796103 8.0391413, -2.7962082 8.0390887)",
501872685,primary,False,False,202.33100000000002,Bondoukou - Sampa,,A102,"LINESTRING (-2.7958294 8.0393422, -2.7960497 8.0395852, -2.7964409 8.0400373, -2.7970289 8.0407206)",
169163275,residential,False,False,108.876,,,,"LINESTRING (-2.7978661 8.0400019, -2.7985147 8.040741)",
169163275,residential,False,True,158.125,,,,"LINESTRING (-2.7978661 8.0400019, -2.7969291 8.0389242)",
449271247,residential,False,False,15.574,,,,"LINESTRING (-2.7978661 8.0400019, -2.7977617 8.0400964)",
169163255,residential,False,True,102.445,,,,"LINESTRING (-2.7977617 8.0400964, -2.7977122 8.0410164)",
449271247,residential,False,False,49.207,,,,"LINESTRING (-2.7977617 8.0400964, -2.7974229 8.040385)",
449271247,residential,False,True,15.574,,,,"LINESTRING (-2.7977617 8.0400964, -2.7978661 8.0400019)",
166970338,tertiary,False,False,155.47,,,,"LINESTRING (-2.7949622 8.0401249, -2.7939867 8.0411358)",
784088936,residential,False,False,205.781,,,,"LINESTRING (-2.7949622 8.0401249, -2.7961886 8.0415214)",
784088936,residential,False,True,166.854,,,,"LINESTRING (-2.7949622 8.0401249, -2.7939605 8.0389989)",
