osmid,oneway,lanes,ref,highway,reversed,length,maxspeed,geometry,name
106970475,False,2,A8,primary,False,20.193,,"LINESTRING (-7.5475654 7.4130493, -7.5473853 7.4130164)",
109512359,True,2,A8,primary,False,33.714,60,"LINESTRING (-7.5475654 7.4130493, -7.5478661 7.4131042)",
114947052,False,,,residential,False,95.252,,"LINESTRING (-7.5507644 7.4090307, -7.5500972 7.4084866)",
114923049,False,2,,secondary,True,96.445,,"LINESTRING (-7.5507644 7.4090307, -7.5509126 7.409157, -7.5511027 7.4093163, -7.5512954 7.4094701, -7.551444 7.409576)",
114944806,True,2,A8,primary,False,93.622,60,"LINESTRING (-7.5507644 7.4090307, -7.5506275 7.4092075, -7.5502473 7.4096985)",Avenue du Président Alassane Ouattara
460963944,False,,,residential,True,71.249,,"LINESTRING (-7.5541963 7.4047524, -7.5542818 7.4048238, -7.5546904 7.4051653)",
942218326,False,2,A8,primary,False,200.689,55,"LINESTRING (-7.5541963 7.4047524, -7.554159 7.4048002, -7.5530751 7.4061741)",Avenue du Président Alassane Ouattara
460963954,False,,,residential,False,94.916,,"LINESTRING (-7.5512713 7.408391, -7.5506083 7.4078466)",
109510374,False,,,residential,True,96.967,,"LINESTRING (-7.5512713 7.408391, -7.5513761 7.4084742, -7.5519702 7.4089202)",
114944806,True,2,A8,primary,False,90.49699999999999,60,"LINESTRING (-7.5512713 7.408391, -7.5512257 7.4084416, -7.5510397 7.4086707, -7.5510208 7.408694, -7.5509763 7.4087488, -7.5508596 7.4089057, -7.5508481 7.4089208, -7.5507644 7.4090307)",Avenue du Président Alassane Ouattara
109510366,False,,,residential,True,94.802,,"LINESTRING (-7.5497399 7.4103303, -7.5504067 7.4108685)",
114944806,True,2,A8,primary,False,94.587,60,"LINESTRING (-7.5497399 7.4103303, -7.5492055 7.4109957)",Avenue du Président Alassane Ouattara
300274509,False,,,residential,False,96.405,,"LINESTRING (-7.5497399 7.4103303, -7.5490487 7.4097994)",
109510372,False,,,residential,True,95.721,,"LINESTRING (-7.5487041 7.4116079, -7.5493719 7.4121579)",
