osmid,oneway,lanes,name,highway,reversed,length,geometry,service,access,maxspeed
90692993,True,4,Avenue Camille Aliali,secondary,False,71.094,"LINESTRING (-4.0216825 5.3325284, -4.0216722 5.3322687, -4.0216763 5.3320322, -4.0216788 5.3318893)",,,
30618475,True,2,Avenue John Creppy,tertiary,False,63.397000000000006,"LINESTRING (-4.0216787 5.3317776, -4.0214427 5.3317748, -4.0211061 5.3317765)",,,
1165424847,True,,Avenue Camille Aliali,secondary,False,241.07799999999997,"LINESTRING (-4.0216787 5.3317776, -4.0216787 5.3316539, -4.0216785 5.3312192, -4.0216782 5.3304932, -4.0216994 5.3296098)",,,
"[744068594, 739794075, 1165424845, 690076798]",False,,Avenue Carde,secondary,True,243.32600000000002,"LINESTRING (-4.023872 5.3318112, -4.0238732 5.3317551, -4.0238745 5.3316989, -4.0238837 5.3312414, -4.0238915 5.3309384, -4.0238957 5.3307283, -4.0239025 5.3296232)",,,
693477866,False,,Avenue Carde,secondary,False,76.645,"LINESTRING (-4.023872 5.3318112, -4.0238716 5.3318591, -4.0238525 5.3325002)",,,
"[738036784, 693477867]",False,2,Avenue Michel Kouassi Goly,tertiary,True,120.531,"LINESTRING (-4.023872 5.3318112, -4.0237104 5.3318084, -4.0236819 5.3318079, -4.0230203 5.3317963, -4.0227835 5.3317921)",,,
310734719,False,4,Avenue Jeanne Gervais,tertiary,True,240.62100000000004,"LINESTRING (-4.0206362 5.3296016, -4.0206399 5.3300645, -4.0206293 5.3306119, -4.0206273 5.3310366, -4.0206286 5.3313744, -4.0206222 5.3316118, -4.0206177 5.3316353, -4.0206157 5.3317649)",,,
739768142,False,,Rue du Dr Jamot,residential,True,117.73400000000001,"LINESTRING (-4.0206362 5.3296016, -4.0206756 5.3296014, -4.0211745 5.3296043, -4.021662 5.329606, -4.0216994 5.3296098)",,,
739768148,False,4,Avenue Jeanne Gervais,tertiary,False,241.192,"LINESTRING (-4.0206362 5.3296016, -4.0206499 5.3288908, -4.0206463 5.3284688, -4.0206377 5.3274458, -4.0206378 5.3274327)",,,
1227659245,False,,Rue du Dr Jamot,residential,False,119.575,"LINESTRING (-4.0206362 5.3296016, -4.0205965 5.3296006, -4.0195946 5.3295966, -4.0195562 5.3295972)",,,
739768142,False,,Rue du Dr Jamot,residential,False,117.73399999999998,"LINESTRING (-4.0216994 5.3296098, -4.021662 5.329606, -4.0211745 5.3296043, -4.0206756 5.3296014, -4.0206362 5.3296016)",,,
1168918822,True,,Avenue Camille Aliali,secondary,False,243.046,"LINESTRING (-4.0216994 5.3296098, -4.0217164 5.3274326, -4.0217165 5.3274241)",,,
1227659246,False,,Rue Catherine Amon D'aby,residential,True,122.953,"LINESTRING (-4.0216994 5.3296098, -4.0227422 5.3296157, -4.0228098 5.3296198)",,,
729125001,True,3,Avenue Jean-Paul II,secondary,False,58.712,"LINESTRING (-4.0206232 5.3320289, -4.0211535 5.3320269)",,,
22726615,True,2,Avenue Jean-Paul II,tertiary,False,54.620999999999995,"LINESTRING (-4.0212046 5.3320247, -4.0214436 5.3319565, -4.0215633 5.3319241, -4.0215983 5.3319146, -4.0216788 5.3318893)",,,
"[331485130, 331571794]",True,2,Avenue Jean-Paul II,secondary,False,85.03699999999999,"LINESTRING (-4.0212046 5.3320247, -4.0212569 5.3320334, -4.0213153 5.3320434, -4.021383 5.3320601, -4.0214415 5.3320895, -4.0214854 5.3321167, -4.0215252 5.3321489, -4.021548 5.3321743, -4.0215869 5.3322324, -4.021619 5.3322991, -4.0216825 5.3325284)",,,
90692993,True,4,Avenue Camille Aliali,secondary,False,12.42,"LINESTRING (-4.0216788 5.3318893, -4.0216787 5.3317776)",,,
645303671,True,,,tertiary,False,34.584,"LINESTRING (-4.0216788 5.3318893, -4.0218544 5.3318445, -4.0219671 5.3317778)",,,
"[158011620, 30618478]",True,"['2', '3']",Avenue Jean-Paul II,secondary,False,362.238,"LINESTRING (-4.0195562 5.3295972, -4.0195504 5.3303035, -4.0195537 5.331174, -4.0195496 5.3315472, -4.0195707 5.3316554, -4.0196039 5.3317251, -4.0196295 5.3317633, -4.0196641 5.3318105, -4.0197007 5.3318499, -4.0197432 5.3318883, -4.0197906 5.3319227, -4.019887 5.3319655, -4.0199577 5.331992, -4.0200057 5.3320087, -4.0200586 5.3320171, -4.0203602 5.3320295, -4.020478 5.3320295, -4.0206232 5.3320289)",,,
1227659245,False,,Rue du Dr Jamot,residential,True,119.575,"LINESTRING (-4.0195562 5.3295972, -4.0195946 5.3295966, -4.0205965 5.3296006, -4.0206362 5.3296016)",,,
"[1168918824, 22775821]",False,,Avenue Carde,secondary,True,244.094,"LINESTRING (-4.0239025 5.3296232, -4.0239095 5.3285471, -4.0239172 5.3278051, -4.0239211 5.3274281)",,,
739768147,False,,Rue Catherine Amon D'aby,residential,False,120.979,"LINESTRING (-4.0239025 5.3296232, -4.0238563 5.3296239, -4.0228098 5.3296198)",,,
"[744068594, 739794075, 1165424845, 690076798]",False,,Avenue Carde,secondary,False,243.32600000000002,"LINESTRING (-4.0239025 5.3296232, -4.0238957 5.3307283, -4.0238915 5.3309384, -4.0238837 5.3312414, -4.0238745 5.3316989, -4.0238732 5.3317551, -4.023872 5.3318112)",,,
690076770,False,,Avenue Carde,secondary,False,18.222,"LINESTRING (-4.0239246 5.3263074, -4.0239296 5.3264712)",,,
"[1134595833, 30617446, 62380359]",True,,Avenue Antoine Konan Kanga,residential,False,468.36599999999993,"LINESTRING (-4.0239246 5.3263074, -4.0239295 5.3260176, -4.0239315 5.3258051, -4.0239443 5.3244819, -4.0239252 5.3243786, -4.0238939 5.3243001, -4.0238503 5.3242444, -4.0237754 5.3241972, -4.0236981 5.3241831, -4.0234459 5.324184, -4.0228584 5.3241869, -4.0221741 5.3241804, -4.0217298 5.3241767)",,,
1165426093,False,,Avenue Ouattara Thomas D'aquin,secondary,False,88.761,"LINESTRING (-4.0239246 5.3263074, -4.024103 5.3263238, -4.0244576 5.3263492, -4.0244663 5.3263494, -4.0245599 5.3263513, -4.0247244 5.326343)",,,
310734717,True,,Avenue Antoine Konan Kanga,tertiary,False,116.287,"LINESTRING (-4.0217298 5.3241767, -4.0207309 5.3241722, -4.0206795 5.3241712)",,,
"[1134595834, 1133821307, 30617450]",True,,Avenue Ouattara Thomas D'aquin,residential,False,164.57200000000003,"LINESTRING (-4.0217298 5.3241767, -4.0219672 5.3243786, -4.0221134 5.3245041, -4.0226305 5.3250374, -4.0226925 5.3251014, -4.0227808 5.3252189)",,,
90692991,True,,Avenue Camille Aliali,secondary,False,118.84100000000001,"LINESTRING (-4.0217165 5.3274241, -4.0217263 5.3265205, -4.0217281 5.3263554)",,,
310734714,False,,Avenue Seydou Diarra,residential,False,119.433,"LINESTRING (-4.0217165 5.3274241, -4.021696 5.3274241, -4.0216785 5.3274242, -4.0207452 5.3274318, -4.0206378 5.3274327)",,,
1168918823,False,,Avenue Crozet,residential,True,121.244,"LINESTRING (-4.0217165 5.3274241, -4.0217505 5.3274242, -4.0228116 5.3274261)",,,
744377151,True,3,Avenue Terrasson de Fougères,tertiary,False,101.061,"LINESTRING (-4.0195922 5.3241707, -4.0195191 5.3241705, -4.0186794 5.3241676)",,,
1133801225,True,3,Boulevard de la République,secondary,False,120.38,"LINESTRING (-4.0195922 5.3241707, -4.0195922 5.3241981, -4.0195921 5.3242534, -4.0195914 5.325119, -4.0195912 5.3252533)",,,
30618478,True,2,Avenue Jean-Paul II,secondary,False,86.469,"LINESTRING (-4.0195912 5.3252533, -4.0195941 5.3256295, -4.0195985 5.3260309)",,,
1054039399,True,,Boulevard de la République,secondary,False,118.524,"LINESTRING (-4.0195912 5.3252533, -4.0196965 5.3252634, -4.0198681 5.3252695, -4.0206099 5.3252719, -4.0206611 5.3252702)",,,
644953698,False,3,Avenue Clozel,tertiary,True,11.707,"LINESTRING (-4.0206568 5.325165, -4.0206611 5.3252702)",,,
90686948,False,2,Boulevard de la République,secondary,True,117.954,"LINESTRING (-4.0206568 5.325165, -4.020693 5.325169, -4.0217218 5.3251875)",bus,no,
"[727856497, 1165424844]",True,"['4', '3']",Avenue Clozel,"['residential', 'tertiary']",False,110.54,"LINESTRING (-4.0206568 5.325165, -4.0206806 5.3242218, -4.0206795 5.3241712)",,,
"[729125002, 331485119]",False,2,Boulevard de la République,secondary,False,208.651,"LINESTRING (-4.0206568 5.325165, -4.0198735 5.3251639, -4.0198137 5.3251511, -4.0197499 5.325112, -4.0197163 5.3250756, -4.0196948 5.3250116, -4.0197071 5.3242519, -4.0197085 5.3241676)",bus,no,
744377151,True,3,Avenue Terrasson de Fougères,tertiary,False,104.728,"LINESTRING (-4.0179565 5.3241566, -4.0176488 5.3241544, -4.0173574 5.3241575, -4.0170106 5.3241581)",,,
1165923217,True,,Boulevard Botreau Roussel,tertiary,False,22.037,"LINESTRING (-4.0170106 5.3241581, -4.0169889 5.3243551)",,,
744377151,True,3,Avenue Terrasson de Fougères,tertiary,False,24.424999999999997,"LINESTRING (-4.0170106 5.3241581, -4.0169514 5.3240691, -4.0168937 5.3239719)",,,
62380340,True,,Rue Lecoeur,residential,False,121.32600000000001,"LINESTRING (-4.0179302 5.3252474, -4.017941 5.3248007, -4.0179565 5.3241566)",,,
295408301,True,4,Avenue Boa Amoakon Edjampan Tiemele,tertiary,False,83.184,"LINESTRING (-4.0179302 5.3252474, -4.0182509 5.325246, -4.0186815 5.3252507)",,,
295408301,True,4,Avenue Boa Amoakon Edjampan Tiemele,tertiary,False,100.418,"LINESTRING (-4.0170366 5.3251624, -4.0171163 5.325208, -4.0172216 5.3252193, -4.0179302 5.3252474)",,,
1219861525,False,,,residential,True,222.85299999999998,"LINESTRING (-4.0170366 5.3251624, -4.0169262 5.3253093, -4.016908 5.3253421, -4.0168719 5.3254046, -4.0168539 5.325974, -4.0168649 5.3260378, -4.0168936 5.3260598, -4.0169312 5.3260708, -4.0178259 5.326058, -4.0179288 5.3260161)",,,
310734717,True,,Avenue Antoine Konan Kanga,tertiary,False,107.519,"LINESTRING (-4.0206795 5.3241712, -4.0206036 5.3241707, -4.0199345 5.3241737, -4.0198622 5.3241731, -4.0197693 5.3241683, -4.0197085 5.3241676)",,,
