osmid,oneway,lanes,highway,reversed,length,geometry,junction,maxspeed
392247859,False,2,tertiary,False,261.188,"LINESTRING (-5.0690736 6.2691138, -5.0694072 6.2684133, -5.0696453 6.2678148, -5.0697286 6.2675848, -5.0698345 6.2671696, -5.0699035 6.2669214)",,
531825501,True,,tertiary,False,18.819999999999997,"LINESTRING (-5.0699512 6.2667867, -5.0699286 6.2667955, -5.0699094 6.2668103, -5.0698951 6.2668299, -5.069887 6.2668527, -5.0698858 6.2668769, -5.0698914 6.2669004, -5.0699035 6.2669214)",roundabout,
531825503,False,2,tertiary,False,397.116,"LINESTRING (-5.0699512 6.2667867, -5.0700054 6.2663817, -5.0703406 6.2633636, -5.0703483 6.2632375)",,50
508440888,False,,unclassified,True,157.897,"LINESTRING (-5.0700486 6.266903, -5.0701497 6.2669538, -5.0702703 6.2670351, -5.0705718 6.2673188, -5.0707268 6.2675176, -5.070815 6.2676569, -5.0709052 6.267848, -5.0709495 6.2679625)",,
531825501,True,,tertiary,False,20.695,"LINESTRING (-5.0700486 6.266903, -5.0700556 6.2668728, -5.0700513 6.2668421, -5.070036 6.266815, -5.070012 6.2667952, -5.0699824 6.2667854, -5.0699512 6.2667867)",roundabout,
392247859,False,2,tertiary,True,261.188,"LINESTRING (-5.0699035 6.2669214, -5.0698345 6.2671696, -5.0697286 6.2675848, -5.0696453 6.2678148, -5.0694072 6.2684133, -5.0690736 6.2691138)",,
531825501,True,,tertiary,False,19.374999999999996,"LINESTRING (-5.0699035 6.2669214, -5.0699211 6.2669381, -5.0699435 6.2669494, -5.0699683 6.2669538, -5.0699933 6.2669508, -5.0700163 6.2669406, -5.0700353 6.2669242, -5.0700486 6.266903)",roundabout,
725047250,False,,residential,True,298.467,"LINESTRING (-5.0715708 6.2676333, -5.071267 6.2670595, -5.070915 6.2663529, -5.0707542 6.2660235, -5.0707297 6.2659699, -5.070716 6.2659124, -5.0707062 6.2658266, -5.0707297 6.2655917, -5.0708088 6.265158)",,
725047251,False,,residential,True,77.82000000000001,"LINESTRING (-5.0715708 6.2676333, -5.0715343 6.2676527, -5.0709495 6.2679625)",,
725047250,False,,residential,True,51.064,"LINESTRING (-5.0710702 6.26335, -5.0711454 6.2628969)",,
725047252,False,,residential,False,165.942,"LINESTRING (-5.0710702 6.26335, -5.0725534 6.2635811)",,
725047252,False,,residential,True,80.767,"LINESTRING (-5.0710702 6.26335, -5.0703483 6.2632375)",,
725047250,False,,residential,False,105.609,"LINESTRING (-5.0710702 6.26335, -5.0710474 6.2635714, -5.0709461 6.2642916)",,
725047250,False,,residential,False,51.064,"LINESTRING (-5.0711454 6.2628969, -5.0710702 6.26335)",,
508440888,False,,unclassified,False,157.897,"LINESTRING (-5.0709495 6.2679625, -5.0709052 6.267848, -5.070815 6.2676569, -5.0707268 6.2675176, -5.0705718 6.2673188, -5.0702703 6.2670351, -5.0701497 6.2669538, -5.0700486 6.266903)",,
508440888,False,,unclassified,True,264.704,"LINESTRING (-5.0709495 6.2679625, -5.0710224 6.2681511, -5.0710836 6.2683493, -5.0711631 6.2686783, -5.0712042 6.2689961, -5.0712418 6.269394, -5.0712503 6.2694834, -5.0712526 6.2697837, -5.0712533 6.2700174, -5.0712486 6.2703063)",,
