osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge
34575248,вуліца Пінчука,residential,False,True,177.675,,,"LINESTRING (30.8055057 51.9401945, 30.8033067 51.9393487)",
"[545825144, 1234844635]",вуліца Леніна,tertiary,False,False,280.854,"['Р125', 'Р32']",60,"LINESTRING (30.8055057 51.9401945, 30.8056288 51.9400695, 30.8059279 51.9397657, 30.806011 51.93963, 30.8060396 51.9393838, 30.8059842 51.9390548, 30.8057582 51.9387075, 30.8050996 51.9378738)",
80249234,вуліца Леніна,tertiary,False,True,32.566,Р125,60,"LINESTRING (30.7925505 51.9332198, 30.7926117 51.9332406, 30.7929909 51.9333285)",
34574698,вуліца Царыкава,residential,False,False,35.795,,,"LINESTRING (30.8050996 51.9378738, 30.8055603 51.9377223)",
34575250,,residential,False,False,119.89500000000001,,,"LINESTRING (30.8050996 51.9378738, 30.8046636 51.937922, 30.8042712 51.9380218, 30.8035351 51.9383208)",
545825144,вуліца Леніна,tertiary,False,False,187.82,Р125,60,"LINESTRING (30.8050996 51.9378738, 30.8050146 51.937802, 30.8049028 51.9377193, 30.8047953 51.9376701, 30.8028571 51.9369216)",
"[545825144, 1234844635]",вуліца Леніна,tertiary,False,True,280.854,"['Р125', 'Р32']",60,"LINESTRING (30.8050996 51.9378738, 30.8057582 51.9387075, 30.8059842 51.9390548, 30.8060396 51.9393838, 30.806011 51.93963, 30.8059279 51.9397657, 30.8056288 51.9400695, 30.8055057 51.9401945)",
80249234,вуліца Леніна,tertiary,False,True,75.961,Р125,60,"LINESTRING (30.7929909 51.9333285, 30.7939996 51.9336111)",
80249234,вуліца Леніна,tertiary,False,False,32.566,Р125,60,"LINESTRING (30.7929909 51.9333285, 30.7926117 51.9332406, 30.7925505 51.9332198)",
34574698,вуліца Царыкава,residential,False,True,35.795,,,"LINESTRING (30.8055603 51.9377223, 30.8050996 51.9378738)",
34574698,вуліца Царыкава,residential,False,False,540.139,,,"LINESTRING (30.8055603 51.9377223, 30.8064937 51.9374403, 30.8060279 51.9363243, 30.805482 51.9348967, 30.8044836 51.9334224)",
34575104,Інтэрнацыянальная вуліца,residential,False,False,230.44,,,"LINESTRING (30.8055603 51.9377223, 30.8053506 51.9370998, 30.8051601 51.9369248, 30.8048658 51.9366915, 30.8047197 51.9366045, 30.8036518 51.9361412)",
34574698,вуліца Царыкава,residential,False,False,278.284,,,"LINESTRING (30.8044836 51.9334224, 30.8039302 51.9325907, 30.8038432 51.9324405, 30.8031146 51.9318259, 30.8026185 51.9316375, 30.8021106 51.9315558)",
34574698,вуліца Царыкава,residential,False,True,540.139,,,"LINESTRING (30.8044836 51.9334224, 30.805482 51.9348967, 30.8060279 51.9363243, 30.8064937 51.9374403, 30.8055603 51.9377223)",
34575101,вуліца Тэльмана,residential,False,False,200.94599999999997,,,"LINESTRING (30.8044836 51.9334224, 30.803784 51.93365, 30.803462 51.9337729, 30.8031638 51.933915, 30.8023891 51.9344195, 30.8022669 51.9345593)",
34574698,вуліца Царыкава,residential,False,True,31.378,,,"LINESTRING (30.8016678 51.9314845, 30.8021106 51.9315558)",
137929781,вуліца Чапаева,residential,False,False,118.626,,,"LINESTRING (30.7971281 51.9318242, 30.7965554 51.9321959, 30.7958609 51.9325476)",
"[889100160, 889100161, 34575027]",Піянерская вуліца,residential,False,False,38.49999999999999,,,"LINESTRING (30.7971281 51.9318242, 30.7971982 51.9318582, 30.7973005 51.9319092, 30.7974526 51.9319849, 30.7975389 51.9320019, 30.7975936 51.9320025)",yes
137929781,вуліца Чапаева,residential,False,False,174.113,,,"LINESTRING (30.7958609 51.9325476, 30.7948701 51.9330721, 30.7939996 51.9336111)",
137929781,вуліца Чапаева,residential,False,True,118.626,,,"LINESTRING (30.7958609 51.9325476, 30.7965554 51.9321959, 30.7971281 51.9318242)",
80249234,вуліца Леніна,tertiary,False,False,75.961,Р125,60,"LINESTRING (30.7939996 51.9336111, 30.7929909 51.9333285)",
"[80249234, 889100166, 889100167]",вуліца Леніна,tertiary,False,True,88.248,Р125,60,"LINESTRING (30.7939996 51.9336111, 30.7945288 51.9338103, 30.7948224 51.9339522, 30.7950339 51.9340782)",yes
137929781,вуліца Чапаева,residential,False,True,174.113,,,"LINESTRING (30.7939996 51.9336111, 30.7948701 51.9330721, 30.7958609 51.9325476)",
34575027,Піянерская вуліца,residential,False,False,104.737,,,"LINESTRING (30.7998271 51.9330475, 30.8008568 51.9337433)",
34575241,2-я Піянерская вуліца,residential,False,True,81.359,,,"LINESTRING (30.7998271 51.9330475, 30.800596 51.9324902)",
34575027,Піянерская вуліца,residential,False,True,156.433,,,"LINESTRING (30.7998271 51.9330475, 30.7989666 51.9325474, 30.7981161 51.9321181)",
34575027,Піянерская вуліца,residential,False,True,104.737,,,"LINESTRING (30.8008568 51.9337433, 30.7998271 51.9330475)",
34575239,Кааператыўная вуліца,residential,False,False,17.761,,,"LINESTRING (30.8008568 51.9337433, 30.8007388 51.9338855)",
34575239,Кааператыўная вуліца,residential,False,True,94.637,,,"LINESTRING (30.8008568 51.9337433, 30.8018496 51.933152)",
34575101,вуліца Тэльмана,residential,False,False,104.029,,,"LINESTRING (30.8022669 51.9345593, 30.8014662 51.935354)",
255229980,Піянерская вуліца,residential,False,True,128.799,,,"LINESTRING (30.8022669 51.9345593, 30.8007388 51.9338855)",
