osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,lanes,maxspeed
136170013,Савецкая вуліца,tertiary,False,True,98.012,"LINESTRING (25.2917427 53.3164421, 25.2911006 53.3170996, 25.2909999 53.3172037)",,,,
130385173,Савецкая вуліца,tertiary,False,False,428.58900000000006,"LINESTRING (25.2900266 53.320971, 25.2900781 53.3207451, 25.2901514 53.3205449, 25.2902745 53.320209, 25.2904568 53.3197113, 25.2906312 53.3192836, 25.2906951 53.3190381, 25.290819 53.3185626, 25.2909861 53.3179412, 25.2911135 53.3174671, 25.291121 53.3174127, 25.2911308 53.3173421, 25.2911013 53.3172732, 25.2909999 53.3172037)",,,,
329724320,вуліца Леніна,tertiary,False,False,231.94299999999998,"LINESTRING (25.2900266 53.320971, 25.2902979 53.3209291, 25.2904001 53.3209381, 25.2907676 53.3210478, 25.2912569 53.3211986, 25.2931809 53.3217679)",Н6085,,,
334879720,вуліца Леніна,tertiary,False,True,240.337,"LINESTRING (25.2900266 53.320971, 25.2894397 53.3211097, 25.2889724 53.3212345, 25.2881904 53.3214433, 25.2871624 53.321958, 25.2870887 53.3219949, 25.2870035 53.3220905)",,,,
329724320,вуліца Леніна,tertiary,False,True,106.512,"LINESTRING (25.2946117 53.3222005, 25.2940863 53.3220417, 25.2933142 53.3218082, 25.2931809 53.3217679)",Н6085,,,
334879720,вуліца Леніна,tertiary,False,False,240.337,"LINESTRING (25.2870035 53.3220905, 25.2870887 53.3219949, 25.2871624 53.321958, 25.2881904 53.3214433, 25.2889724 53.3212345, 25.2894397 53.3211097, 25.2900266 53.320971)",,,,
"[334879720, 130384367, 334879719]",вуліца Леніна,tertiary,False,True,343.294,"LINESTRING (25.2870035 53.3220905, 25.2868038 53.3220387, 25.2865778 53.321973, 25.2853139 53.3216391, 25.282272 53.3208483)",,yes,,
"[334879696, 25287171, 334879709]",,tertiary,False,False,222.616,"LINESTRING (25.2909999 53.3172037, 25.2898429 53.3170799, 25.2896085 53.3170605, 25.2892122 53.3170302, 25.2891606 53.3170195, 25.288969 53.3169799, 25.2888872 53.3169503, 25.2887867 53.316902, 25.2886862 53.3168108, 25.2885381 53.3166762, 25.2882054 53.3163741)",,yes,,
130385173,Савецкая вуліца,tertiary,False,True,428.589,"LINESTRING (25.2909999 53.3172037, 25.2911013 53.3172732, 25.2911308 53.3173421, 25.291121 53.3174127, 25.2911135 53.3174671, 25.2909861 53.3179412, 25.290819 53.3185626, 25.2906951 53.3190381, 25.2906312 53.3192836, 25.2904568 53.3197113, 25.2902745 53.320209, 25.2901514 53.3205449, 25.2900781 53.3207451, 25.2900266 53.320971)",,,,
136170013,Савецкая вуліца,tertiary,False,False,98.012,"LINESTRING (25.2909999 53.3172037, 25.2911006 53.3170996, 25.2917427 53.3164421)",,,,
130384367,вуліца Леніна,tertiary,False,True,64.541,"LINESTRING (25.282272 53.3208483, 25.2813797 53.3206185)",,,,
"[334879720, 334879719, 130384367]",вуліца Леніна,tertiary,False,False,343.294,"LINESTRING (25.282272 53.3208483, 25.2853139 53.3216391, 25.2865778 53.321973, 25.2868038 53.3220387, 25.2870035 53.3220905)",,yes,,
132130210,Камсамольская вуліца,residential,False,False,583.3199999999999,"LINESTRING (25.282272 53.3208483, 25.2828187 53.3200627, 25.283421 53.3192838, 25.2837522 53.3185147, 25.2850252 53.3158792)",,,,
334879709,,tertiary,False,False,96.769,"LINESTRING (25.2850252 53.3158792, 25.2836238 53.3156416)",,,,
334879709,,tertiary,False,True,218.304,"LINESTRING (25.2850252 53.3158792, 25.2882054 53.3163741)",,,,
132130210,Камсамольская вуліца,residential,False,True,583.32,"LINESTRING (25.2850252 53.3158792, 25.2837522 53.3185147, 25.283421 53.3192838, 25.2828187 53.3200627, 25.282272 53.3208483)",,,,
148782971,,residential,False,True,137.453,"LINESTRING (25.2872709 53.3152712, 25.2882054 53.3163741)",,,,
148782971,,residential,False,False,184.554,"LINESTRING (25.2872709 53.3152712, 25.2870941 53.3144049, 25.2870776 53.3143537, 25.2869627 53.3139979, 25.2868096 53.3136368)",,,,
