osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,junction,bridge
1224908174,False,,,residential,,,False,38.917,"LINESTRING (43.6034393 41.9972265, 43.6034006 41.9974428, 43.6033469 41.9975684)",,
1224908176,False,,,residential,,,True,47.105000000000004,"LINESTRING (43.6008659 41.9945783, 43.6007854 41.9945524, 43.6007747 41.9944986, 43.6007854 41.9944368, 43.6008176 41.9942833, 43.6008125 41.994197)",,
220310429,True,,სააკაძის ქუჩა,tertiary,,,False,21.086,"LINESTRING (43.6008125 41.994197, 43.6010622 41.994158)",,
1224908176,False,,,residential,,,False,47.105,"LINESTRING (43.6008125 41.994197, 43.6008176 41.9942833, 43.6007854 41.9944368, 43.6007747 41.9944986, 43.6007854 41.9945524, 43.6008659 41.9945783)",,
1224908176,False,,,residential,,,True,45.734,"LINESTRING (43.6008125 41.994197, 43.6008498 41.9940281, 43.6009544 41.9938009)",,
1224908176,False,,,residential,,,False,45.734,"LINESTRING (43.6009544 41.9938009, 43.6008498 41.9940281, 43.6008125 41.994197)",,
1224908177,False,,,residential,,,True,74.151,"LINESTRING (43.602604 41.9936633, 43.6025584 41.9937989, 43.6025423 41.9940042, 43.6024456 41.9943175)",,
220310429,True,,სააკაძის ქუჩა,tertiary,,,False,20.163,"LINESTRING (43.6024456 41.9943175, 43.6025113 41.9943269, 43.6026867 41.994345)",,
1224908177,False,,,residential,,,False,74.151,"LINESTRING (43.6024456 41.9943175, 43.6025423 41.9940042, 43.6025584 41.9937989, 43.602604 41.9936633)",,
1224908178,False,,,residential,,,True,56.614,"LINESTRING (43.6032075 41.9938687, 43.6030599 41.9942673, 43.6030452 41.9943624)",,
103771335,False,,სააკაძის ქუჩა,tertiary,40,,False,29.69,"LINESTRING (43.6030452 41.9943624, 43.6026867 41.994345)",,
103771335,False,,სააკაძის ქუჩა,tertiary,40,,True,96.418,"LINESTRING (43.6030452 41.9943624, 43.6034864 41.994372, 43.6038706 41.9943995, 43.6041906 41.9944834)",,
1224908178,False,,,residential,,,False,56.614,"LINESTRING (43.6030452 41.9943624, 43.6030599 41.9942673, 43.6032075 41.9938687)",,
1224908184,False,,,residential,,,True,47.273,"LINESTRING (43.6034016 41.9934298, 43.6036059 41.9930327)",,
103772013,False,,ბარათაშვილის ქუჩა (Baratashvili St),residential,,,False,48.776,"LINESTRING (43.6036059 41.9930327, 43.604196 41.9930244)",,
103772013,False,,ბარათაშვილის ქუჩა (Baratashvili St),residential,,,True,36.054,"LINESTRING (43.6036059 41.9930327, 43.60317 41.9930195)",,
1224908184,False,,,residential,,,False,47.273,"LINESTRING (43.6036059 41.9930327, 43.6034016 41.9934298)",,
103772013,False,,ბარათაშვილის ქუჩა (Baratashvili St),residential,,,False,17.008,"LINESTRING (43.6045985 41.9930193, 43.6048042 41.9930145)",,
103772013,False,,ბარათაშვილის ქუჩა (Baratashvili St),residential,,,True,33.269,"LINESTRING (43.6045985 41.9930193, 43.604196 41.9930244)",,
103772013,False,,ბარათაშვილის ქუჩა (Baratashvili St),residential,,,False,33.269,"LINESTRING (43.604196 41.9930244, 43.6045985 41.9930193)",,
103772013,False,,ბარათაშვილის ქუჩა (Baratashvili St),residential,,,True,48.776,"LINESTRING (43.604196 41.9930244, 43.6036059 41.9930327)",,
