osmid,oneway,name,highway,reversed,length,ref,maxspeed,geometry,lanes,junction,bridge
102605614,True,მარცხენა სანაპიროს ქუჩა,residential,False,107.129,,,"LINESTRING (41.8693953 42.509203, 41.8695191 42.5101621)",,,
1200932862,True,ზვიად გამსახურდიას გამზირი,trunk,False,6.804,ს 1,50,"LINESTRING (41.8685043 42.5038517, 41.868495 42.5037909)",,,
102603262,False,ერევნის ქუჩა,residential,False,9.758,,,"LINESTRING (41.861872 42.505396, 41.8617687 42.5053524)",,,
102603262,False,ერევნის ქუჩა,residential,True,99.127,,,"LINESTRING (41.861872 42.505396, 41.8628361 42.5059341)",,,
102603045,False,კოლხიდას ქუჩა,residential,True,215.9,,,"LINESTRING (41.861872 42.505396, 41.8615151 42.5056201, 41.8597514 42.5065457)",,,
102604317,False,სპირიდონ კედიას I ჩიხი,residential,True,101.845,,,"LINESTRING (41.8675822 42.5055159, 41.8677927 42.505993, 41.8680412 42.5063645)",,,
"[102603755, 102603855]",False,"['სპირიდონ კედიას III ჩიხი', 'სპირიდონ კედიას ქუჩა']",residential,False,256.726,,,"LINESTRING (41.8639376 42.5065212, 41.8640561 42.5066884, 41.864902 42.507882, 41.8649233 42.507912, 41.8657603 42.5075042)",,,
102603057,False,მერაბ კოსტავას ჩიხი,residential,False,79.007,,,"LINESTRING (41.8696782 42.5069406, 41.8688086 42.507247)",,,
465358762,False,მერაბ კოსტავას ქუჩა,secondary,False,129.773,,40,"LINESTRING (41.8696782 42.5069406, 41.8695278 42.506743, 41.8689033 42.5059229)",,,
543819164,False,მერაბ კოსტავას ქუჩა,secondary,True,31.439,,40,"LINESTRING (41.8696782 42.5069406, 41.8698393 42.5071584, 41.8698549 42.5071911)",,,
102603262,False,ერევნის ქუჩა,residential,False,42.794,,,"LINESTRING (41.8631626 42.5062344, 41.8628361 42.5059341)",,,
102605655,False,სანკტ-პეტერბურგის ქუჩა,residential,True,42.121,,,"LINESTRING (41.8631626 42.5062344, 41.8633538 42.5058828)",,,
"[942451150, 102605655]",False,სანკტ-პეტერბურგის ქუჩა,residential,False,148.50300000000001,,,"LINESTRING (41.8631626 42.5062344, 41.8632128 42.5063965, 41.8632102 42.5064338, 41.8631617 42.507128, 41.8632107 42.5074045, 41.8632384 42.5075611)",,,
102604988,False,ბაქოს ქუჩა,residential,False,94.883,,,"LINESTRING (41.859324 42.5080437, 41.8602169 42.5075007)",,,
102604988,False,ბაქოს ქუჩა,residential,True,62.563,,,"LINESTRING (41.859324 42.5080437, 41.8590034 42.5082623, 41.8587811 42.5084386)",,,
102602948,False,დუტუ მეგრელის ჩიხი,residential,False,32.157,,,"LINESTRING (41.8655954 42.5104844, 41.8654683 42.5102108)",,,
102603308,False,ფერდინანდის ქუჩა,residential,False,170.503,,,"LINESTRING (41.8655954 42.5104844, 41.8674756 42.5098285)",,,
1200932852,True,მარცხენა სანაპიროს ქუჩა,residential,False,223.61200000000002,,,"LINESTRING (41.8695191 42.5101621, 41.8687586 42.5093182, 41.8678998 42.5085469)",,,
"[907255893, 465358238]",False,მერაბ კოსტავას ქუჩა,secondary,False,121.782,,40,"LINESTRING (41.8705705 42.5082894, 41.8704182 42.5080757, 41.8699613 42.5073483, 41.8699299 42.5073015)",,,
1174640864,True,,residential,False,12.761,,,"LINESTRING (41.8605557 42.5099874, 41.860507 42.5100964)",,,
222885141,True,ქუჯის ქუჩა,residential,False,239.89600000000002,,,"LINESTRING (41.8605557 42.5099874, 41.8617472 42.5102931, 41.8618559 42.5103435, 41.8617654 42.5104554, 41.8616596 42.5104245, 41.8615839 42.5104077, 41.8611887 42.5103236, 41.8608503 42.5101676, 41.860507 42.5100964)",,,
222880566,False,რევაზ თაბუკაშვილის ქუჩა,residential,True,60.576,,40,"LINESTRING (41.8674121 42.5039596, 41.8680015 42.5036517, 41.868015 42.5036446)",,,
1161316505,False,მერაბ კოსტავას ქუჩა,secondary,False,180.78300000000002,,40,"LINESTRING (41.8674121 42.5039596, 41.8673003 42.5038127, 41.8667441 42.5031321, 41.8662844 42.5025625)",,,
"[1161316505, 406569889, 628212614]",False,მერაბ კოსტავას ქუჩა,secondary,True,113.364,,40,"LINESTRING (41.8674121 42.5039596, 41.8675599 42.5041546, 41.8675932 42.504204, 41.8679278 42.5046499, 41.8679784 42.504712, 41.8680893 42.5048483)",,,
102603047,False,ჯანო რაფავას ქუჩა,residential,False,84.272,,,"LINESTRING (41.8601393 42.5049208, 41.8608082 42.5043453)",,,
