osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,ref,bridge,maxspeed
100712045,გაბრიაძის ქუჩა,tertiary,False,True,85.607,"LINESTRING (43.0033412 42.3437103, 43.0028728 42.3439151, 43.0025983 42.3440223, 43.0024194 42.3440624)",,,,,
100712104,გაბრიაძის ჩიხი,residential,False,False,28.882,"LINESTRING (43.0033412 42.3437103, 43.0032051 42.3435653, 43.0031653 42.3434874)",,,,,
100712220,ბერიკაშვილის ქუჩა (Berikashvili St),residential,False,False,3.642,"LINESTRING (42.9944602 42.3435699, 42.994498 42.3435528)",,,,,
100712074,თაბუკაშვილის ქუჩა,tertiary,False,False,268.342,"LINESTRING (42.9944602 42.3435699, 42.994547 42.3436699, 42.9945632 42.3437993, 42.994526 42.3440395, 42.994544 42.344252, 42.9946105 42.3444142, 42.9948025 42.3446762, 42.9949939 42.34483, 42.9952597 42.3449843, 42.9961285 42.3454334)",,,,,
100712074,თაბუკაშვილის ქუჩა,tertiary,False,True,27.781,"LINESTRING (42.9944602 42.3435699, 42.9943038 42.3434968, 42.9941574 42.343464)",,,,,
100712039,ნინოშვილის ქუჩა (Ninoshvili St),residential,False,True,241.18099999999998,"LINESTRING (42.9935643 42.3484448, 42.9937402 42.3484691, 42.9938747 42.3484295, 42.9939786 42.3483508, 42.9946411 42.3481812, 42.9950562 42.3481452, 42.9959278 42.3482916, 42.9963576 42.3483886)",,,,,
100712178,ნინოშვილის ქუჩა (Ninoshvili St),residential,False,False,188.992,"LINESTRING (42.9935643 42.3484448, 42.9936109 42.3482868, 42.993744 42.3480821, 42.9939504 42.3479233, 42.9946563 42.3473475, 42.9949341 42.3471104)",,,,,
100712010,,residential,False,False,257.831,"LINESTRING (43.0024613 42.3466176, 43.0021728 42.3462903, 43.0021719 42.3462415, 43.002036 42.3460528, 43.001962 42.3459589, 43.0018481 42.3459528, 43.0015839 42.346061, 43.001466 42.3461452, 43.0014578 42.3462323, 43.0014782 42.3463104, 43.0014538 42.3463555, 43.0013847 42.3463855, 43.0012749 42.3463945, 43.0011001 42.3464246, 43.0008277 42.3465538, 43.0005675 42.346677, 43.0004046 42.3467991)",,,,,
100712065,ჭავჭავაძის ქუჩა,residential,False,False,195.638,"LINESTRING (43.0024613 42.3466176, 43.002366 42.3466594, 43.0022759 42.3466819, 43.001439 42.3468141, 43.0013299 42.3468653, 43.0011519 42.3470565, 43.001075 42.3470866, 43.000998 42.347086, 43.0007968 42.3470006, 43.0004771 42.3468223, 43.0004046 42.3467991)",,,,,
100712058,,primary,True,False,15.887,"LINESTRING (42.9978214 42.3491449, 42.9978038 42.3491572, 42.9977836 42.3491669, 42.9977613 42.3491738, 42.9977377 42.3491777, 42.9977135 42.3491784, 42.9976896 42.3491759, 42.9976667 42.3491702, 42.9976455 42.3491617)",roundabout,,,,
668365268,,primary,True,False,40.36,"LINESTRING (42.9978214 42.3491449, 42.9978349 42.3492799, 42.9978329 42.3493359, 42.9978262 42.3494122, 42.9977826 42.3495017)",,2,შ 17,,
100712022,გელათის ქუჩა (Gelati St),residential,False,False,91.801,"LINESTRING (42.9976174 42.3510809, 42.9975972 42.3509605, 42.9978072 42.3504689, 42.9979207 42.3503944, 42.9980092 42.3503546)",,,,,
