osmid,highway,oneway,reversed,length,name,geometry,junction,lanes,ref,maxspeed,access
102052464,residential,False,True,102.613,,"LINESTRING (44.4537809 41.5443758, 44.4539809 41.5434652)",,,,,
102053483,residential,False,True,127.79,ბრწყინვალის ქუჩა,"LINESTRING (44.4537809 41.5443758, 44.4551203 41.5445389, 44.4552933 41.5445718)",,,,,
102054134,residential,False,False,254.881,მიხეულ მუსხელიშვილის ქუჩა,"LINESTRING (44.4611892 41.5413827, 44.4610486 41.541548, 44.4609907 41.5415874, 44.4608756 41.541576, 44.4604489 41.5414947, 44.4601324 41.5414463, 44.4598831 41.5414018, 44.459346 41.5413199, 44.4587416 41.541245, 44.4583444 41.5411957, 44.4583214 41.5411928)",,,,,
102055221,residential,False,True,59.10099999999999,მუსკჰელიშვილის ქუჩა (Muskhelishvili St),"LINESTRING (44.4611892 41.5413827, 44.4612563 41.5414046, 44.4615005 41.5414816, 44.4616922 41.5415294, 44.4618548 41.5415662)",,,,,
102055876,residential,False,False,53.754999999999995,მუსკჰელიშვილის ქუჩა (Muskhelishvili St),"LINESTRING (44.4611892 41.5413827, 44.461084 41.5413317, 44.4609979 41.5412988, 44.4609741 41.5412735, 44.4609793 41.5412266, 44.4610573 41.5410791, 44.461055 41.5409985)",,,,,
102050959,residential,False,False,61.921,,"LINESTRING (44.4583214 41.5411928, 44.4583938 41.5409783, 44.4585033 41.5407589, 44.4585361 41.5406605)",,,,,
102054134,residential,False,False,413.37299999999993,მიხეულ მუსხელიშვილის ქუჩა,"LINESTRING (44.4583214 41.5411928, 44.4578493 41.5411173, 44.4572914 41.5410313, 44.4567219 41.5409477, 44.456154 41.5408666, 44.4556618 41.5407834, 44.4551478 41.5406976, 44.4547781 41.5406427, 44.4547075 41.5406424, 44.4546135 41.5410136, 44.4545337 41.5413064, 44.4544523 41.541579)",,,,,
102054134,residential,False,True,254.88100000000003,მიხეულ მუსხელიშვილის ქუჩა,"LINESTRING (44.4583214 41.5411928, 44.4583444 41.5411957, 44.4587416 41.541245, 44.459346 41.5413199, 44.4598831 41.5414018, 44.4601324 41.5414463, 44.4604489 41.5414947, 44.4608756 41.541576, 44.4609907 41.5415874, 44.4610486 41.541548, 44.4611892 41.5413827)",,,,,
102054436,residential,False,False,95.388,,"LINESTRING (44.4583214 41.5411928, 44.4582606 41.5413545, 44.4582406 41.5414383, 44.4582158 41.5415419, 44.4581366 41.5418229, 44.4580805 41.542031)",,,,,
102052034,secondary,False,True,154.787,თამარ მეფის ქუჩა,"LINESTRING (44.4611239 41.5434855, 44.461669 41.5437273, 44.4619129 41.5438437, 44.4625723 41.5441738, 44.4626917 41.5442336)",,,,,
