osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,junction
102637012,ფიროსმანის ქუჩა,residential,False,False,131.067,,"LINESTRING (42.066707 42.6091969, 42.065108 42.6091306)",,
225413081,გელა მებონიას ქუჩა (Gela Mebonia Str.),secondary,True,False,71.91,შ 89,"LINESTRING (42.066707 42.6091969, 42.0666314 42.6098412)",,
102636108,,residential,False,False,149.74,,"LINESTRING (42.066707 42.6091969, 42.0678175 42.6093179, 42.0682205 42.6093751, 42.0685118 42.6094165)",,
102635099,თამარ მეფის ქუჩა (Tamar Mepe St),residential,False,True,44.321,,"LINESTRING (42.0692828 42.6099312, 42.069426 42.6095468)",,
102636824,სალის ქუჩა,tertiary,False,True,42.941,,"LINESTRING (42.0692828 42.6099312, 42.0698072 42.6099444)",,
205445469,თამარ მეფის ქუჩა,residential,False,False,157.938,,"LINESTRING (42.0692828 42.6099312, 42.0688442 42.6113144)",,
205445470,სალის ქუჩა (Salia Str.),tertiary,False,False,71.741,,"LINESTRING (42.0692828 42.6099312, 42.068407 42.6099032)",,
102635099,თამარ მეფის ქუჩა (Tamar Mepe St),residential,False,False,44.321,,"LINESTRING (42.069426 42.6095468, 42.0692828 42.6099312)",,
102635944,ალექსანდრე ბუკიას ქუჩა,residential,False,False,23.893,,"LINESTRING (42.069426 42.6095468, 42.0694903 42.6093372)",,
205445468,,residential,False,True,76.206,,"LINESTRING (42.069426 42.6095468, 42.06892 42.6094745, 42.0685118 42.6094165)",,
33511334,,residential,False,True,54.794,,"LINESTRING (42.068407 42.6099032, 42.0685118 42.6094165)",,
205445470,სალის ქუჩა (Salia Str.),tertiary,False,True,71.741,,"LINESTRING (42.068407 42.6099032, 42.0692828 42.6099312)",,
205445471,სალის ქუჩა,tertiary,False,False,145.677,,"LINESTRING (42.068407 42.6099032, 42.0671414 42.6098904, 42.0666314 42.6098412)",,
33511334,,residential,False,False,54.794,,"LINESTRING (42.0685118 42.6094165, 42.068407 42.6099032)",,
102636108,,residential,False,True,149.74,,"LINESTRING (42.0685118 42.6094165, 42.0682205 42.6093751, 42.0678175 42.6093179, 42.066707 42.6091969)",,
205445468,,residential,False,False,76.206,,"LINESTRING (42.0685118 42.6094165, 42.06892 42.6094745, 42.069426 42.6095468)",,
102479197,,residential,False,True,149.549,,"LINESTRING (42.0706102 42.6136184, 42.0707206 42.6136474, 42.0712699 42.613748, 42.0718324 42.6138931, 42.0721478 42.613955, 42.0722135 42.6139356, 42.0722993 42.6138442)",,
102478520,,residential,False,False,101.02,,"LINESTRING (42.0724138 42.6171967, 42.0736404 42.6170938)",,
