osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,junction
"[110282011, 110282014]",residential,False,"[False, True]",655.067,"LINESTRING (41.9347721 41.6015448, 41.9348386 41.6013818, 41.9353217 41.6011867, 41.9355045 41.6011319, 41.9356742 41.6011085, 41.9361438 41.601173, 41.9366953 41.6011758, 41.9368776 41.6012012, 41.9370087 41.6012371, 41.9374886 41.6015303, 41.9376653 41.6016066, 41.93772 41.6016351, 41.937787 41.6016551, 41.9379075 41.6016749, 41.9380422 41.6016757, 41.9381297 41.6016646, 41.9381974 41.6016717, 41.9382301 41.6016965, 41.9382453 41.6017366, 41.9382425 41.601798, 41.9382202 41.6019409, 41.9381764 41.6020511, 41.9381378 41.6021134, 41.9381291 41.6022008, 41.9381691 41.6022471, 41.9381952 41.6022564, 41.9382458 41.6022684, 41.9383182 41.602266, 41.9383972 41.6022232, 41.9384488 41.602152, 41.938473 41.6020979, 41.938473 41.6020217, 41.9384314 41.6018838, 41.9384401 41.6018281, 41.938467 41.6017835, 41.9386031 41.6016576, 41.9387016 41.6015689, 41.9387401 41.6015487, 41.9390689 41.601532, 41.9391744 41.6015087, 41.9393166 41.6014304, 41.939441 41.6013268, 41.9396325 41.6011501, 41.9397166 41.6010704, 41.9398599 41.6009253, 41.9398463 41.6007535, 41.9398493 41.6006718, 41.939867 41.6006465, 41.9398854 41.6006201)",,,,
110286374,primary,False,False,24.72,"LINESTRING (41.9432872 41.6010969, 41.9435828 41.6010732)",შ 1,ბათუმი-ახალციხე,,
110286374,primary,False,True,26.556,"LINESTRING (41.9432872 41.6010969, 41.942968 41.6011048)",შ 1,ბათუმი-ახალციხე,,
110286374,primary,False,True,24.72,"LINESTRING (41.9435828 41.6010732, 41.9432872 41.6010969)",შ 1,ბათუმი-ახალციხე,,
110286374,primary,False,False,26.556,"LINESTRING (41.942968 41.6011048, 41.9432872 41.6010969)",შ 1,ბათუმი-ახალციხე,,
1126627547,residential,False,False,240.688,"LINESTRING (41.942968 41.6011048, 41.943227 41.6009896, 41.9434325 41.600859, 41.943477 41.6006848, 41.9434359 41.6005439, 41.9433572 41.6003698, 41.9431551 41.6001777, 41.9429119 41.600088, 41.9425522 41.5999881, 41.9422063 41.5999113, 41.9419014 41.5999215)",,,,
"[1270052256, 1270052257, 250764100]",primary,False,True,253.12,"LINESTRING (41.942968 41.6011048, 41.9424732 41.6011209, 41.9415289 41.6011782, 41.9413365 41.6011733, 41.9410808 41.6011371, 41.9408992 41.6010872, 41.9407166 41.6010247, 41.9404283 41.6009075, 41.9401946 41.6008047, 41.940119 41.6007034)",შ 1,ბათუმი-ახალციხე,,
110304391,residential,False,True,243.511,"LINESTRING (41.9456258 41.5979375, 41.9449302 41.5979594, 41.9445422 41.5980607, 41.9443481 41.5982113, 41.944253 41.5983482, 41.9441392 41.5984862, 41.9439491 41.5986082, 41.9436965 41.5987752, 41.9434 41.5989751, 41.9433036 41.5990421)",,,,
110304370,tertiary,False,True,202.82999999999996,"LINESTRING (41.9410177 41.5954111, 41.942257 41.5960525, 41.942425 41.5962267, 41.9424593 41.5963593, 41.9423917 41.5964818, 41.9422951 41.59657, 41.9421747 41.5966149)",,,,
110304384,residential,False,False,43.391,"LINESTRING (41.9431313 41.5992921, 41.9436267 41.5994147)",,,,
110304391,residential,False,False,31.274,"LINESTRING (41.9431313 41.5992921, 41.9433036 41.5990421)",,,,
110304384,residential,False,True,310.519,"LINESTRING (41.9431313 41.5992921, 41.9423976 41.5991179, 41.9409689 41.5989336, 41.9407855 41.5988804, 41.9402337 41.598616, 41.9401132 41.5985848, 41.94002 41.5985907, 41.939915 41.5986507, 41.9396922 41.5988113)",,,,
110304384,residential,False,True,43.391,"LINESTRING (41.9436267 41.5994147, 41.9431313 41.5992921)",,,,
110304370,tertiary,False,True,11.323,"LINESTRING (41.9391764 41.5990927, 41.9393058 41.5991244)",,,,
110304370,tertiary,False,False,271.54200000000003,"LINESTRING (41.9391764 41.5990927, 41.9388512 41.5990309, 41.9386942 41.5989822, 41.9385712 41.5988945, 41.9385598 41.598692, 41.9386124 41.598295, 41.9387439 41.5979741, 41.9388726 41.5977514, 41.9390067 41.5975627, 41.9390857 41.5975165, 41.9392294 41.5974967, 41.9395285 41.5975303, 41.9397039 41.5975517)",,,,
110304426,residential,False,False,633.1870000000001,"LINESTRING (41.9391764 41.5990927, 41.939053 41.5991008, 41.9388427 41.5990935, 41.9386581 41.5990577, 41.938506 41.5989864, 41.9380428 41.5987651, 41.9374801 41.5983977, 41.937285 41.5982802, 41.9370246 41.5981817, 41.9367248 41.5980775, 41.9366153 41.5980219, 41.9365853 41.5979525, 41.9365912 41.597851, 41.9372129 41.597044, 41.937442 41.5967442, 41.9375789 41.5965578, 41.9379306 41.5965444, 41.9379887 41.5965134, 41.9382516 41.5963426, 41.9385126 41.5959338, 41.9385995 41.59566, 41.9386594 41.5954156, 41.9387117 41.5952762, 41.9387515 41.5952048)",,,,
"[1209201333, 110304383]",tertiary,False,False,98.805,"LINESTRING (41.9397587 41.6000009, 41.9393584 41.599212, 41.9393426 41.5991688)",,,yes,
110304397,tertiary,False,True,51.26,"LINESTRING (41.9397587 41.6000009, 41.939903 41.6003132, 41.9399616 41.6004362)",,,,
1209201335,unclassified,False,False,152.842,"LINESTRING (41.9397587 41.6000009, 41.9398288 41.5999648, 41.9400085 41.5999748, 41.9401333 41.600021, 41.9402084 41.6000631, 41.9403009 41.6001604, 41.9403425 41.6002456, 41.9403975 41.6003188, 41.9405289 41.6003649, 41.940659 41.600383, 41.9406952 41.6004101, 41.9406858 41.6005154, 41.940659 41.6006157, 41.940563 41.6008595)",,,,
110304370,tertiary,False,False,11.323,"LINESTRING (41.9393058 41.5991244, 41.9391764 41.5990927)",,,,
1209201333,tertiary,False,True,5.808,"LINESTRING (41.9393058 41.5991244, 41.9393426 41.5991688)",,,,
1209201332,residential,False,True,14.274,"LINESTRING (41.9393058 41.5991244, 41.9393514 41.5990727, 41.9393909 41.5990132)",,,,
110304421,residential,False,False,183.2,"LINESTRING (41.9387515 41.5952048, 41.9394373 41.5953199, 41.9395137 41.5953604, 41.9395245 41.5954436, 41.9396087 41.5956735, 41.9396357 41.5957044, 41.9398054 41.5957793, 41.9401244 41.5959048, 41.9404525 41.5960314)",,,,
110304426,residential,False,False,151.882,"LINESTRING (41.9387515 41.5952048, 41.9389729 41.5949045, 41.9390749 41.5945498, 41.9391066 41.5944231, 41.9391296 41.5943813, 41.9396215 41.5940636)",,,,
