osmid,oneway,ref,highway,junction,reversed,length,geometry,name,bridge
674127530,True,შ 13,secondary,roundabout,False,12.984,"LINESTRING (42.5116256 42.0841369, 42.5115927 42.0840839, 42.5115823 42.084026)",,
"[99291539, 99292300, 99292420]",False,,residential,,False,186.635,"LINESTRING (42.5067054 42.0858943, 42.5083476 42.0863748, 42.5085338 42.0863859, 42.5087401 42.0863982, 42.5088412 42.0864114)","['ჭანტურიას ქუჩა (Chanturia St)', 'კიკვიძის ქუჩა (Kikvidze St)', 'აკაკი გიორგაძის ქუჩა (Akaki Giorgadze St)']",yes
99292259,False,,residential,,False,156.864,"LINESTRING (42.5076614 42.0813821, 42.5074061 42.0814579, 42.5072835 42.0815451, 42.5072886 42.0817574, 42.5073448 42.0821099, 42.5074214 42.0823677, 42.5074595 42.0826154)",ბარათაშვილის ქუჩა (Baratashvili St),
99292299,False,,residential,,True,540.362,"LINESTRING (42.5099028 42.0893743, 42.510009 42.0893319, 42.5103141 42.08921, 42.5110263 42.0889884, 42.5120297 42.0887022, 42.5128209 42.088399, 42.5130151 42.0882895, 42.5131339 42.0881547, 42.5132154 42.0880372, 42.5132967 42.0878528, 42.513222 42.0869037, 42.5131514 42.0863079, 42.5131797 42.0860445)",,
99291699,False,,residential,,True,64.411,"LINESTRING (42.5159963 42.0814069, 42.5158625 42.0812883, 42.5153077 42.0811848)",სააკაძის ქუჩა (Saakadze St),
674127524,False,შ 105,tertiary,,False,42.691,"LINESTRING (42.5159963 42.0814069, 42.5161636 42.0813407, 42.5164692 42.0812529)",სოლომონ II ქუჩა (Solomon II St),
674127524,False,შ 105,tertiary,,True,151.28199999999998,"LINESTRING (42.5159963 42.0814069, 42.5156082 42.0817198, 42.5152869 42.0820575, 42.5151576 42.0821552, 42.5148483 42.0824641)",სოლომონ II ქუჩა (Solomon II St),
99291699,False,,residential,,False,64.411,"LINESTRING (42.5153077 42.0811848, 42.5158625 42.0812883, 42.5159963 42.0814069)",სააკაძის ქუჩა (Saakadze St),
99291699,False,,residential,,True,196.83599999999998,"LINESTRING (42.5153077 42.0811848, 42.514631 42.081109, 42.5139941 42.0810855, 42.5135392 42.0810806, 42.5129352 42.0811327)",სააკაძის ქუჩა (Saakadze St),
99292025,False,,residential,,False,43.174,"LINESTRING (42.5093857 42.0812208, 42.5096044 42.0811336, 42.5098208 42.0810078)",,
99292045,False,,residential,,False,100.238,"LINESTRING (42.5093857 42.0812208, 42.5088311 42.0809461, 42.5086727 42.0808969, 42.5084666 42.0809147, 42.5083101 42.0809613)",ვაჯა ფშაველას ქუჩა (Vazha Pshavela St),
99292045,False,,residential,,True,351.69999999999993,"LINESTRING (42.5093857 42.0812208, 42.5095819 42.0816361, 42.5099088 42.0819924, 42.5100773 42.0822843, 42.5099752 42.0828643, 42.5099037 42.0830955, 42.5099992 42.0832425, 42.5101532 42.0835667, 42.5101933 42.0837629, 42.5101381 42.0839405, 42.5100528 42.0840138, 42.5099707 42.0840474, 42.5099288 42.0841403)",ვაჯა ფშაველას ქუჩა (Vazha Pshavela St),
674127524,False,შ 105,tertiary,,False,226.35300000000004,"LINESTRING (42.5125133 42.0835185, 42.5136621 42.0830603, 42.5145441 42.0826585, 42.5148029 42.0825095, 42.5148483 42.0824641)",სოლომონ II ქუჩა (Solomon II St),
674127525,True,შ 105,tertiary,,False,59.319,"LINESTRING (42.5125133 42.0835185, 42.5122651 42.0837186, 42.5120798 42.083941)",სოლომონ II ქუჩა (Solomon II St),
