osmid,oneway,highway,reversed,length,ref,name,geometry,junction,bridge
663306251,True,tertiary,False,27.439,,,"LINESTRING (96.8491075 47.7401844, 96.8493548 47.7403667)",,
168319653,True,primary,False,32.071,A1102,,"LINESTRING (96.850514 47.741603, 96.8501545 47.7414457)",,
131520727,False,primary,True,467.827,A1102,Uliastai - Tosontsengel,"LINESTRING (96.850514 47.741603, 96.850811 47.741856, 96.8516332 47.7433998, 96.8524118 47.7448693, 96.8527499 47.7455156)",,
131520728,True,primary,False,21.436000000000003,,,"LINESTRING (96.8494287 47.7403824, 96.8494886 47.7404089, 96.8495362 47.7404449, 96.8495681 47.740488, 96.8495822 47.7405353)",roundabout,
663306246,True,primary,False,25.621000000000002,A1103,,"LINESTRING (96.8494287 47.7403824, 96.8495679 47.7404029, 96.8497679 47.7404077)",,
663306249,True,tertiary,False,26.499,,,"LINESTRING (96.8491108 47.7404227, 96.8491075 47.7401844)",,
131520728,True,primary,False,19.993000000000002,,,"LINESTRING (96.8491108 47.7404227, 96.8491813 47.7403861, 96.8492657 47.7403667, 96.8493548 47.7403667)",roundabout,
131520728,True,primary,False,3.314,,,"LINESTRING (96.8495822 47.7405353, 96.8495816 47.7405651)",roundabout,
663306253,True,residential,False,20.796,,,"LINESTRING (96.8493407 47.7407296, 96.8490788 47.7407925)",,
131520728,True,primary,False,18.618,,,"LINESTRING (96.8493407 47.7407296, 96.8492578 47.7407273, 96.8491797 47.7407083, 96.8491138 47.7406744)",roundabout,
131520737,True,primary,False,12.16,,,"LINESTRING (96.8502069 47.7412338, 96.8502482 47.7412574, 96.8502766 47.7412884, 96.8502892 47.7413239)",roundabout,
131520737,True,primary,False,4.476,,,"LINESTRING (96.8499464 47.7413228, 96.8499618 47.7412839)",roundabout,
168319654,True,primary,False,35.295,A1102,,"LINESTRING (96.8502892 47.7413239, 96.850514 47.741603)",,
131520737,True,primary,False,18.312,,,"LINESTRING (96.8502892 47.7413239, 96.8502829 47.7413649, 96.8502557 47.7414017, 96.850211 47.7414299, 96.8501545 47.7414457)",roundabout,
131520737,True,primary,False,6.588,,,"LINESTRING (96.8501545 47.7414457, 96.8501106 47.7414483, 96.8500672 47.7414433)",roundabout,
168319651,True,tertiary,False,11.143,,Uliastai Airport,"LINESTRING (96.8500672 47.7414433, 96.8499229 47.7414683)",,
131520737,True,primary,False,17.387999999999998,,,"LINESTRING (96.8500672 47.7414433, 96.8500153 47.7414256, 96.8499751 47.7413974, 96.8499512 47.7413617, 96.8499464 47.7413228)",roundabout,
168319627,False,residential,False,80.532,,,"LINESTRING (96.8516292 47.7377893, 96.8516965 47.7379138, 96.8518186 47.7379789, 96.8524888 47.7381633)",,
48932763,False,primary,False,47.903,A1103,,"LINESTRING (96.8524888 47.7381633, 96.8527187 47.7377612)",,
48932763,False,primary,True,78.712,A1103,,"LINESTRING (96.8524888 47.7381633, 96.8522426 47.7386453, 96.8521337 47.7388295)",,
168319627,False,residential,True,80.532,,,"LINESTRING (96.8524888 47.7381633, 96.8518186 47.7379789, 96.8516965 47.7379138, 96.8516292 47.7377893)",,
334417135,False,residential,False,207.24200000000002,,,"LINESTRING (96.8586451 47.738453, 96.8595474 47.7383659, 96.8599847 47.7382805, 96.8601942 47.7382305, 96.8602567 47.7382077, 96.8602702 47.7381793, 96.8602635 47.7380714, 96.8602702 47.7380362, 96.8603125 47.7380237, 96.860517 47.7380144, 96.8607349 47.7381237, 96.860757 47.7381621, 96.8607785 47.7383425)",,
"[1061175320, 168319624]",False,residential,True,74.297,,,"LINESTRING (96.8586451 47.738453, 96.8586568 47.7385748, 96.8586473 47.7386149, 96.858607 47.7386354, 96.8579156 47.7387137)",,
"[168319624, 1061175320]",False,residential,False,74.297,,,"LINESTRING (96.8579156 47.7387137, 96.858607 47.7386354, 96.8586473 47.7386149, 96.8586568 47.7385748, 96.8586451 47.738453)",,
168319624,False,residential,True,250.85200000000003,,,"LINESTRING (96.8579156 47.7387137, 96.8573991 47.7387678, 96.8567973 47.7388697, 96.8560562 47.7389707, 96.8553245 47.7389744, 96.8550342 47.7389556, 96.8546049 47.7389251)",,
168319648,False,residential,False,120.476,,,"LINESTRING (96.8579156 47.7387137, 96.8585072 47.7388855, 96.8587652 47.739001, 96.8593947 47.7391269)",,
48932763,False,primary,False,78.712,A1103,,"LINESTRING (96.8521337 47.7388295, 96.8522426 47.7386453, 96.8524888 47.7381633)",,
"[131520729, 48932763, 48932764]",False,primary,True,265.17199999999997,A1103,,"LINESTRING (96.8521337 47.7388295, 96.851762 47.739543, 96.851561 47.73976, 96.851151 47.739952, 96.8506595 47.740142, 96.8498951 47.7403693, 96.8497679 47.7404077)",,yes
168319624,False,residential,False,185.255,,,"LINESTRING (96.8521337 47.7388295, 96.8527259 47.7388363, 96.8535808 47.7388522, 96.8546049 47.7389251)",,
168319648,False,residential,True,120.476,,,"LINESTRING (96.8593947 47.7391269, 96.8587652 47.739001, 96.8585072 47.7388855, 96.8579156 47.7387137)",,
168319630,True,primary,False,35.147,,,"LINESTRING (96.8498251 47.7408664, 96.8494101 47.740718)",,
168319639,False,primary,True,16.186,,,"LINESTRING (96.8498251 47.7408664, 96.8499322 47.7409929)",,
168319631,True,primary,False,33.756,,,"LINESTRING (96.8499322 47.7409929, 96.8502069 47.7412338)",,
168319639,False,primary,False,16.186,,,"LINESTRING (96.8499322 47.7409929, 96.8498251 47.7408664)",,
168319650,True,tertiary,False,16.274,,Uliastai Airport,"LINESTRING (96.8499229 47.7414683, 96.8499464 47.7413228)",,
