osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction
183054541,Veetorni,residential,False,True,463.3949999999999,"LINESTRING (25.5515067 58.0979495, 25.5520926 58.0980766, 25.5521914 58.0980955, 25.5523854 58.0981325, 25.5533159 58.0983103, 25.5534873 58.0983431, 25.5543027 58.0986663, 25.5553434 58.0992219, 25.5559627 58.0996452, 25.5561187 58.0997548, 25.556881 58.1000809, 25.5572306 58.1002126, 25.5576216 58.1003561, 25.5577143 58.1003901)",,,,
"[217309536, 183054530]","['Võidu', 'Männiku']",living_street,False,True,275.38100000000003,"LINESTRING (25.5560392 58.1016452, 25.5559322 58.1016186, 25.5555637 58.1015096, 25.5553325 58.1014338, 25.5548982 58.1012913, 25.5544003 58.1011244, 25.5542297 58.1010827, 25.5541436 58.1010513, 25.5536271 58.1011275, 25.5533377 58.1012701, 25.5531801 58.1014357, 25.5528865 58.1017055, 25.552436 58.101922)",,,,
254492555,Tartu mnt,primary,False,False,187.52300000000002,"LINESTRING (25.5560392 58.1016452, 25.5559532 58.1017231, 25.5554433 58.102206, 25.5551702 58.1024646, 25.5550332 58.102581, 25.5548014 58.1027297, 25.5546256 58.1028176, 25.5543899 58.102916, 25.5541858 58.10299)",2,6,50,
254492555,Tartu mnt,primary,False,True,56.693,"LINESTRING (25.5560392 58.1016452, 25.5563508 58.1013778, 25.55657 58.1012199)",2,6,50,
177869245,Aia,residential,False,False,88.464,"LINESTRING (25.552436 58.101922, 25.5514563 58.1013179)",,,,
177869245,Aia,residential,False,True,157.16799999999998,"LINESTRING (25.552436 58.101922, 25.5535046 58.1025574, 25.5541161 58.102932, 25.5541858 58.10299)",,,,
"[217309536, 183054530]","['Võidu', 'Männiku']",living_street,False,False,275.381,"LINESTRING (25.552436 58.101922, 25.5528865 58.1017055, 25.5531801 58.1014357, 25.5533377 58.1012701, 25.5536271 58.1011275, 25.5541436 58.1010513, 25.5542297 58.1010827, 25.5544003 58.1011244, 25.5548982 58.1012913, 25.5553325 58.1014338, 25.5555637 58.1015096, 25.5559322 58.1016186, 25.5560392 58.1016452)",,,,
254492555,Tartu mnt,primary,False,True,15.892,"LINESTRING (25.5501023 58.1043724, 25.5503428 58.104307)",2,6,50,
183054528,Kaare,residential,False,True,366.57700000000006,"LINESTRING (25.5501023 58.1043724, 25.5500423 58.104296, 25.5496782 58.1038403, 25.5496335 58.1036444, 25.5496952 58.1035308, 25.5505952 58.1023819, 25.5511747 58.101632, 25.5513044 58.1014364, 25.5514563 58.1013179)",,,,
254492555,Tartu mnt,primary,False,False,125.17600000000002,"LINESTRING (25.5501023 58.1043724, 25.550019 58.104386, 25.5498718 58.1044142, 25.5490488 58.1045721, 25.5488864 58.1046033, 25.5484412 58.1046883, 25.5480979 58.1047539)",2,6,50,
177277396,Kivi,residential,False,False,110.641,"LINESTRING (25.5489678 58.1004887, 25.5471361 58.1002581)",,,,
183054535,Rahumäe,residential,False,True,24.857,"LINESTRING (25.5489678 58.1004887, 25.5491247 58.1002811)",,,,
