osmid,name,highway,oneway,reversed,length,width,geometry,lanes,ref,maxspeed,junction,tunnel
"[60100464, 4853848, 4853851, 4853852]","['Müürivahe', 'Niguliste', 'Suur-Karja', 'Rüütli']",living_street,False,True,602.113,8,"LINESTRING (24.7465896 59.4349314, 24.7465349 59.4349821, 24.7464686 59.4350666, 24.7464483 59.4351469, 24.7463105 59.4351153, 24.7462324 59.4351008, 24.7456802 59.4350168, 24.744902 59.4348984, 24.7439624 59.4347729, 24.7436858 59.4347296, 24.7434612 59.4347106, 24.7426086 59.434632, 24.7423278 59.4346262, 24.7422496 59.4346363, 24.7420683 59.4347118, 24.7420389 59.4348173, 24.7420242 59.43487, 24.7420387 59.4352595, 24.7420955 59.4356204, 24.7421137 59.4356658, 24.742136 59.4357739, 24.7421748 59.4359837, 24.7421937 59.4360419, 24.74223 59.4361538, 24.7422582 59.4363563, 24.7426259 59.436354, 24.7432928 59.4363499, 24.7436901 59.4363475, 24.744264 59.436344, 24.7445217 59.4363424, 24.7446309 59.4363417)",,,,,
"[632562650, 632562651]",Suur-Karja,living_street,True,False,84.563,,"LINESTRING (24.7465896 59.4349314, 24.7466498 59.4348103, 24.7466419 59.4343314, 24.74667 59.434282, 24.7467595 59.4341871)",,,,,
988200983,Pärnu mnt,secondary,True,False,82.93,,"LINESTRING (24.7477509 59.4347367, 24.7467595 59.4341871)",2,4,50,,
49923005,Suur-Karja,living_street,True,False,71.315,,"LINESTRING (24.7477509 59.4347367, 24.7476829 59.434749, 24.7470787 59.4349074, 24.7469622 59.4349379, 24.7468343 59.4349492, 24.7467373 59.4349359, 24.7465896 59.4349314)",,,,,
49923007,Pärnu mnt,residential,True,False,9.258,,"LINESTRING (24.7467595 59.4341871, 24.7468196 59.4341694, 24.7468644 59.4341566, 24.7469024 59.4341465)",,,,,
988200983,Pärnu mnt,secondary,True,False,78.807,,"LINESTRING (24.7467595 59.4341871, 24.7465502 59.4340633, 24.7464058 59.433954, 24.7462477 59.4338344, 24.7461393 59.433717, 24.7460738 59.4336372, 24.7460281 59.433589)",2,4,50,,
679465285,,residential,True,False,6.293,,"LINESTRING (24.7503629 59.4339578, 24.7503009 59.4340048)",,,30,,
4852894,Inseneri,living_street,False,False,129.769,,"LINESTRING (24.7513028 59.438172, 24.7519656 59.4381388, 24.7526157 59.4381046, 24.7529555 59.4380872, 24.7534657 59.4380621, 24.7535819 59.438044)",,,,,
47001690,Aia,living_street,False,False,233.508,,"LINESTRING (24.7513028 59.438172, 24.7512841 59.4383725, 24.7512643 59.4385394, 24.7512387 59.4387547, 24.7512152 59.4389252, 24.7512075 59.4389808, 24.7511351 59.439064, 24.7509982 59.439117, 24.7509078 59.4391686, 24.7508971 59.4392293, 24.7508892 59.4392604, 24.7508705 59.4393924, 24.7507741 59.4400193, 24.7507466 59.4401652, 24.7507247 59.4402058)",,,,,
4852934,Pärnu mnt,secondary,True,False,249.47199999999998,,"LINESTRING (24.7528887 59.4366949, 24.752831 59.4366404, 24.7527606 59.4365927, 24.7526581 59.4365406, 24.7525128 59.4364848, 24.7515858 59.4361685, 24.7512423 59.4360529, 24.75052 59.4358132, 24.7495675 59.435497, 24.7493011 59.4354089)",2,4,50,,
"[239720295, 4852868, 60100463]","['Viru', 'Aia']",living_street,True,False,161.631,"['3', '6']","LINESTRING (24.7528887 59.4366949, 24.7524071 59.436654, 24.7518855 59.4366296, 24.7515461 59.4366137, 24.7515238 59.4367774, 24.7515032 59.4369077, 24.7514288 59.437377)",,,30,,
233678236,Viru väljak,secondary,True,False,30.503,,"LINESTRING (24.7537319 59.4367391, 24.754124 59.4368702, 24.7541819 59.4368904)",3,,50,roundabout,
4579287,Nunne,residential,True,False,9.677,,"LINESTRING (24.7391106 59.4400963, 24.7389957 59.4401608)",2,,,,
49776520,Nunne,living_street,False,True,87.759,,"LINESTRING (24.7404048 59.4392332, 24.7393966 59.4398333)",,,,,
"[4579288, 489313224]",Suur-Kloostri,living_street,False,False,109.386,,"LINESTRING (24.7404048 59.4392332, 24.7406742 59.4392501, 24.7411318 59.4392789, 24.7415631 59.439309, 24.7420105 59.4393414, 24.7421461 59.4393485, 24.7422767 59.4393556, 24.7423238 59.4393578)",,,,,building_passage
49776520,Nunne,living_street,False,False,134.71999999999997,,"LINESTRING (24.7404048 59.4392332, 24.7407009 59.4391041, 24.7409988 59.4389877, 24.7412113 59.4389298, 24.7414565 59.4388593, 24.7416876 59.4388163, 24.7419422 59.438778, 24.742152 59.4387552, 24.7424131 59.438753, 24.7425191 59.4387455)",,,,,
4852570,Väike-Kloostri,living_street,True,False,69.62,,"LINESTRING (24.7425191 59.4387455, 24.7425632 59.4387898, 24.7425754 59.4388215, 24.7425754 59.4388492, 24.7424582 59.4393622)",,,,,
49776520,Nunne,living_street,False,True,134.72,,"LINESTRING (24.7425191 59.4387455, 24.7424131 59.438753, 24.742152 59.4387552, 24.7419422 59.438778, 24.7416876 59.4388163, 24.7414565 59.4388593, 24.7412113 59.4389298, 24.7409988 59.4389877, 24.7407009 59.4391041, 24.7404048 59.4392332)",,,,,
826135294,Nunne,living_street,True,False,78.167,,"LINESTRING (24.7425191 59.4387455, 24.742837 59.4385762, 24.7428784 59.4385451, 24.7429069 59.4384919, 24.7429827 59.438279, 24.7429849 59.4382706, 24.7429968 59.4382261, 24.7430083 59.4381198)",,,,,
8050696,Põhja pst,trunk,True,False,68.934,,"LINESTRING (24.7530431 59.4414222, 24.7532242 59.4412597, 24.7534744 59.4410663, 24.7537133 59.4409053)",2,,50,,
128422497,Mere pst,tertiary,True,False,127.36499999999998,,"LINESTRING (24.7530431 59.4414222, 24.7530904 59.4412952, 24.7531803 59.4412079, 24.7532447 59.4411336, 24.7533305 59.4410667, 24.7535343 59.4409201, 24.7535892 59.4408734, 24.7536125 59.4408287, 24.7536296 59.4407765, 24.7536339 59.4407218, 24.7536284 59.4405489, 24.7536101 59.440495, 24.7536067 59.4403539)",1,,50,,
636371680,Ahtri,trunk,True,False,35.466,,"LINESTRING (24.7537133 59.4409053, 24.7539013 59.4408248, 24.7541897 59.4406978)",2,,50,,
1086706054,Mere pst,tertiary,True,False,47.673,,"LINESTRING (24.7537133 59.4409053, 24.7536191 59.4411153, 24.7534996 59.4413198)",2,,50,,
128422492,Mere pst,trunk,True,False,35.791,,"LINESTRING (24.7534996 59.4413198, 24.7533605 59.4414309, 24.7531936 59.4416011)",3,,50,,
"[956393160, 4852893]",Kanuti,living_street,False,False,168.65499999999997,"['10', '8']","LINESTRING (24.7507247 59.4402058, 24.7511872 59.4402219, 24.7517138 59.4402416, 24.7518969 59.4402216, 24.7524266 59.4401637, 24.7526443 59.4401575, 24.7526787 59.44016, 24.7528414 59.440172, 24.753083 59.4402221, 24.7534385 59.440311, 24.7535145 59.4403304, 24.7536067 59.4403539)",,,,,
47001690,Aia,living_street,False,False,46.388,,"LINESTRING (24.7507247 59.4402058, 24.7506614 59.4402569, 24.7504925 59.4404054, 24.7504781 59.4405905)",,,,,
