osmid,highway,maxspeed,oneway,reversed,length,name,geometry,lanes,ref,junction,access
822177277,residential,30,False,True,9.162,,"LINESTRING (28.1859889 59.378041, 28.1860475 59.3781178)",,,,
44149399,residential,50,False,False,108.638,Energia,"LINESTRING (28.1859889 59.378041, 28.1859321 59.3779661, 28.1853002 59.3772675, 28.1851962 59.3771515)",,,,
251579798,trunk,50,True,False,348.43,Tallinna mnt,"LINESTRING (28.1859889 59.378041, 28.1861659 59.3779968, 28.1865459 59.3779251, 28.186795 59.3778781, 28.1876428 59.377684, 28.1887178 59.3774385, 28.1898709 59.3771723, 28.191033 59.3769079, 28.1911586 59.3768702, 28.1913142 59.3767925, 28.1914513 59.3766719)",2,1,,
1077295699,trunk,50,True,False,4.679,Tallinna mnt,"LINESTRING (28.1914513 59.3766719, 28.1914589 59.37663)",2,1,circular,
55457756,trunk,,True,False,26.28,Peetri plats,"LINESTRING (28.1930546 59.3764263, 28.1934759 59.3763273)",1,1,,
893916687,tertiary,,True,False,19.492,Aleksander Puškini,"LINESTRING (28.1930546 59.3764263, 28.192927 59.3765891)",1,,,
894224726,trunk,50,False,True,71.558,Paul Kerese,"LINESTRING (28.1909162 59.3760279, 28.1908833 59.3760205, 28.1899735 59.3758174, 28.1898942 59.3757997, 28.1897591 59.3757696)",3,,,
894224728,trunk,50,True,False,32.073,Paul Kerese,"LINESTRING (28.1909162 59.3760279, 28.1910416 59.3760481, 28.1911643 59.3760728, 28.1912965 59.3761049, 28.1914342 59.3761426)",1,,,
4481068,residential,50,False,True,97.594,Linda,"LINESTRING (28.1922812 59.3729016, 28.1920831 59.3731399, 28.1915743 59.3737019)",,,,
27565410,residential,50,False,False,195.352,Malmi,"LINESTRING (28.1922812 59.3729016, 28.1924542 59.3729433, 28.1933093 59.373139, 28.1938264 59.3732574, 28.1944155 59.3733922, 28.1950338 59.373537, 28.1952768 59.3735919, 28.1954234 59.3736254)",,,,
44149399,residential,50,False,False,53.06,Energia,"LINESTRING (28.1851962 59.3771515, 28.1852654 59.3771048, 28.1853859 59.3770234, 28.1853942 59.3770136, 28.1854411 59.3769584, 28.1856327 59.3767327)",,,,
44149399,residential,50,False,True,108.638,Energia,"LINESTRING (28.1851962 59.3771515, 28.1853002 59.3772675, 28.1859321 59.3779661, 28.1859889 59.378041)",,,,
55488287,trunk,50,True,False,351.32300000000004,Tallinna mnt,"LINESTRING (28.1917461 59.3769601, 28.1914491 59.3769337, 28.1913278 59.3769312, 28.1912193 59.3769351, 28.1910705 59.3769559, 28.1901933 59.3771581, 28.1900004 59.3772025, 28.1899401 59.3772164, 28.1887601 59.3774874, 28.1876638 59.377739, 28.1862379 59.3780744, 28.1860475 59.3781178)",2,1,,
