osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,True,29.026,"LINESTRING (80.7357936 7.2997578, 80.7359583 7.2999614)",
1051043759,,,Victoria Golf Club Road,tertiary,30,False,True,31.943,"LINESTRING (80.7357936 7.2997578, 80.7360813 7.2997908)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,50.282,"LINESTRING (80.7357936 7.2997578, 80.7355585 7.2995837, 80.7354223 7.2994958)",
369659166,,,,residential,,False,False,199.374,"LINESTRING (80.7323601 7.2950157, 80.7330132 7.2943599, 80.733142 7.294171, 80.7332976 7.2940326, 80.7336473 7.2937687)",
224623700,,B256,Madawala-Rajawella Road,primary,50,False,False,85.60300000000001,"LINESTRING (80.7339353 7.2993186, 80.7342364 7.2992102, 80.7344042 7.2991808, 80.7346896 7.2991841)",
"[1183802344, 224721592]",,,,residential,30,False,False,281.33400000000006,"LINESTRING (80.7323576 7.2951773, 80.7321256 7.295309, 80.7320814 7.2953596, 80.7320532 7.2954474, 80.7320369 7.2955531, 80.7319189 7.2960865, 80.731758 7.2964058, 80.7315838 7.2966724, 80.7310903 7.2971513, 80.7310365 7.2972279)",
1183802345,,,,residential,,False,False,36.291,"LINESTRING (80.7322168 7.2957254, 80.7325409 7.2957817)",
"[224721601, 1183802347]",,,,residential,30,False,False,231.76600000000002,"LINESTRING (80.7326044 7.2950922, 80.7329209 7.2948102, 80.7330537 7.2947104, 80.7331999 7.2945987, 80.7332683 7.294524, 80.7334341 7.2942121, 80.73357 7.2939228, 80.7336907 7.2938749, 80.7338248 7.2938616, 80.7341049 7.2938837)",
1209983960,,,,residential,,False,True,154.394,"LINESTRING (80.7360039 7.2925017, 80.7355784 7.2938245)",
1209983961,,,,residential,,False,False,153.627,"LINESTRING (80.7360039 7.2925017, 80.7361329 7.2924982, 80.7362831 7.2925408, 80.7364896 7.292602, 80.7366613 7.2926419, 80.7368839 7.2926392, 80.737187 7.2925328, 80.7373028 7.2924072)",
1209983961,,,,residential,,False,True,88.64999999999999,"LINESTRING (80.7360039 7.2925017, 80.7359371 7.2925035, 80.7357198 7.2925621, 80.7354194 7.2926605, 80.7352244 7.2926726)",
