osmid,highway,maxspeed,oneway,reversed,length,lanes,ref,name,geometry,junction,tunnel,bridge
11603660,tertiary,40,False,True,15.128,,,,"LINESTRING (80.219075 6.0341942, 80.2190098 6.0343138)",,,
8076778,trunk,50,False,False,142.83,4,AA002,Colombo-Matara Road,"LINESTRING (80.219075 6.0341942, 80.2185357 6.0337737, 80.2183824 6.0336443, 80.2181942 6.0334629, 80.2180891 6.0333662)",,,
10548251,residential,30,False,False,6.842,,,Abesundara Road,"LINESTRING (80.2107203 6.034933, 80.2107401 6.0349913)",,,
7143230,residential,30,False,False,5.801,,,Jail Road,"LINESTRING (80.2126857 6.0339034, 80.2127074 6.0339509)",,,
6724195,trunk,70,True,False,245.64600000000002,2,AA002,Colombo-Galle Road,"LINESTRING (80.2126857 6.0339034, 80.2117154 6.0344182, 80.2107203 6.034933)",,,
9750305,trunk,60,True,False,10.439,2,,,"LINESTRING (80.217373 6.0325133, 80.2173817 6.0324833, 80.217381 6.032452, 80.2173709 6.0324223)",roundabout,,
137191638,trunk,40,True,False,4.816,,,,"LINESTRING (80.216023 6.0306468, 80.2160448 6.0306475, 80.216066 6.0306427)",roundabout,,
14340736,trunk,40,True,False,18.674,,,Custom Road,"LINESTRING (80.2170104 6.0309513, 80.2168533 6.0308897)",,,
14340741,trunk,40,True,False,16.237000000000002,,,,"LINESTRING (80.2170104 6.0309513, 80.2169839 6.0309639, 80.2169626 6.030984, 80.2169485 6.0310096, 80.2169432 6.0310383, 80.2169469 6.0310673)",roundabout,,
8625233,residential,30,True,False,19.814,,,,"LINESTRING (80.2171289 6.0310203, 80.2171287 6.0309661, 80.2171329 6.0309098, 80.2171453 6.0308434)",,,
14340741,trunk,40,True,False,12.678999999999998,,,,"LINESTRING (80.2171289 6.0310203, 80.2171131 6.0309857, 80.2170847 6.0309602, 80.2170485 6.0309481)",roundabout,,
9750333,trunk,50,False,True,15.871,4,AA002,Colombo-Matara Road,"LINESTRING (80.2175839 6.0328527, 80.2176181 6.0328862, 80.2176819 6.0329569)",,,
201237462,trunk,60,True,False,44.399,2,AA002,Colombo-Matara Road,"LINESTRING (80.2175839 6.0328527, 80.217507 6.0327191, 80.217462 6.0326417, 80.217373 6.0325133)",,,
8076775,tertiary,40,False,False,70.345,,,Main Street,"LINESTRING (80.2176819 6.0329569, 80.217784 6.0332365, 80.2178362 6.0333512, 80.2179397 6.0335334)",,,
8076778,trunk,50,False,True,64.024,4,AA002,Colombo-Matara Road,"LINESTRING (80.2176819 6.0329569, 80.2178187 6.0330913, 80.2180891 6.0333662)",,,
9750333,trunk,50,False,False,15.871,4,AA002,Colombo-Matara Road,"LINESTRING (80.2176819 6.0329569, 80.2176181 6.0328862, 80.2175839 6.0328527)",,,
8170202,tertiary,40,False,True,24.871,,,Main Street,"LINESTRING (80.2180891 6.0333662, 80.2179397 6.0335334)",,,
8076778,trunk,50,False,False,64.024,4,AA002,Colombo-Matara Road,"LINESTRING (80.2180891 6.0333662, 80.2178187 6.0330913, 80.2176819 6.0329569)",,,
8076778,trunk,50,False,True,142.82999999999998,4,AA002,Colombo-Matara Road,"LINESTRING (80.2180891 6.0333662, 80.2181942 6.0334629, 80.2183824 6.0336443, 80.2185357 6.0337737, 80.219075 6.0341942)",,,
5888931,residential,30,True,False,66.549,,,Talbot Town,"LINESTRING (80.2187631 6.0348117, 80.2182961 6.0344342)",,,
8625227,tertiary,40,False,False,32.301,,,Dickson Road,"LINESTRING (80.2187631 6.0348117, 80.2188843 6.0345474)",,,
8625227,tertiary,40,False,True,31.008,,,Dickson Road,"LINESTRING (80.2187631 6.0348117, 80.2187311 6.0349047, 80.2186699 6.0350747)",,,
8625227,tertiary,40,False,False,31.008,,,Dickson Road,"LINESTRING (80.2186699 6.0350747, 80.2187311 6.0349047, 80.2187631 6.0348117)",,,
5888931,residential,30,True,False,52.424,,,Talbot Town,"LINESTRING (80.2182961 6.0344342, 80.2179756 6.0347816)",,,
