osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,width
168395860,Adharsha watte Road,residential,30,False,False,131.576,"LINESTRING (79.9910347 6.7102004, 79.991708 6.7103226, 79.9922062 6.710416)",,,,
205040956,Waskaduwa - Bandaragama Road,primary,72,False,False,110.28,"LINESTRING (79.9910347 6.7102004, 79.9909806 6.7104487, 79.990727 6.7111421)",2,B458,,
131445487,Panadura - Horana Road,trunk,50,False,False,213.47299999999998,"LINESTRING (79.9869228 6.7126787, 79.9863321 6.712002, 79.9857683 6.7113487, 79.9856689 6.711218)",2,AA008,,
131445487,Panadura - Horana Road,trunk,50,False,True,308.81199999999995,"LINESTRING (79.9869228 6.7126787, 79.9870194 6.712764, 79.987865 6.7133715, 79.988752 6.714144, 79.9888744 6.7142624, 79.9890405 6.7144774)",2,AA008,,
146999567,Undugoda Road,residential,30,False,False,237.09,"LINESTRING (79.9869228 6.7126787, 79.9868309 6.7128332, 79.9866539 6.7131421, 79.9861577 6.714165, 79.9860507 6.7143897, 79.9859297 6.714566)",,,no,
131445487,Panadura - Horana Road,trunk,50,False,False,308.81199999999995,"LINESTRING (79.9890405 6.7144774, 79.9888744 6.7142624, 79.988752 6.714144, 79.987865 6.7133715, 79.9870194 6.712764, 79.9869228 6.7126787)",2,AA008,,
205040956,Waskaduwa - Bandaragama Road,primary,72,False,True,63.357,"LINESTRING (79.9890405 6.7144774, 79.9891832 6.7142915, 79.9893536 6.7140012)",2,B458,,
385938222,Panadura - Horana Road,trunk,50,False,True,103.36600000000001,"LINESTRING (79.9890405 6.7144774, 79.9891265 6.7146025, 79.9892597 6.7147541, 79.9896572 6.7151748)",2,AA008,,
582890442,Kesbewa - Kindelpitiya - Bandaragama Road,secondary,72,False,False,265.094,"LINESTRING (79.9890405 6.7144774, 79.9888995 6.714478, 79.9886233 6.7146966, 79.9874962 6.7155843, 79.9872093 6.7159513)",2,B216,,
146999567,Undugoda Road,residential,30,False,False,384.331,"LINESTRING (79.9859297 6.714566, 79.9857486 6.7147751, 79.9856051 6.7149203, 79.9854979 6.7153092, 79.9854429 6.715501, 79.9853933 6.7156222, 79.9854979 6.7159152, 79.9860155 6.7157407, 79.9866244 6.715694, 79.9867343 6.7155721, 79.9868201 6.7156263, 79.9868339 6.7156843, 79.9869127 6.7157527, 79.9872093 6.7159513)",,,no,
