osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes
23825712,B452,Homagama Diyagama Road,secondary,50,False,False,70.679,"LINESTRING (80.0031135 6.841196, 80.0030133 6.8405682)",
50664011,AA004,High Level Road,trunk,60,False,True,167.688,"LINESTRING (80.0031135 6.841196, 80.0015957 6.8411396)",
29478223,,Station Road,secondary,50,False,False,115.175,"LINESTRING (80.0031135 6.841196, 80.0031783 6.8414465, 80.0033708 6.8421998)",
194095375,AA004,High Level Road,trunk,60,False,False,296.015,"LINESTRING (80.0031135 6.841196, 80.0040665 6.8412819, 80.0042877 6.8413173, 80.0045368 6.841374, 80.0048699 6.8414622, 80.0050852 6.8415642, 80.0054287 6.8418442, 80.0055767 6.8420017)",
23825712,B452,Homagama Diyagama Road,secondary,50,False,True,70.679,"LINESTRING (80.0030133 6.8405682, 80.0031135 6.841196)",
23825712,B452,Homagama Diyagama Road,secondary,50,False,False,46.316,"LINESTRING (80.0030133 6.8405682, 80.0029947 6.8403387, 80.002989 6.8401525)",
263198256,,,residential,30,False,False,486.61600000000004,"LINESTRING (80.0030133 6.8405682, 80.0034438 6.8405151, 80.0040707 6.84039, 80.0046546 6.8405304, 80.004924 6.8405655, 80.0055803 6.8407095, 80.0056303 6.8406714, 80.0057575 6.840347, 80.0059921 6.839916, 80.0059974 6.8397307, 80.0060298 6.8396264, 80.0060497 6.8396194, 80.0065649 6.8398495)",
29478223,,Station Road,secondary,50,False,False,10.786,"LINESTRING (80.0034366 6.8425226, 80.0034491 6.8426188)",
29478223,,Station Road,secondary,50,False,True,36.622,"LINESTRING (80.0034366 6.8425226, 80.0033708 6.8421998)",
76823316,,1st Lane,residential,30,False,False,62.631,"LINESTRING (80.0034366 6.8425226, 80.0039972 6.8424363)",
76823316,,1st Lane,residential,30,False,True,42.119,"LINESTRING (80.0055767 6.8420017, 80.0053114 6.8422739)",
194095375,AA004,High Level Road,trunk,60,False,False,95.673,"LINESTRING (80.0055767 6.8420017, 80.0061101 6.8426798)",
194095375,AA004,High Level Road,trunk,60,False,True,296.015,"LINESTRING (80.0055767 6.8420017, 80.0054287 6.8418442, 80.0050852 6.8415642, 80.0048699 6.8414622, 80.0045368 6.841374, 80.0042877 6.8413173, 80.0040665 6.8412819, 80.0031135 6.841196)",
511501226,,Dewala Road,residential,30,False,True,9.463,"LINESTRING (80.0002755 6.8378034, 80.000303 6.837884)",1
511501226,,Dewala Road,residential,30,False,False,9.463,"LINESTRING (80.000303 6.837884, 80.0002755 6.8378034)",1
717610816,,Akarawita Mawatha,residential,30,False,True,216.433,"LINESTRING (80.000303 6.837884, 80.0004891 6.8388086, 80.0005252 6.8388388, 80.0009646 6.838781, 80.0011466 6.8387256, 80.001318 6.8387274, 80.0014765 6.8387299)",1
23825712,B452,Homagama Diyagama Road,secondary,50,False,False,23.298,"LINESTRING (80.0030437 6.838769, 80.0030555 6.8385598)",
