osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,name
9750337,tertiary,40,False,False,163.345,"LINESTRING (80.5878864 5.9283093, 80.587815 5.9281703, 80.5877525 5.9274793, 80.5877553 5.9268602)",,,
361992328,trunk,72,False,False,148.218,"LINESTRING (80.5878864 5.9283093, 80.5881774 5.9282459, 80.5885298 5.92821, 80.5891158 5.9281644, 80.5892154 5.9281752)",2,AA002,New Tangalle Road
361992328,trunk,72,False,True,297.177,"LINESTRING (80.5878864 5.9283093, 80.58693 5.92859, 80.5863101 5.9287201, 80.5860578 5.9287676, 80.5852629 5.9288523)",2,AA002,New Tangalle Road
9750341,secondary,50,False,False,7.719,"LINESTRING (80.5894396 5.926912, 80.5894664 5.9268479)",,B107,Dondra Light House Road
9750341,secondary,50,False,True,112.026,"LINESTRING (80.5894396 5.926912, 80.5893928 5.9279184)",,B107,Dondra Light House Road
9750337,tertiary,40,False,True,101.527,"LINESTRING (80.5894396 5.926912, 80.5894194 5.9267207, 80.5893286 5.9265258, 80.5892371 5.9264268, 80.5891275 5.9263798, 80.5888783 5.9263306)",,,
9750337,tertiary,40,False,False,101.52699999999999,"LINESTRING (80.5888783 5.9263306, 80.5891275 5.9263798, 80.5892371 5.9264268, 80.5893286 5.9265258, 80.5894194 5.9267207, 80.5894396 5.926912)",,,
9750337,tertiary,40,False,True,104.3,"LINESTRING (80.5888783 5.9263306, 80.5880699 5.9263031, 80.5879363 5.9263153)",,,
9750337,tertiary,40,False,False,104.3,"LINESTRING (80.5879363 5.9263153, 80.5880699 5.9263031, 80.5888783 5.9263306)",,,
9750337,tertiary,40,False,True,67.18299999999999,"LINESTRING (80.5879363 5.9263153, 80.5879069 5.9263452, 80.5878017 5.9264489, 80.5877723 5.9265795, 80.5877553 5.9268602)",,,
361992328,trunk,72,False,False,9.876,"LINESTRING (80.5894352 5.9282738, 80.5894918 5.9283425)",2,AA002,New Tangalle Road
