osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,access,junction
219383522,3rd Cross Street,residential,30,False,False,18.856,,"LINESTRING (80.9533086 8.0399034, 80.9531431 8.0398598)",,,
362102435,Polonnaruwa - Hingurakgoda Road,secondary,50,False,False,112.77,B552,"LINESTRING (80.9533086 8.0399034, 80.953322 8.0400787, 80.9533051 8.0409169)",,,
362102435,Polonnaruwa - Hingurakgoda Road,secondary,50,False,True,35.97,B552,"LINESTRING (80.9533086 8.0399034, 80.953314 8.0397892, 80.9533556 8.0396791, 80.9534132 8.0396074)",,,
362102435,Polonnaruwa - Hingurakgoda Road,secondary,50,False,False,199.969,B552,"LINESTRING (80.9544848 8.0381785, 80.9543467 8.0383379, 80.9542568 8.0385158, 80.9541495 8.0387456, 80.9540959 8.0388611, 80.9540315 8.0389554, 80.9538075 8.0391638, 80.9535516 8.0394537, 80.9534132 8.0396074)",,,
362102435,Polonnaruwa - Hingurakgoda Road,secondary,50,False,True,275.413,B552,"LINESTRING (80.9544848 8.0381785, 80.9546202 8.0381201, 80.9548375 8.0380949, 80.9561531 8.0380962, 80.9564978 8.0380682, 80.9566319 8.0380337, 80.9566892 8.0379959, 80.9567365 8.0379434, 80.9568316 8.0377748)",,,
"[219383517, 406161157]",Hathamuna Road,"['residential', 'tertiary']","['70', '30']",False,False,979.9570000000001,,"LINESTRING (80.9544848 8.0381785, 80.9544679 8.0378582, 80.9544599 8.037728, 80.9544063 8.0375474, 80.9539664 8.036602, 80.9538028 8.0363496, 80.9535828 8.0361053, 80.9534098 8.0359539, 80.9532861 8.035876, 80.9531362 8.0358198, 80.9530678 8.0357547, 80.9530011 8.0356427, 80.9527595 8.036123, 80.9524316 8.0367057, 80.9521794 8.0368943, 80.9521204 8.0369687, 80.9510531 8.0390943, 80.9502653 8.0406764)",2,unknown,
219383515,1st Cross Street,residential,30,False,True,40.537,,"LINESTRING (80.9524529 8.0396528, 80.9528052 8.0397587)",,,
219383515,1st Cross Street,residential,30,False,False,106.657,,"LINESTRING (80.9524529 8.0396528, 80.9523484 8.0399724, 80.9521925 8.0404664, 80.9521607 8.0405673)",,,
219383520,,residential,30,False,True,253.716,,"LINESTRING (80.9524529 8.0396528, 80.9520346 8.0395289, 80.9517556 8.0394997, 80.9516435 8.0397251, 80.9514418 8.0401583, 80.9513834 8.0402876, 80.9510942 8.0409282)",,,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,False,42.792,B287,"LINESTRING (80.9519598 8.0411886, 80.9523316 8.0413007)",,,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,True,50.914,B287,"LINESTRING (80.9519598 8.0411886, 80.9515174 8.0410553)",,,
219383515,1st Cross Street,residential,30,False,True,72.54,,"LINESTRING (80.9519598 8.0411886, 80.9521607 8.0405673)",,,
219383516,Central,residential,30,False,True,49.932,,"LINESTRING (80.9533051 8.0409169, 80.9528702 8.0407896)",3,permissive,
362102435,Polonnaruwa - Hingurakgoda Road,secondary,50,False,False,68.267,B552,"LINESTRING (80.9533051 8.0409169, 80.9532879 8.0415306)",,,
362102435,Polonnaruwa - Hingurakgoda Road,secondary,50,False,True,112.77,B552,"LINESTRING (80.9533051 8.0409169, 80.953322 8.0400787, 80.9533086 8.0399034)",,,
219383514,2nd Cross Street,residential,30,False,False,38.865,,"LINESTRING (80.9528052 8.0397587, 80.9531431 8.0398598)",,,
219383514,2nd Cross Street,residential,30,False,True,107.168,,"LINESTRING (80.9528052 8.0397587, 80.9525364 8.040685)",,,
219383515,1st Cross Street,residential,30,False,False,40.537,,"LINESTRING (80.9528052 8.0397587, 80.9524529 8.0396528)",,,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,False,8.4,B287,"LINESTRING (80.9510942 8.0409282, 80.9511663 8.0409529)",,,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,True,83.084,B287,"LINESTRING (80.9510942 8.0409282, 80.9507699 8.0408329, 80.9507411 8.040823, 80.9503728 8.0407091)",,,
219383520,,residential,30,False,False,253.716,,"LINESTRING (80.9510942 8.0409282, 80.9513834 8.0402876, 80.9514418 8.0401583, 80.9516435 8.0397251, 80.9517556 8.0394997, 80.9520346 8.0395289, 80.9524529 8.0396528)",,,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,False,59.811,B287,"LINESTRING (80.9526978 8.0414135, 80.9532153 8.0415771)",,,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,True,42.225,B287,"LINESTRING (80.9526978 8.0414135, 80.9523316 8.0413007)",,,
219383522,3rd Cross Street,residential,30,False,True,71.925,,"LINESTRING (80.9526978 8.0414135, 80.9528702 8.0407896)",,,
362102435,Polonnaruwa - Hingurakgoda Road,secondary,50,False,False,84.529,B552,"LINESTRING (80.9571336 8.0370759, 80.9568316 8.0377748)",,,
219383516,Central,residential,30,False,False,49.932,,"LINESTRING (80.9528702 8.0407896, 80.9533051 8.0409169)",3,permissive,
219383522,3rd Cross Street,residential,30,False,False,71.925,,"LINESTRING (80.9528702 8.0407896, 80.9526978 8.0414135)",,,
219383516,Central,residential,30,False,True,38.547999999999995,,"LINESTRING (80.9528702 8.0407896, 80.9526749 8.0407284, 80.9525738 8.0406967, 80.9525364 8.040685)",3,permissive,
219383522,3rd Cross Street,residential,30,False,True,107.72200000000001,,"LINESTRING (80.9528702 8.0407896, 80.9530458 8.040246, 80.9531431 8.0398598)",,,
219383514,2nd Cross Street,residential,30,False,True,38.865,,"LINESTRING (80.9531431 8.0398598, 80.9528052 8.0397587)",,,
219383522,3rd Cross Street,residential,30,False,True,18.856,,"LINESTRING (80.9531431 8.0398598, 80.9533086 8.0399034)",,,
219383522,3rd Cross Street,residential,30,False,False,107.72200000000001,,"LINESTRING (80.9531431 8.0398598, 80.9530458 8.040246, 80.9528702 8.0407896)",,,
219383515,1st Cross Street,residential,30,False,False,72.54,,"LINESTRING (80.9521607 8.0405673, 80.9519598 8.0411886)",,,
219383516,Central,residential,30,False,False,43.386,,"LINESTRING (80.9521607 8.0405673, 80.9525364 8.040685)",3,permissive,
219383515,1st Cross Street,residential,30,False,True,106.657,,"LINESTRING (80.9521607 8.0405673, 80.9521925 8.0404664, 80.9523484 8.0399724, 80.9524529 8.0396528)",,,
219383514,2nd Cross Street,residential,30,False,False,107.168,,"LINESTRING (80.9525364 8.040685, 80.9528052 8.0397587)",,,
219383516,Central,residential,30,False,True,43.386,,"LINESTRING (80.9525364 8.040685, 80.9521607 8.0405673)",3,permissive,
219383514,2nd Cross Street,residential,30,False,True,72.081,,"LINESTRING (80.9525364 8.040685, 80.952394 8.0411145, 80.9523316 8.0413007)",,,
219383516,Central,residential,30,False,False,38.548,,"LINESTRING (80.9525364 8.040685, 80.9525738 8.0406967, 80.9526749 8.0407284, 80.9528702 8.0407896)",3,permissive,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,False,42.225,B287,"LINESTRING (80.9523316 8.0413007, 80.9526978 8.0414135)",,,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,True,42.792,B287,"LINESTRING (80.9523316 8.0413007, 80.9519598 8.0411886)",,,
219383514,2nd Cross Street,residential,30,False,False,72.081,,"LINESTRING (80.9523316 8.0413007, 80.952394 8.0411145, 80.9525364 8.040685)",,,
201747656,Minneriya - Hingurakgoda Road,primary,60,False,False,12.382,B287,"LINESTRING (80.9502653 8.0406764, 80.9503728 8.0407091)",,,
"[406161157, 219383517]",Hathamuna Road,"['residential', 'tertiary']","['70', '30']",False,True,979.9570000000001,,"LINESTRING (80.9502653 8.0406764, 80.9510531 8.0390943, 80.9521204 8.0369687, 80.9521794 8.0368943, 80.9524316 8.0367057, 80.9527595 8.036123, 80.9530011 8.0356427, 80.9530678 8.0357547, 80.9531362 8.0358198, 80.9532861 8.035876, 80.9534098 8.0359539, 80.9535828 8.0361053, 80.9538028 8.0363496, 80.9539664 8.036602, 80.9544063 8.0375474, 80.9544599 8.037728, 80.9544679 8.0378582, 80.9544848 8.0381785)",2,unknown,
