osmid,ref,name,highway,maxspeed,oneway,reversed,length,access,geometry
"[1019483216, 459097442]",AB021,Jaffna-Ponnalai-Point Pedro Road,primary,50,False,False,365.952,no,"LINESTRING (80.0386379 9.815072, 80.038442 9.8150687, 80.0370228 9.8150206, 80.0365697 9.8150019, 80.035805 9.8149545, 80.0353017 9.8149233)"
1019483216,AB021,Jaffna-Ponnalai-Point Pedro Road,primary,50,False,False,25.009,no,"LINESTRING (80.0348338 9.8148943, 80.034606 9.8148802)"
1019483216,AB021,Jaffna-Ponnalai-Point Pedro Road,primary,50,False,True,51.368,no,"LINESTRING (80.0348338 9.8148943, 80.0353017 9.8149233)"
630882157,,,residential,30,False,True,132.433,,"LINESTRING (80.0348338 9.8148943, 80.0349525 9.8155082, 80.0349122 9.8158333, 80.0348731 9.8160687)"
630882157,,,residential,30,False,False,132.433,,"LINESTRING (80.0348731 9.8160687, 80.0349122 9.8158333, 80.0349525 9.8155082, 80.0348338 9.8148943)"
1019483216,AB021,Jaffna-Ponnalai-Point Pedro Road,primary,50,False,False,51.368,no,"LINESTRING (80.0353017 9.8149233, 80.0348338 9.8148943)"
630882158,,,residential,,False,False,218.464,,"LINESTRING (80.0353017 9.8149233, 80.035328 9.8153417, 80.0353683 9.8161763, 80.035395 9.8163672, 80.035454 9.8164438, 80.0355323 9.8164898, 80.0356257 9.8164676, 80.0356713 9.8164042, 80.0357192 9.8162525)"
"[1019483216, 459097442]",AB021,Jaffna-Ponnalai-Point Pedro Road,primary,50,False,True,365.952,no,"LINESTRING (80.0353017 9.8149233, 80.035805 9.8149545, 80.0365697 9.8150019, 80.0370228 9.8150206, 80.038442 9.8150687, 80.0386379 9.815072)"
630882158,,,residential,,False,True,218.464,,"LINESTRING (80.0357192 9.8162525, 80.0356713 9.8164042, 80.0356257 9.8164676, 80.0355323 9.8164898, 80.035454 9.8164438, 80.035395 9.8163672, 80.0353683 9.8161763, 80.035328 9.8153417, 80.0353017 9.8149233)"
1019483216,AB021,Jaffna-Ponnalai-Point Pedro Road,primary,50,False,True,25.009,no,"LINESTRING (80.034606 9.8148802, 80.0348338 9.8148943)"
