osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,junction
"[841603640, 4471873, 841603638, 841603639]",True,Centrumleden,tertiary,50,False,258.92300000000006,2,"LINESTRING (14.5104972 59.3265127, 14.5105948 59.3264716, 14.5106896 59.3264314, 14.511137 59.3262402, 14.5121606 59.3258027, 14.5123473 59.3257328, 14.5132782 59.325372, 14.5137548 59.3252196, 14.5141389 59.3251183)",
"[437998171, 4332054]",True,Stationsrondellen,tertiary,50,False,16.652,,"LINESTRING (14.5104972 59.3265127, 14.5105873 59.3265132, 14.5106445 59.3265251, 14.5106981 59.3265486, 14.5107328 59.3265802)",roundabout
"[4441060, 437998158]",True,Nickkällgatan,tertiary,50,False,93.54899999999998,,"LINESTRING (14.5114638 59.3274049, 14.5113946 59.3273502, 14.5113587 59.3273119, 14.5112899 59.3272489, 14.5111242 59.3271277, 14.5109945 59.3270376, 14.5108351 59.3269252, 14.5107315 59.3268504, 14.5106773 59.3267865, 14.5106132 59.3267458, 14.510531 59.3267187)",
385642418,True,Cirkusrondellen,tertiary,50,False,17.376,,"LINESTRING (14.5114638 59.3274049, 14.5114936 59.3273531, 14.51157 59.3273102, 14.5116493 59.3272921)",roundabout
4332052,True,Nickkällgatan,unclassified,50,False,43.259,,"LINESTRING (14.511945 59.3274454, 14.5119789 59.3274868, 14.5120463 59.3275403, 14.5122032 59.3276102, 14.5124907 59.3277044)",
4332053,True,Cirkusrondellen,tertiary,50,False,14.302999999999999,,"LINESTRING (14.511945 59.3274454, 14.5119116 59.327483, 14.5118603 59.3275113, 14.5117752 59.3275336)",roundabout
27009392,True,Värmlandsvägen,tertiary,50,False,64.046,,"LINESTRING (14.5116668 59.3275365, 14.5108325 59.3279246)",
385735607,True,Cirkusrondellen,tertiary,50,False,14.633000000000001,,"LINESTRING (14.5116668 59.3275365, 14.5115995 59.3275253, 14.5115536 59.3275103, 14.5115228 59.327495, 14.5114776 59.3274555)",roundabout
4247385,False,Centrumleden,tertiary,50,False,539.172,,"LINESTRING (14.5141389 59.3251183, 14.514459 59.3250177, 14.5147804 59.3249259, 14.5150967 59.3248448, 14.5154035 59.3247732, 14.5157077 59.3247134, 14.5159713 59.3246667, 14.5162685 59.3246232, 14.5164841 59.3245994, 14.5166937 59.3245784, 14.5169144 59.3245606, 14.5171224 59.3245517, 14.5173352 59.3245436, 14.5176274 59.3245452, 14.5183768 59.3245776, 14.5190278 59.3246116, 14.5218283 59.324764, 14.5221743 59.3247941, 14.5224613 59.3248255, 14.5228851 59.3248844, 14.5232016 59.3249405, 14.5233328 59.3249666)",
"[4471875, 841603635, 841603636, 841603637, 553233114]",True,Centrumleden,tertiary,50,False,253.66899999999998,2,"LINESTRING (14.5141389 59.3251183, 14.5138273 59.3252525, 14.513441 59.3254139, 14.5124706 59.325827, 14.5115374 59.3262084, 14.5112948 59.3263075, 14.5111134 59.3263779, 14.5110015 59.3264123, 14.5109245 59.3264402, 14.5108665 59.3264666, 14.5108161 59.3265018, 14.5107515 59.3265448, 14.5107328 59.3265802)",
