osmid,highway,maxspeed,oneway,reversed,length,name,geometry,lanes,access,ref,bridge,junction
781486153,secondary_link,50,False,True,7.296,,"LINESTRING (17.8082255 59.2907497, 17.808337 59.2907171)",,,,,
"[43091907, 541579190]",residential,30,False,"[False, True]",167.00300000000001,Tappströmsvägen,"LINESTRING (17.8082255 59.2907497, 17.8079351 59.2908129, 17.8076689 59.2909056, 17.8073574 59.2910097, 17.8071954 59.2910731, 17.807041 59.2912011, 17.8071108 59.2918029, 17.8069597 59.2919058)",,,,,
755701022,secondary,50,True,False,123.498,Ekerövägen,"LINESTRING (17.8082255 59.2907497, 17.8073171 59.2900015, 17.8071253 59.2899206, 17.8069553 59.2898647)",,,,,
13860459,secondary,50,False,False,99.449,Bryggavägen,"LINESTRING (17.8098738 59.2902883, 17.8085683 59.2906508, 17.8084247 59.2906905, 17.808337 59.2907171)",,,,,
23750109,residential,30,False,True,290.603,Ångbåtsvägen,"LINESTRING (17.8098738 59.2902883, 17.8099836 59.2903533, 17.8100676 59.2903994, 17.8106675 59.2906964, 17.811094 59.2908986, 17.8113668 59.2910356, 17.811587 59.2911848, 17.8118739 59.2914216, 17.8119207 59.2914604, 17.8120528 59.2915479, 17.812049 59.2915837, 17.8119855 59.2916411, 17.8118723 59.2916867, 17.8111367 59.2919021, 17.8106016 59.29206)",,,,,
"[575546856, 575546855, 1215803685, 266288391]",secondary,"['30', '50']",False,False,203.408,Bryggavägen,"LINESTRING (17.8098738 59.2902883, 17.8101582 59.2901941, 17.8105091 59.2900449, 17.8108673 59.2898455, 17.8110094 59.2897773, 17.8114037 59.2895782, 17.8123431 59.2891181, 17.8124936 59.2890467)",2,,,,
29977502,unclassified,,False,False,10.665,,"LINESTRING (17.8124936 59.2890467, 17.8125894 59.2891292)",,,,,
29977503,residential,30,False,False,130.53,Tegelbruksvägen,"LINESTRING (17.8124936 59.2890467, 17.8125849 59.2891077, 17.8129063 59.2892432, 17.8131381 59.28936, 17.8135902 59.2896278, 17.8140803 59.2898926)",,,,,
266288392,secondary,50,False,False,167.73300000000003,Bryggavägen,"LINESTRING (17.8124936 59.2890467, 17.8134077 59.2886409, 17.8143799 59.2882675, 17.8148043 59.2881088)",2,,,,
"[1131707993, 29977489, 240714148]",residential,"['50', '30']",False,False,286.892,Ekebyhovsvägen,"LINESTRING (17.8124936 59.2890467, 17.8123421 59.2889704, 17.8119741 59.2887579, 17.8114736 59.2882612, 17.8113792 59.2880815, 17.8114047 59.2879079, 17.8114353 59.287767, 17.8114474 59.287711, 17.8113245 59.2876024, 17.8112705 59.2875547, 17.8120031 59.2873388, 17.8125578 59.2871753, 17.8127987 59.2871296)",,,,,
"[575546856, 266288391, 1215803685, 575546855]",secondary,"['50', '30']",False,True,203.40800000000002,Bryggavägen,"LINESTRING (17.8124936 59.2890467, 17.8123431 59.2891181, 17.8114037 59.2895782, 17.8110094 59.2897773, 17.8108673 59.2898455, 17.8105091 59.2900449, 17.8101582 59.2901941, 17.8098738 59.2902883)",2,,,,
266288392,secondary,50,False,False,162.631,Bryggavägen,"LINESTRING (17.8176218 59.287156, 17.8195635 59.286081)",2,,,,
96057675,residential,30,False,False,27.334,Hagaringen,"LINESTRING (17.8176218 59.287156, 17.8177146 59.2872217, 17.8178883 59.2873606)",,,,,
203731905,residential,30,False,True,41.905,Gustavavägen,"LINESTRING (17.8176218 59.287156, 17.8174435 59.2870669, 17.8170922 59.2868936)",,,,,
266288392,secondary,50,False,True,192.137,Bryggavägen,"LINESTRING (17.8176218 59.287156, 17.8173219 59.2872836, 17.8168094 59.2874748, 17.8160718 59.2877098, 17.8148043 59.2881088)",2,,,,
23750109,residential,30,False,False,290.603,Ångbåtsvägen,"LINESTRING (17.8106016 59.29206, 17.8111367 59.2919021, 17.8118723 59.2916867, 17.8119855 59.2916411, 17.812049 59.2915837, 17.8120528 59.2915479, 17.8119207 59.2914604, 17.8118739 59.2914216, 17.811587 59.2911848, 17.8113668 59.2910356, 17.811094 59.2908986, 17.8106675 59.2906964, 17.8100676 59.2903994, 17.8099836 59.2903533, 17.8098738 59.2902883)",,,,,
"[1131707993, 29977489, 240714148]",residential,"['30', '50']",False,True,286.892,Ekebyhovsvägen,"LINESTRING (17.8127987 59.2871296, 17.8125578 59.2871753, 17.8120031 59.2873388, 17.8112705 59.2875547, 17.8113245 59.2876024, 17.8114474 59.287711, 17.8114353 59.287767, 17.8114047 59.2879079, 17.8113792 59.2880815, 17.8114736 59.2882612, 17.8119741 59.2887579, 17.8123421 59.2889704, 17.8124936 59.2890467)",,,,,
29977502,unclassified,,False,True,10.665,,"LINESTRING (17.8125894 59.2891292, 17.8124936 59.2890467)",,,,,
29977503,residential,30,False,False,16.212,Tegelbruksvägen,"LINESTRING (17.8155887 59.2908935, 17.8158508 59.2908357)",,,,,
150936434,residential,30,False,False,100.244,Pråmvägen,"LINESTRING (17.8155887 59.2908935, 17.8139126 59.2911765)",,,,,
29977503,residential,30,False,True,80.196,Tegelbruksvägen,"LINESTRING (17.8155887 59.2908935, 17.815412 59.2907172, 17.8152014 59.2905487, 17.8148008 59.2902984)",,,,,
266288392,secondary,50,False,True,162.631,Bryggavägen,"LINESTRING (17.8195635 59.286081, 17.8176218 59.287156)",2,,,,
"[1131707994, 150936436]",residential,"['50', '30']",False,False,178.66899999999998,Fredrikstrandsvägen,"LINESTRING (17.8195635 59.286081, 17.8196484 59.2861184, 17.8199959 59.2862715, 17.8201522 59.2863807, 17.8204447 59.286769, 17.8204987 59.2868407, 17.8208064 59.2872492, 17.8209817 59.2874819)",,,,,
96057675,residential,30,False,False,146.204,Hagaringen,"LINESTRING (17.8178883 59.2873606, 17.8180048 59.287373, 17.8181311 59.2873912, 17.818319 59.2873995, 17.8185523 59.2874053, 17.8189071 59.2874136, 17.8192812 59.287426, 17.8198223 59.2874409, 17.8204492 59.2874731)",,,,,
96057675,residential,30,False,True,377.477,Hagaringen,"LINESTRING (17.8178883 59.2873606, 17.8180388 59.2875046, 17.8182299 59.2876849, 17.8184713 59.2878975, 17.8185588 59.2879819, 17.8186382 59.2880837, 17.8187532 59.2882508, 17.8187888 59.2883327, 17.8187937 59.2884063, 17.8187839 59.2885039, 17.818792 59.2885925, 17.8188504 59.2886678, 17.8189605 59.2887546, 17.8190933 59.2888249, 17.8191727 59.2888398, 17.819265 59.2888332, 17.8195323 59.2887852, 17.8197429 59.2887389, 17.8198806 59.2887058, 17.8199875 59.288676, 17.8201106 59.2886214, 17.820258 59.288547, 17.8203228 59.2884948, 17.8203423 59.2884584, 17.8203342 59.2883997, 17.820305 59.2882748, 17.8202937 59.2882152, 17.8203018 59.2880953, 17.8203293 59.2879538, 17.8204492 59.2874731)",,,,,
