osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry
71834730,,,Slottsgatan,residential,,False,False,64.734,"LINESTRING (11.5890264 57.8879898, 11.5880958 57.8878414, 11.5879785 57.8878207)"
71834730,,,Slottsgatan,residential,,False,False,30.291,"LINESTRING (11.589492 57.8881036, 11.5890264 57.8879898)"
71834730,,,Slottsgatan,residential,,False,True,89.136,"LINESTRING (11.589492 57.8881036, 11.5908685 57.888431)"
123685166,,,Sveagatan,residential,,False,False,66.598,"LINESTRING (11.589492 57.8881036, 11.5899341 57.8875527)"
227461017,,,Parkgatan,residential,,False,False,80.556,"LINESTRING (11.5925371 57.8885395, 11.5921672 57.8884254, 11.5918757 57.8883324, 11.5916265 57.8882209, 11.5914253 57.8881256)"
227461017,,,Parkgatan,residential,,False,True,57.833,"LINESTRING (11.5925371 57.8885395, 11.593124 57.8886775, 11.5934394 57.8887401)"
227461025,,,Telefonstigen,residential,,False,False,92.033,"LINESTRING (11.5925371 57.8885395, 11.5924802 57.8887712, 11.5923354 57.8893602)"
227461007,,,Körsbärsgatan,residential,30,False,False,79.22399999999999,"LINESTRING (11.5934394 57.8887401, 11.5933597 57.8889934, 11.5933294 57.8890796, 11.5932195 57.8894429)"
227461017,,,Parkgatan,residential,,False,False,57.833,"LINESTRING (11.5934394 57.8887401, 11.593124 57.8886775, 11.5925371 57.8885395)"
227461017,,,Parkgatan,residential,,False,True,101.92299999999999,"LINESTRING (11.5934394 57.8887401, 11.5938604 57.8888157, 11.5942026 57.8888843, 11.5944133 57.888934, 11.5949089 57.8890903, 11.5950024 57.8891185)"
227460994,,,Bohusgatan,residential,30,False,False,53.059,"LINESTRING (11.5923354 57.8893602, 11.5932195 57.8894429)"
227460994,,,Bohusgatan,residential,30,False,True,111.662,"LINESTRING (11.5923354 57.8893602, 11.5921794 57.88935, 11.5920367 57.8893424, 11.5918562 57.8893277, 11.5904664 57.8892147)"
227461025,,,Telefonstigen,residential,,False,True,92.033,"LINESTRING (11.5923354 57.8893602, 11.5924802 57.8887712, 11.5925371 57.8885395)"
227461017,,,Parkgatan,residential,,False,False,101.923,"LINESTRING (11.5950024 57.8891185, 11.5949089 57.8890903, 11.5944133 57.888934, 11.5942026 57.8888843, 11.5938604 57.8888157, 11.5934394 57.8887401)"
227460994,,,Bohusgatan,residential,30,False,True,53.059,"LINESTRING (11.5932195 57.8894429, 11.5923354 57.8893602)"
227461007,,,Körsbärsgatan,residential,30,False,False,27.098,"LINESTRING (11.5932195 57.8894429, 11.5931581 57.8896844)"
227461007,,,Körsbärsgatan,residential,30,False,True,79.22399999999999,"LINESTRING (11.5932195 57.8894429, 11.5933294 57.8890796, 11.5933597 57.8889934, 11.5934394 57.8887401)"
227461007,,,Körsbärsgatan,residential,30,False,True,27.098,"LINESTRING (11.5931581 57.8896844, 11.5932195 57.8894429)"
227461001,,,Kolonigatan,residential,,False,True,31.62,"LINESTRING (11.5906697 57.8903625, 11.5901502 57.8902946)"
227461001,,,Kolonigatan,residential,,False,False,135.67700000000002,"LINESTRING (11.5906697 57.8903625, 11.5914321 57.8904743, 11.5921015 57.8905952, 11.5928569 57.8907314)"
227461016,,,Nitaregatan,residential,30,False,True,52.651,"LINESTRING (11.5934003 57.8903562, 11.5928569 57.8907314)"
227461019,,,Rosenbergsg.,residential,30,False,True,137.04399999999998,"LINESTRING (11.5878252 57.8904925, 11.5885697 57.8906662, 11.5889585 57.8907461, 11.5893318 57.890759, 11.5899226 57.8907203, 11.590042 57.8907194)"
227461022,,,Rosenstigen,residential,30,False,True,95.80199999999999,"LINESTRING (11.5957013 57.8910973, 11.5949707 57.8907671, 11.5945631 57.8910443)"
227461001,,,Kolonigatan,residential,,False,True,106.676,"LINESTRING (11.5945631 57.8910443, 11.5928569 57.8907314)"
227461022,,,Rosenstigen,residential,30,False,False,95.80199999999999,"LINESTRING (11.5945631 57.8910443, 11.5949707 57.8907671, 11.5957013 57.8910973)"
227463475,,,Varvskajen,residential,,False,False,40.836,"LINESTRING (11.5901881 57.8847494, 11.5907833 57.8849358)"
227463467,,,Kvarnholmsgatan,residential,,False,True,44.867,"LINESTRING (11.5907833 57.8849358, 11.590386 57.8852796)"
227463475,,,Varvskajen,residential,,False,True,40.836,"LINESTRING (11.5907833 57.8849358, 11.5901881 57.8847494)"
227463475,,,Varvskajen,residential,,False,False,95.125,"LINESTRING (11.5907833 57.8849358, 11.5915196 57.8851462, 11.5915397 57.8851704, 11.5915517 57.8851982, 11.591545 57.8852303, 11.5915343 57.885259, 11.5913479 57.8855172, 11.5913321 57.8855331)"
227463472,,,Stapelbäddsgatan,residential,,False,True,59.362,"LINESTRING (11.589515 57.8850139, 11.590386 57.8852796)"
227463467,,,Kvarnholmsgatan,residential,,False,False,44.867,"LINESTRING (11.590386 57.8852796, 11.5907833 57.8849358)"
227463467,,,Kvarnholmsgatan,residential,,False,True,49.62,"LINESTRING (11.590386 57.8852796, 11.5899951 57.8856745)"
227463472,,,Stapelbäddsgatan,residential,,False,False,59.362,"LINESTRING (11.590386 57.8852796, 11.589515 57.8850139)"
