osmid,bridge,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,width
41384924,yes,True,Z 606,Frösöbron,secondary,60,False,112.285,"LINESTRING (14.6270328 63.1819917, 14.6291353 63.1816454)",,
"[25359410, 41384924]",yes,True,Z 606,Frösöbron,secondary,"['60', '40']",False,319.791,"LINESTRING (14.6291353 63.1816454, 14.6301733 63.1814715, 14.6307014 63.1813551, 14.6310012 63.1812843, 14.631317 63.1812036, 14.631869 63.1810432, 14.6324628 63.1808425, 14.633242 63.1805912, 14.6335469 63.1805246, 14.6338011 63.1804839, 14.6341947 63.1804574, 14.6348086 63.1804389)",,
"[25359418, 25270350, 1211558727]",yes,True,,,secondary,"['60', '40']",False,238.21999999999997,"LINESTRING (14.6291353 63.1816454, 14.6301131 63.181403, 14.6305674 63.1812713, 14.6309095 63.1811521, 14.6311954 63.181015, 14.631334 63.1809012, 14.6314472 63.1807466, 14.6314827 63.1805924, 14.631484 63.1805047, 14.6314496 63.1804099, 14.6313157 63.1800341)",,
22189874,,True,Z 605,Rådhusgatan,secondary,40,False,15.323,"LINESTRING (14.6401574 63.1806014, 14.6401454 63.1807391)",2,
23329678,,False,Z 605.02,Fältjägargränd,tertiary,40,True,11.857,"LINESTRING (14.6398731 63.1822277, 14.6396374 63.1822198)",,
23329678,,False,Z 605.02,Fältjägargränd,tertiary,40,False,117.372,"LINESTRING (14.6398731 63.1822277, 14.6400475 63.1822322, 14.6422082 63.1822936)",,
41744196,,False,,Samuel Permans gata,residential,40,True,10.85,"LINESTRING (14.6403493 63.1793428, 14.6401337 63.1793352)",,
22189874,,True,Z 605,Rådhusgatan,secondary,40,False,140.281,"LINESTRING (14.6403493 63.1793428, 14.6403406 63.179409, 14.6401574 63.1806014)",2,
41744196,,False,,Samuel Permans gata,residential,40,False,117.219,"LINESTRING (14.6403493 63.1793428, 14.6405382 63.1793531, 14.6416903 63.1793792, 14.6418153 63.1793817, 14.642681 63.1794064)",,
23329678,,False,Z 605.02,Fältjägargränd,tertiary,40,False,11.857,"LINESTRING (14.6396374 63.1822198, 14.6398731 63.1822277)",,
4837898,,False,,Fältjägargränd,residential,30,False,92.055,"LINESTRING (14.6396374 63.1822198, 14.6394463 63.182213, 14.6378097 63.1821461)",,
67353059,,True,Z 605,Rådhusgatan,secondary,40,False,166.386,"LINESTRING (14.6396374 63.1822198, 14.6396616 63.1820751, 14.6397101 63.181759, 14.6397863 63.1812547, 14.6398118 63.1811009, 14.6398576 63.1808247, 14.639877 63.1807274)",2,
67353059,,True,Z 605,Rådhusgatan,secondary,40,False,15.225,"LINESTRING (14.639877 63.1807274, 14.6398942 63.1805907)",2,
23328221,,True,Z 606,Färjemansgatan,secondary,40,False,90.79,"LINESTRING (14.639877 63.1807274, 14.6396296 63.1807138, 14.6383026 63.1806696, 14.6380731 63.180664)",2,
1239893326,,True,Z 606,Färjemansgatan,secondary,40,False,13.258,"LINESTRING (14.6398942 63.1805907, 14.6401574 63.1806014)",2,
1239893327,,True,Z 605,Rådhusgatan,secondary,40,False,140.125,"LINESTRING (14.6398942 63.1805907, 14.6401242 63.1794087, 14.6401337 63.1793352)",2,
