osmid,highway,oneway,reversed,length,ref,maxspeed,width,geometry
925535751,unclassified,False,True,19.016,,,,"LINESTRING (18.7416278 65.2058361, 18.7412411 65.2057818)"
273443630,secondary,False,True,518.29,AC 1014,80,6.5,"LINESTRING (18.7416278 65.2058361, 18.7420314 65.2052975, 18.7423889 65.2048865, 18.7429033 65.204437, 18.743422 65.2039938, 18.7439179 65.2035895, 18.7443916 65.2031685, 18.7447855 65.2028559, 18.7450922 65.2026552, 18.745409 65.2024799, 18.7462244 65.2021617, 18.7470543 65.2018496)"
273443630,secondary,False,True,52.326,AC 1014,80,6.5,"LINESTRING (18.7470543 65.2018496, 18.7479042 65.2015424)"
273443630,secondary,False,False,518.2900000000001,AC 1014,80,6.5,"LINESTRING (18.7470543 65.2018496, 18.7462244 65.2021617, 18.745409 65.2024799, 18.7450922 65.2026552, 18.7447855 65.2028559, 18.7443916 65.2031685, 18.7439179 65.2035895, 18.743422 65.2039938, 18.7429033 65.204437, 18.7423889 65.2048865, 18.7420314 65.2052975, 18.7416278 65.2058361)"
1065847529,unclassified,False,False,153.321,,,,"LINESTRING (18.7470543 65.2018496, 18.7478224 65.2023105, 18.7484339 65.202171, 18.7479726 65.2019415, 18.7483513 65.201783)"
925535758,unclassified,False,True,291.418,,,,"LINESTRING (18.7435851 65.2033565, 18.7432469 65.2036911, 18.7428547 65.2040464, 18.7425723 65.2042869, 18.7419565 65.2048721, 18.7413541 65.2056599, 18.7412411 65.2057818)"
273443630,secondary,False,False,52.326,AC 1014,80,6.5,"LINESTRING (18.7479042 65.2015424, 18.7470543 65.2018496)"
793077736,unclassified,False,False,33.92,,,,"LINESTRING (18.7479042 65.2015424, 18.7483513 65.201783)"
925535751,unclassified,False,False,19.016,,,,"LINESTRING (18.7412411 65.2057818, 18.7416278 65.2058361)"
925535758,unclassified,False,False,291.418,,,,"LINESTRING (18.7412411 65.2057818, 18.7413541 65.2056599, 18.7419565 65.2048721, 18.7425723 65.2042869, 18.7428547 65.2040464, 18.7432469 65.2036911, 18.7435851 65.2033565)"
793077736,unclassified,False,True,33.92,,,,"LINESTRING (18.7483513 65.201783, 18.7479042 65.2015424)"
1065847529,unclassified,False,True,153.321,,,,"LINESTRING (18.7483513 65.201783, 18.7479726 65.2019415, 18.7484339 65.202171, 18.7478224 65.2023105, 18.7470543 65.2018496)"
