osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,ref,bridge,tunnel
"[208640552, 58242044]",4,Vaksalagatan,secondary,40,False,True,88.298,"LINESTRING (17.6445516 59.861104, 17.6444238 59.8610662, 17.6443116 59.8610255, 17.6442755 59.861009, 17.6438786 59.860827, 17.6433603 59.8605845)",,,,,
211934215,,Storgatan,residential,30,False,False,89.287,"LINESTRING (17.6445516 59.861104, 17.6446593 59.861064, 17.6447794 59.8610033, 17.6448133 59.8609841, 17.6450509 59.8608499, 17.6452908 59.8607202, 17.6456459 59.8605202)",,,,,
302632432,,Storgatan,residential,30,False,True,137.017,"LINESTRING (17.6445516 59.861104, 17.6444643 59.8611328, 17.6443715 59.8611767, 17.6443336 59.8611978, 17.6438831 59.8614496, 17.6434413 59.8616958, 17.6429816 59.8619521, 17.6428848 59.862006)",,,,,
531770838,2,Vaksalagatan,secondary,40,True,False,104.613,"LINESTRING (17.6445516 59.861104, 17.6448368 59.8611691, 17.6457781 59.8616051, 17.645832 59.86163, 17.6459878 59.8616981)",,,,,
7874597,,Salagatan,residential,30,False,False,8.291,"LINESTRING (17.6458871 59.8617529, 17.6459878 59.8616981)",7.4,,,,
7874597,,Salagatan,residential,30,False,True,93.758,"LINESTRING (17.6458871 59.8617529, 17.6457441 59.8618282, 17.6450942 59.8621702, 17.6447279 59.862363)",7.4,,,,
211934221,2,Vaksalagatan,secondary,40,True,False,104.078,"LINESTRING (17.6458871 59.8617529, 17.6457346 59.8616854, 17.6448431 59.8612797, 17.6447737 59.8612481, 17.6447273 59.8612268, 17.6445516 59.861104)",,,,,
31231557,,Vaksalagatan,unclassified,30,False,False,91.988,"LINESTRING (17.6403952 59.8592204, 17.6404704 59.8592553, 17.6406988 59.8593596, 17.6411298 59.8595611, 17.6414348 59.8597026, 17.6416055 59.8597817)",,,,,
"[47052521, 57938852]",,"['Vaksalagatan', 'Drottninggatan']",unclassified,30,False,True,201.461,"LINESTRING (17.6403952 59.8592204, 17.6402545 59.8591574, 17.6396408 59.8588826, 17.6393494 59.8587476, 17.6389005 59.8585448, 17.6385617 59.8583917, 17.6377908 59.858027, 17.6377311 59.8579987)",,no,,,
"[263934970, 263934971]",,Dragarbrunnsgatan,living_street,7,False,False,157.57999999999998,"LINESTRING (17.6403952 59.8592204, 17.6404916 59.8591654, 17.6413179 59.858694, 17.6422596 59.8581565)",,,,,
