osmid,lanes,name,highway,maxspeed,oneway,reversed,length,tunnel,geometry,ref,junction,bridge
"[5135108, 5135109]",2,Tumbavägen,secondary,40,False,True,177.486,yes,"LINESTRING (17.828106 59.1997129, 17.8280857 59.1996656, 17.8280527 59.1996023, 17.8279497 59.1994642, 17.8278076 59.1993721, 17.8276779 59.1993287, 17.8274948 59.1993011, 17.8273657 59.1993012, 17.8272004 59.1993173, 17.8270141 59.1993713, 17.8269114 59.1994526, 17.8268338 59.1995713, 17.8267742 59.1998156, 17.8266967 59.2001229)",,,
62136596,2,KP Arnoldssons väg,secondary,50,False,False,116.178,,"LINESTRING (17.828106 59.1997129, 17.8289596 59.199627, 17.8297348 59.1995504, 17.8300975 59.1994906)",,,
51763765,,Huddingevägen,primary,50,True,False,44.042,,"LINESTRING (17.838354 59.1984562, 17.8390075 59.1986681)",226,,
833254257,,,primary_link,50,True,False,7.917,,"LINESTRING (17.838354 59.1984562, 17.8382846 59.1985179)",,,
833254262,,KP Arnoldssons väg,secondary,50,True,False,13.048,,"LINESTRING (17.8404781 59.1989624, 17.8404055 59.1990737)",,,
5170019,,Grödingevägen,residential,40,False,False,43.471999999999994,,"LINESTRING (17.8264179 59.1975125, 17.8262539 59.1974652, 17.8257496 59.1973235)",,,
5170019,,Grödingevägen,residential,40,False,True,326.16900000000004,,"LINESTRING (17.8264179 59.1975125, 17.8266182 59.1975706, 17.8281962 59.1980073, 17.8285281 59.1980925, 17.8292273 59.1983031, 17.8298409 59.1984836, 17.8302112 59.1985958, 17.8305506 59.1986971, 17.8305996 59.1987117, 17.831186 59.1988679, 17.8314325 59.1989286)",,,
23802211,,Kungsvägen,residential,30,False,True,70.362,,"LINESTRING (17.8264179 59.1975125, 17.8264892 59.197442, 17.8266932 59.1972331, 17.8268805 59.1970558, 17.8269158 59.1970202, 17.8269445 59.1969835, 17.8269614 59.1969457)",,,
5170019,,Grödingevägen,residential,40,False,False,326.169,,"LINESTRING (17.8314325 59.1989286, 17.831186 59.1988679, 17.8305996 59.1987117, 17.8305506 59.1986971, 17.8302112 59.1985958, 17.8298409 59.1984836, 17.8292273 59.1983031, 17.8285281 59.1980925, 17.8281962 59.1980073, 17.8266182 59.1975706, 17.8264179 59.1975125)",,,
5199076,2,Gröndalsvägen,residential,50,False,False,56.082,,"LINESTRING (17.8314325 59.1989286, 17.8313985 59.1989925, 17.8314117 59.1993023, 17.8314167 59.1993766, 17.8314144 59.1994305)",,,
