osmid,name,highway,width,oneway,reversed,length,geometry,ref,maxspeed,access,lanes,junction,bridge
15912290,Långgatan,residential,6,False,False,124.544,"LINESTRING (17.0706104 59.6372254, 17.0705921 59.6371259, 17.0705518 59.6369522, 17.0704389 59.6364649, 17.0704047 59.6363174, 17.0703986 59.6362487, 17.0704261 59.6361942, 17.0705093 59.6361249)",,,,,,
15912290,Långgatan,residential,6,False,True,209.224,"LINESTRING (17.0706104 59.6372254, 17.0706261 59.6372915, 17.0706617 59.6374522, 17.0706708 59.6374934, 17.0707641 59.6377035, 17.0708645 59.6378686, 17.0709951 59.6380013, 17.0711707 59.6381592, 17.0712549 59.6382217, 17.0713642 59.6383029, 17.0715789 59.6384341, 17.0717978 59.6385572, 17.0718435 59.6385829, 17.0723321 59.6388313)",,,,,,
42412826,Dr Westerlunds Gata,secondary,,False,False,92.655,"LINESTRING (17.0706104 59.6372254, 17.0708848 59.6372154, 17.0712719 59.6372012, 17.0713881 59.6371969, 17.0722439 59.6371214)",E 18.11,50,,,,
42412826,Dr Westerlunds Gata,secondary,,False,True,47.926,"LINESTRING (17.0730882 59.6370611, 17.0722439 59.6371214)",E 18.11,50,,,,
51211871,Dr Westerlunds Gata,secondary,,True,False,36.451,"LINESTRING (17.0730882 59.6370611, 17.0735567 59.6369832, 17.0737076 59.6369646)",E 18.11,50,,,,
335228314,Källgatan,residential,,False,False,42.842,"LINESTRING (17.0758477 59.636241, 17.0763972 59.635974)",,,,,,
13856149,Västra Ringgatan,residential,,False,False,111.917,"LINESTRING (17.0758477 59.636241, 17.0755231 59.6360717, 17.0754623 59.63604, 17.0751135 59.6358581, 17.0744619 59.6355183)",,30,,,,
335228314,Källgatan,residential,,False,True,56.509,"LINESTRING (17.0758477 59.636241, 17.0757247 59.6363016, 17.0754979 59.6364133, 17.0753259 59.636498, 17.0751277 59.6365957)",,,,,,
132023491,Kyrkogatan,residential,,True,False,59.775,"LINESTRING (17.0769916 59.6356851, 17.0777293 59.6360723)",,,,,,
335228314,Källgatan,residential,,False,True,46.349,"LINESTRING (17.0769916 59.6356851, 17.0763972 59.635974)",,,,,,
"[380458860, 131697893]",Källgatan,residential,,False,False,92.65,"LINESTRING (17.0769916 59.6356851, 17.0770975 59.6356316, 17.0772725 59.6355411, 17.078016 59.6352035, 17.0781892 59.6351132)",,30,no,,,
13855186,Kungsgatan,residential,,False,True,75.883,"LINESTRING (17.0788932 59.6355084, 17.0798175 59.6360058)",,,,,,
131697888,Torggatan,residential,,False,False,90.618,"LINESTRING (17.0788932 59.6355084, 17.0778718 59.636004, 17.0777293 59.6360723)",,30,no,,,
807859905,Torggatan,living_street,,True,False,91.527,"LINESTRING (17.0788932 59.6355084, 17.079041 59.6354352, 17.0800618 59.6349352)",,,,,,
13855186,Kungsgatan,residential,,False,False,110.993,"LINESTRING (17.081725 59.63695, 17.0803194 59.6362489)",,,,,,
13855169,Stockholmsvägen,tertiary,,False,False,31.641,"LINESTRING (17.081725 59.63695, 17.0818481 59.6370195, 17.0821005 59.637162)",,50,,,,
13855170,Tullgatan,tertiary,,False,False,30.026,"LINESTRING (17.081725 59.63695, 17.0818557 59.6368864, 17.0821098 59.6367627)",,50,,2,,
158838155,Tullgatan,tertiary,,False,False,95.219,"LINESTRING (17.081725 59.63695, 17.0815785 59.6370223, 17.0805128 59.6375482)",,50,,2,,
13855186,Kungsgatan,residential,,False,False,39.071,"LINESTRING (17.0803194 59.6362489, 17.0798175 59.6360058)",,,,,,
13855186,Kungsgatan,residential,,False,True,110.993,"LINESTRING (17.0803194 59.6362489, 17.081725 59.63695)",,,,,,
13855177,Rådmansgatan,residential,,False,True,88.33,"LINESTRING (17.0803194 59.6362489, 17.0808563 59.6359811, 17.0814379 59.6356909)",,,,,,
13855172,Tullgatan,tertiary,,False,True,105.94,"LINESTRING (17.0775553 59.6388765, 17.0777211 59.6387988, 17.0790084 59.63827)",,50,,2,,
40166993,Tullgatan,residential,,False,False,107.435,"LINESTRING (17.0775553 59.6388765, 17.0774326 59.6389317, 17.0771789 59.6390356, 17.0760459 59.6394689)",,,,,,
335228309,Fjärdhundragatan,secondary,,False,True,184.334,"LINESTRING (17.0775553 59.6388765, 17.0764496 59.6381159, 17.0754815 59.6375961)",E 18.10,50,,2,,
13856144,Skolgatan,residential,,False,False,14.847,"LINESTRING (17.0813552 59.6380206, 17.0815646 59.6379392)",,50,,,,
13856144,Skolgatan,residential,,False,True,44.489,"LINESTRING (17.0813552 59.6380206, 17.0808196 59.6383152)",,50,,,,
125665274,Kyrkogatan,residential,,False,False,70.717,"LINESTRING (17.0813552 59.6380206, 17.0807761 59.6376959, 17.0805128 59.6375482)",,50,,,,
13856144,Skolgatan,residential,,False,False,44.489,"LINESTRING (17.0808196 59.6383152, 17.0813552 59.6380206)",,50,,,,
13855174,,tertiary,,True,False,17.273,"LINESTRING (17.0818369 59.6340374, 17.0817885 59.6340096, 17.0817622 59.6339762, 17.0817596 59.6339392, 17.0817908 59.6338967)",,,,,roundabout,
13855188,Torggatan,residential,,False,False,53.375,"LINESTRING (17.0818369 59.6340374, 17.0817601 59.6340777, 17.0811777 59.6343829)",,30,,,,
8199887,Torggatan,tertiary,,False,False,114.131,"LINESTRING (17.0821285 59.6338842, 17.0822123 59.6338303, 17.0828149 59.6335443, 17.0835937 59.6331747)",C 519,50,,,,
