osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,junction,bridge
46885493,Malmgatan,residential,40,False,False,89.297,"LINESTRING (16.2116173 58.9919208, 16.2116866 58.9921408, 16.211867 58.9927135)",,,,
106547338,Tegnérvägen,residential,40,False,True,151.80700000000002,"LINESTRING (16.2116173 58.9919208, 16.2128726 58.9918067, 16.2129229 58.9918021, 16.2131794 58.9917788, 16.213369 58.9917616, 16.2134518 58.9917541, 16.2137833 58.9917239, 16.2139634 58.9917076, 16.2142252 58.9916786)",,,,
1238287021,Tegnérvägen,residential,40,False,False,115.051,"LINESTRING (16.2116173 58.9919208, 16.2113573 58.991952, 16.2102516 58.9920483, 16.2100002 58.9920701, 16.2097956 58.9920875, 16.2096399 58.9921007)",,,,
106532075,Köpmangatan,living_street,walk,False,False,120.496,"LINESTRING (16.2020083 58.9959894, 16.2022096 58.9959693, 16.2037482 58.9958311, 16.2040801 58.9958013)",,,,
214849952,Kungsgatan,tertiary,40,False,True,113.874,"LINESTRING (16.2020083 58.9959894, 16.2019561 58.9958632, 16.2017713 58.9954165, 16.2017251 58.9952717, 16.201633 58.994984)",11.4,,,
479773874,Fabriksgatan,tertiary,40,True,False,256.233,"LINESTRING (16.2020083 58.9959894, 16.2020818 58.9960812, 16.2020956 58.9961389, 16.2021614 58.9963454, 16.2021943 58.9964027, 16.2022329 58.9964376, 16.2022822 58.9964661, 16.2023432 58.9964954, 16.2024118 58.9965143, 16.2025162 58.9965351, 16.2026471 58.9965349, 16.2035049 58.9964542, 16.205215 58.9963066, 16.2054945 58.9962822, 16.2056908 58.9962619)",,,,
963778166,Vasavägen,primary,40,True,False,18.465,"LINESTRING (16.2119835 58.9952249, 16.211989 58.9952593, 16.2119812 58.9952768, 16.2119476 58.9953065, 16.2119004 58.9953254, 16.2118721 58.9953314, 16.2118091 58.995335)",4.0,57,roundabout,
"[963778162, 1231419220]",Vasavägen,primary,40,True,False,179.775,"LINESTRING (16.2119835 58.9952249, 16.212299 58.9954413, 16.2130358 58.9959448, 16.2132211 58.9960956, 16.2137709 58.996552)",7.9,57,,yes
23283372,Vasavägen,primary_link,40,True,False,13.002,"LINESTRING (16.2137709 58.996552, 16.2137904 58.9966685)",5.4,57,,
1126420526,,primary_link,40,True,False,22.765,"LINESTRING (16.2137709 58.996552, 16.2139284 58.9966341, 16.2140622 58.9966909)",,57,,
444809209,Fabriksgatan,tertiary,40,True,False,66.646,"LINESTRING (16.210748 58.9955867, 16.2109339 58.9954876, 16.2111619 58.9954179, 16.2115084 58.9952868, 16.2115838 58.9952566, 16.2116643 58.9952215)",,,,
1234451782,Fabriksgatan,tertiary,40,True,False,70.791,"LINESTRING (16.210748 58.9955867, 16.2105649 58.9956812, 16.2097825 58.9959107, 16.2097184 58.9959321)",,,,
1238287057,Trädgårdsgatan,tertiary,40,True,False,26.53,"LINESTRING (16.210748 58.9955867, 16.210871 58.9956172, 16.2109564 58.9956567, 16.2110131 58.9957032, 16.2110548 58.995753)",8.4,,,
46885493,Malmgatan,residential,40,False,True,126.0,"LINESTRING (16.2142258 58.9957032, 16.2141867 58.9956029, 16.2141155 58.9955288, 16.2137087 58.9952265, 16.2135623 58.9951178, 16.2133038 58.9949257, 16.2130667 58.9947496)",,,,
"[1238287048, 1238287049, 1238287059, 1238287047]",Trädgårdsgatan,tertiary,40,False,False,185.135,"LINESTRING (16.2142258 58.9957032, 16.2140249 58.9957286, 16.2130563 58.9958238, 16.2128251 58.995843, 16.2126131 58.995858, 16.2123581 58.9958695, 16.2120228 58.9958671, 16.2119875 58.9958653, 16.2117421 58.9958528, 16.2115336 58.9958357, 16.2114978 58.9958328, 16.2112735 58.9958004, 16.2110953 58.995764, 16.2110548 58.995753)","['8.4', '10']",,,
23641680,Fredsgatan,residential,40,False,True,153.35799999999998,"LINESTRING (16.2122084 58.9937371, 16.2126415 58.9936979, 16.2130233 58.9936634, 16.2145316 58.993527, 16.2148468 58.9935031)",,,,
46885493,Malmgatan,residential,40,False,False,125.707,"LINESTRING (16.2122084 58.9937371, 16.212242 58.9938599, 16.2123232 58.9940846, 16.2123753 58.9942288, 16.2125606 58.9943822, 16.2125967 58.9944122, 16.2128478 58.9945924, 16.2130094 58.9947084, 16.2130667 58.9947496)",,,,
