osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,ref
49052051,Götgatan,residential,30,False,True,36.397,"LINESTRING (16.2229095 59.619771, 16.2224739 59.6200131)",,,
49052040,Götgatan,residential,30,True,False,102.75999999999999,"LINESTRING (16.2229095 59.619771, 16.2228685 59.6197151, 16.223936 59.6191366, 16.2240786 59.6191239)",,,
49052045,Götgatan,residential,30,True,False,104.29,"LINESTRING (16.2240786 59.6191239, 16.2240997 59.6192024, 16.2230242 59.619787, 16.2229095 59.619771)",,,
49052101,Götgatan,residential,30,False,False,40.116,"LINESTRING (16.2240786 59.6191239, 16.2243289 59.618992, 16.2244401 59.6189436, 16.2246034 59.6188808)",,,
49063423,Norra Idrottsvägen,residential,30,False,True,19.051,"LINESTRING (16.2239647 59.620813, 16.2238395 59.6206538)",,,
49063518,Eldsbodavägen,residential,30,False,True,51.793,"LINESTRING (16.226102 59.6186893, 16.226307 59.6182352)",,,
49051694,Skolgatan,residential,40,False,True,49.163,"LINESTRING (16.2231706 59.6156982, 16.2233723 59.6156516, 16.2236598 59.6156082, 16.224007 59.6155778)",,,
556576484,Handbergsgatan,residential,30,False,False,159.244,"LINESTRING (16.237661 59.6174243, 16.2376721 59.6176969, 16.2377211 59.6177608, 16.2378286 59.6177808, 16.2383216 59.6177811, 16.2384348 59.617751, 16.2384948 59.6176865, 16.2384771 59.6174888, 16.2384086 59.6174295, 16.2382827 59.6174108, 16.237661 59.6174243)",,,
556576484,Handbergsgatan,residential,30,False,True,159.24400000000003,"LINESTRING (16.237661 59.6174243, 16.2382827 59.6174108, 16.2384086 59.6174295, 16.2384771 59.6174888, 16.2384948 59.6176865, 16.2384348 59.617751, 16.2383216 59.6177811, 16.2378286 59.6177808, 16.2377211 59.6177608, 16.2376721 59.6176969, 16.237661 59.6174243)",,,
556576484,Handbergsgatan,residential,30,False,True,44.683,"LINESTRING (16.237661 59.6174243, 16.237658 59.6170722, 16.2376541 59.6170225)",,,
957388208,Östra Trollebovägen,residential,30,False,True,157.703,"LINESTRING (16.2218531 59.6191557, 16.2231087 59.6182325, 16.2235494 59.6184299)",,,
983815196,Eldsbodavägen,tertiary,40,False,True,44.804,"LINESTRING (16.227943 59.6189126, 16.2273511 59.6186429)",8.2,,
49052063,Östra Trollebovägen,residential,30,False,False,171.14,"LINESTRING (16.227943 59.6189126, 16.2277164 59.6190351, 16.2276445 59.6190739, 16.2265572 59.6196616, 16.2264345 59.619696, 16.226288 59.6196757, 16.2257555 59.6194285)",,,
4535667,Olbergarondellen,tertiary,40,True,False,21.021,"LINESTRING (16.2232813 59.6170664, 16.2232854 59.6169948, 16.2233518 59.6169417, 16.223443 59.6169125)",7.7,roundabout,
50176917,Nygatan,tertiary,40,True,False,52.224999999999994,"LINESTRING (16.2232813 59.6170664, 16.2231846 59.6169681, 16.2230543 59.6167611, 16.2230004 59.6166211)",4.7,,
49063601,Västtunagatan,residential,30,False,True,90.346,"LINESTRING (16.2360436 59.618544, 16.2360444 59.6193565)",,,
983815204,Bondegatan,residential,30,False,True,88.712,"LINESTRING (16.2360436 59.618544, 16.2344667 59.618565)",,,
49063601,Västtunagatan,residential,30,False,False,160.71,"LINESTRING (16.2360436 59.618544, 16.2360118 59.6171655, 16.2360103 59.6170988)",,,
48748554,Trädgårdsgatan,residential,40,False,False,121.239,"LINESTRING (16.2316366 59.6137517, 16.2324268 59.6137644, 16.2337917 59.61376)",,,
983815213,Parkgatan,residential,30,False,True,86.09700000000001,"LINESTRING (16.2316366 59.6137517, 16.2317354 59.6142199, 16.2318534 59.6145174)",,,
983815199,Eldsbodavägen,tertiary,40,False,False,22.022,"LINESTRING (16.2248467 59.6176788, 16.2251091 59.6178258)",7.3,,
983815199,Eldsbodavägen,tertiary,40,False,True,46.161,"LINESTRING (16.2248467 59.6176788, 16.2242871 59.6173751)",7.3,,
49052095,Smedjegatan,residential,30,False,False,110.898,"LINESTRING (16.2248467 59.6176788, 16.2241602 59.618075, 16.2235494 59.6184299)",,,
49063601,Västtunagatan,residential,30,False,False,112.196,"LINESTRING (16.2360103 59.6170988, 16.2360079 59.6160898)",,,
