osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry
70376213,,Furugatan,residential,40,False,False,33.205,,"LINESTRING (14.1184146 56.547929, 14.1184927 56.5482245)"
70376149,,Furugatan,residential,40,False,False,70.39699999999999,,"LINESTRING (14.1184146 56.547929, 14.1180278 56.5479498, 14.1177588 56.5479188, 14.1172883 56.5478538)"
70376149,,Furugatan,residential,40,False,True,104.28099999999999,,"LINESTRING (14.1184146 56.547929, 14.1185646 56.547834, 14.1187592 56.5477214, 14.1189345 56.5476492, 14.1192075 56.547601, 14.119722 56.5475494, 14.1198819 56.5475342)"
70376149,,Furugatan,residential,40,False,False,26.944,,"LINESTRING (14.1172883 56.5478538, 14.116862 56.5477947)"
70376613,,Furugatan,residential,40,False,False,43.813,,"LINESTRING (14.1172883 56.5478538, 14.1171166 56.5479393, 14.1168821 56.5479312, 14.116862 56.5477947)"
70376149,,Furugatan,residential,40,False,True,70.397,,"LINESTRING (14.1172883 56.5478538, 14.1177588 56.5479188, 14.1180278 56.5479498, 14.1184146 56.547929)"
70376149,,Furugatan,residential,40,False,True,26.944,,"LINESTRING (14.116862 56.5477947, 14.1172883 56.5478538)"
70376613,,Furugatan,residential,40,False,True,43.813,,"LINESTRING (14.116862 56.5477947, 14.1168821 56.5479312, 14.1171166 56.5479393, 14.1172883 56.5478538)"
70376149,,Furugatan,residential,40,False,False,79.061,,"LINESTRING (14.116862 56.5477947, 14.1166026 56.547759, 14.1163632 56.5477505, 14.1161342 56.547782, 14.1157936 56.5478681, 14.115637 56.5479071)"
70376229,,Furugatan,residential,40,False,False,60.892,,"LINESTRING (14.115637 56.5479071, 14.1157874 56.5484484)"
70376149,,Furugatan,residential,40,False,False,14.629,,"LINESTRING (14.115637 56.5479071, 14.1154978 56.5479115, 14.1153989 56.547916)"
70376149,,Furugatan,residential,40,False,True,79.06099999999999,,"LINESTRING (14.115637 56.5479071, 14.1157936 56.5478681, 14.1161342 56.547782, 14.1163632 56.5477505, 14.1166026 56.547759, 14.116862 56.5477947)"
70376213,,Furugatan,residential,40,False,True,33.205,,"LINESTRING (14.1184927 56.5482245, 14.1184146 56.547929)"
