osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,tunnel
23619510,True,2,E 4,motorway,120,False,481.122,"LINESTRING (14.0815154 57.2025034, 14.0814013 57.2013925, 14.0813036 57.1996948, 14.0812811 57.1986976, 14.0812766 57.1981792)",,
37408136,True,1,,motorway_link,120,False,507.41700000000014,"LINESTRING (14.0815154 57.2025034, 14.0812788 57.2018099, 14.0811474 57.2014723, 14.0809967 57.2011973, 14.0808116 57.2009395, 14.0805816 57.2006946, 14.0803675 57.2005099, 14.0801269 57.2003366, 14.0798757 57.2001834, 14.0795929 57.200023, 14.0793496 57.1998941, 14.0790588 57.1997193, 14.0788632 57.1995661, 14.0787416 57.1993985, 14.0786966 57.1992525, 14.0787019 57.1991064, 14.0787469 57.1989746, 14.0788605 57.198797, 14.0790165 57.1985822, 14.079077 57.1984694, 14.0791093 57.1984092)",,
259656055,False,2,127,secondary,90,True,12.214,"LINESTRING (14.0836656 57.1992247, 14.0834685 57.1991989)",,
350087967,False,2,127,secondary,90,True,14.82,"LINESTRING (14.0793356 57.1984615, 14.0791093 57.1984092)",Nydalavägen,
37408135,True,1,,motorway_link,120,False,411.784,"LINESTRING (14.0793356 57.1984615, 14.0790139 57.1988443, 14.0788896 57.199029, 14.0788447 57.1991608, 14.0788526 57.1992582, 14.0788923 57.1993685, 14.079043 57.199536, 14.0792465 57.1996578, 14.0794924 57.1997451, 14.0797938 57.1997981, 14.0801269 57.1997938, 14.0803701 57.199758, 14.0805737 57.1997007, 14.0807191 57.199632, 14.0809042 57.1995217, 14.0810363 57.1993597, 14.0811183 57.1991293, 14.081196 57.1986983, 14.0812766 57.1981792)",,
"[158215792, 158215793, 350087967]",False,2,127,secondary,90,False,198.144,"LINESTRING (14.0793356 57.1984615, 14.0797127 57.1985448, 14.0804185 57.1987006, 14.0811165 57.1988256, 14.0818378 57.198954, 14.0824329 57.1990585)",Nydalavägen,yes
350087967,False,2,127,secondary,90,False,14.82,"LINESTRING (14.0791093 57.1984092, 14.0793356 57.1984615)",Nydalavägen,
115907325,False,,E 4.17,secondary,90,True,170.67000000000002,"LINESTRING (14.0791093 57.1984092, 14.0785246 57.1982681, 14.0774958 57.1979873, 14.0765877 57.1977114)",Nydalavägen,
259656055,False,2,127,secondary,90,False,12.214,"LINESTRING (14.0834685 57.1991989, 14.0836656 57.1992247)",,
259656056,False,2,127,secondary,90,True,64.305,"LINESTRING (14.0834685 57.1991989, 14.0824329 57.1990585)",,
