osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,width
242161120,True,1,180,Randersvej,secondary,60,False,71.025,"LINESTRING (9.8001625 56.6335088, 9.8001776 56.6334453, 9.8001873 56.6333909, 9.8002568 56.6329987, 9.8003277 56.6328789)",,,
40580118,True,2,,Havnegade,unclassified,50,False,66.174,"LINESTRING (9.7987282 56.6393541, 9.7983826 56.6393144, 9.7976918 56.6391861)",,,
242177207,False,2,,Havnegade,unclassified,50,False,19.225,"LINESTRING (9.7987282 56.6393541, 9.798945 56.6394046, 9.7990226 56.6394126)",,,
104280141,False,,,Strandvej,unclassified,,True,57.518,"LINESTRING (9.7991486 56.6411852, 9.7992991 56.6411809, 9.8000705 56.6412746)",,,
147170135,False,,,Strandvej,unclassified,50,False,128.269,"LINESTRING (9.7991486 56.6411852, 9.7978012 56.6413913, 9.7972133 56.6415995)",,,
351235055,False,,,Horsøvej,unclassified,40,True,62.616,"LINESTRING (9.7991486 56.6411852, 9.7991144 56.6411037, 9.7991992 56.6406265)",,,
"[162067678, 162067679]",False,,,Horsøvej,unclassified,50,True,22.586,"LINESTRING (9.7991799 56.6400703, 9.7991674 56.6400126, 9.7991378 56.6398685)",yes,,
162067684,False,,,Nedre Strandvej,residential,40,False,134.011,"LINESTRING (9.7991799 56.6400703, 9.7993846 56.640048, 9.7999689 56.6400576, 9.8002699 56.6400753, 9.8006691 56.6401354, 9.8013024 56.6402743)",,,
351235055,False,,,Horsøvej,unclassified,40,False,62.089,"LINESTRING (9.7991799 56.6400703, 9.7992339 56.6403689, 9.7991992 56.6406265)",,,
379178235,False,2,579,Skivevej,secondary,50,False,186.696,"LINESTRING (9.7888095 56.6415129, 9.7886778 56.6414416, 9.7886239 56.6414125, 9.7884984 56.6413698, 9.7883222 56.6413391, 9.787935 56.6413017, 9.7877609 56.6412869, 9.787719 56.6412834, 9.7875031 56.6412651, 9.7870909 56.6412285, 9.7865874 56.6411715, 9.7859122 56.6410723)",,,
"[495908464, 495908465]",False,3,,Jernbanegade,tertiary,50,True,110.39599999999999,"LINESTRING (9.7888095 56.6415129, 9.7890427 56.6414384, 9.7891436 56.6414061, 9.7896121 56.6412564, 9.7896379 56.6412482, 9.7899062 56.6411624, 9.7901163 56.6410952, 9.7903705 56.641014)",,,
37720098,False,,,Stoldal,residential,,False,102.602,"LINESTRING (9.7964289 56.6327322, 9.7963275 56.6335343, 9.7963253 56.6335514, 9.7963125 56.6336527)",,,
146934283,False,,,Stoldal,residential,,True,95.16,"LINESTRING (9.7964289 56.6327322, 9.7960755 56.6327018, 9.7958249 56.6326899, 9.7955608 56.6326957, 9.7953601 56.6327091, 9.7948866 56.6327533)",,,
"[1218543064, 147170044, 763259016, 147327886]",False,"['2', '3']",,"['Adelgade', 'Jernbanegade']",tertiary,50,"[False, True]",87.075,"LINESTRING (9.7933288 56.6402502, 9.7931538 56.640206, 9.7930646 56.6402017, 9.7929839 56.6402083, 9.7928823 56.6402249, 9.7927679 56.6402579, 9.7925024 56.6403404, 9.7922084 56.6404396, 9.7920567 56.6404879)",,,
