osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,junction,tunnel
30688119,Fasanvej,residential,50,False,False,65.708,"LINESTRING (10.873826 56.4097862, 10.8743248 56.4096529, 10.8747877 56.4095291)",,,,,
"[24434960, 617759289, 614418365]",Århusvej,tertiary,50,False,True,151.44899999999998,"LINESTRING (10.873826 56.4097862, 10.8741306 56.4101276, 10.8742353 56.4102449, 10.8743693 56.4103951, 10.8745181 56.4105693, 10.8746468 56.410709, 10.8746974 56.4107669, 10.8748344 56.4109238, 10.874909 56.4110093)","['2', '3']",,,,
4994344,Sønderport,secondary,50,False,False,104.495,"LINESTRING (10.8755167 56.411763, 10.8752577 56.4118258, 10.8752175 56.4118346, 10.8751737 56.4118417, 10.8746226 56.4118986, 10.8738692 56.4119764)",2,O,,,
"[24434960, 102268394, 102268349]","['Søndergade', 'Århusvej']",tertiary,50,False,"[False, True]",91.778,"LINESTRING (10.8755167 56.411763, 10.8754243 56.4116458, 10.8753293 56.4115254, 10.8752532 56.4114289, 10.8751228 56.4112636, 10.8750995 56.4112341, 10.8750228 56.4111421, 10.8749575 56.4110638, 10.874909 56.4110093)",2,,yes,,
"[569713460, 332637591]",Søndergade,secondary,50,False,False,62.03999999999999,"LINESTRING (10.8755167 56.411763, 10.8755927 56.4118485, 10.8756687 56.411934, 10.8757458 56.4120202, 10.8758257 56.4121012, 10.8758482 56.41212, 10.8758743 56.4121364, 10.8759029 56.4121544, 10.8759338 56.4121709, 10.8759989 56.4121971, 10.8760625 56.4122205)","['2', '3']",O,,,
24434975,Ågade,residential,50,False,True,52.176,"LINESTRING (10.8738692 56.4119764, 10.8737169 56.4115148)",,,,,
4994344,Sønderport,secondary,50,False,True,104.495,"LINESTRING (10.8738692 56.4119764, 10.8746226 56.4118986, 10.8751737 56.4118417, 10.8752175 56.4118346, 10.8752577 56.4118258, 10.8755167 56.411763)",2,O,,,
612024033,Ågade,secondary,50,False,False,104.126,"LINESTRING (10.8738692 56.4119764, 10.8740562 56.4125069, 10.8741654 56.4128982)",2,O,,,
569713470,Ågade,residential,50,False,False,51.537000000000006,"LINESTRING (10.8741654 56.4128982, 10.8741787 56.4130241, 10.8742143 56.4133609)",,,,,
"[612024032, 612024031]",Posthaven,secondary,50,False,True,133.82,"LINESTRING (10.8741654 56.4128982, 10.8737926 56.4129214, 10.8736271 56.4129317, 10.8734158 56.4129449, 10.8732645 56.4129543, 10.8729443 56.4129743, 10.8726373 56.4129934, 10.8723199 56.4130132, 10.8721524 56.4130236, 10.8720036 56.4130329)",,O,,,
612024033,Ågade,secondary,50,False,True,104.126,"LINESTRING (10.8741654 56.4128982, 10.8740562 56.4125069, 10.8738692 56.4119764)",2,O,,,
5121257,,tertiary,50,True,False,17.737,"LINESTRING (10.8864195 56.4139643, 10.8864402 56.4139345, 10.8864764 56.4139097, 10.8865246 56.4138922, 10.8865802 56.4138836, 10.8866378 56.4138849)",1,,,roundabout,
"[604967080, 145911657]",Østerbrogade,tertiary,50,False,True,92.73100000000001,"LINESTRING (10.8864195 56.4139643, 10.8862967 56.4139568, 10.8862361 56.4139531, 10.8858922 56.4139321, 10.8854276 56.4139004, 10.8849784 56.4138666, 10.8849233 56.4138626)",2,,,,
5121257,,tertiary,50,True,False,18.502000000000002,"LINESTRING (10.8866378 56.4138849, 10.8866853 56.413894, 10.8867266 56.4139096, 10.8867589 56.4139309, 10.8867797 56.4139561, 10.8867877 56.4139835, 10.8867821 56.414011)",1,,,roundabout,
"[101994883, 604967094]",N P Josiassens Vej,tertiary,50,False,True,107.71499999999999,"LINESTRING (10.8866378 56.4138849, 10.8866585 56.4138201, 10.8867064 56.4136699, 10.886748 56.413543, 10.8867581 56.4135018, 10.8867698 56.4134441, 10.8867796 56.4133812, 10.8867843 56.4133207, 10.8867872 56.4132541, 10.8867892 56.4131843, 10.8867905 56.4131063, 10.8867873 56.4130345, 10.8867822 56.412967, 10.8867776 56.4129228)",2,,,,
5121258,,secondary,50,True,False,15.879,"LINESTRING (10.8793021 56.4134097, 10.8792666 56.4134018, 10.8792358 56.4133893, 10.8792096 56.4133714, 10.879193 56.4133504, 10.879187 56.4133276, 10.8791915 56.4133061, 10.8791979 56.4132969)",1,O,,roundabout,
