osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,width,access,bridge,tunnel
961274162,Løkkegade,residential,False,False,53.87799999999999,"LINESTRING (9.928775 57.0450073, 9.9288329 57.045132, 9.928932 57.0453585, 9.9289318 57.045389, 9.9288974 57.0454355, 9.9288551 57.0454712)",,,,,,,
145024129,Løkkegade,residential,False,True,25.584,"LINESTRING (9.9291028 57.0456577, 9.9288551 57.0454712)",30,,,,,,
72256467,Søndergade,residential,False,False,85.44399999999999,"LINESTRING (9.9291028 57.0456577, 9.9281467 57.0457089, 9.927697 57.045733)",,,,,,,
145024129,Løkkegade,residential,False,False,95.101,"LINESTRING (9.9291028 57.0456577, 9.9292148 57.0459073, 9.9294023 57.0463254, 9.9294225 57.04635, 9.9295118 57.0464173, 9.9295805 57.0464617)",30,,,,,,
88291585,Vesterbro,secondary,True,False,45.374,"LINESTRING (9.9145806 57.0470625, 9.9142677 57.0469012, 9.9142274 57.0468726, 9.9140704 57.0467648)",50,3,180;O1,,,,
"[362997600, 342957932, 362997598]",Vesterbro,secondary,False,True,51.734,"LINESTRING (9.9145806 57.0470625, 9.9146565 57.0471249, 9.9147208 57.0471777, 9.9147756 57.0472228, 9.9150464 57.0474527)",50,"['4', '5']",180;O1,,,,
286684707,Jyllandsgade,secondary,True,False,8.172,"LINESTRING (9.9252826 57.0425438, 9.9251485 57.0425349)",50,1,O1,,,,
369766474,Dag Hammarskjølds Gade,unclassified,True,False,33.252,"LINESTRING (9.9252826 57.0425438, 9.9252925 57.0426019, 9.9252965 57.0426817, 9.9252439 57.04284)",50,1,,,,,
834051028,Dag Hammarskjølds Gade,tertiary,True,False,14.346,"LINESTRING (9.9252398 57.0424169, 9.925262 57.042482, 9.9252826 57.0425438)",50,1,,,,,
286684709,Jyllandsgade,secondary,True,False,8.468,"LINESTRING (9.9250999 57.0424196, 9.9252398 57.0424169)",50,1,O1,,,,
