osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction
94598182,2,Skolegade,residential,50,False,False,122.48499999999999,"LINESTRING (11.3581253 55.4051197, 11.3581572 55.4050285, 11.3581944 55.4049219, 11.3582043 55.4045313, 11.3582097 55.4044101, 11.358213 55.4040221)",,
"[793711306, 410346100]",,Smedegade,tertiary,50,False,True,160.017,"LINESTRING (11.3581253 55.4051197, 11.3581842 55.4052029, 11.3583072 55.4053764, 11.3584767 55.4054977, 11.3586569 55.4055689, 11.3588899 55.405615, 11.3595363 55.4056581, 11.3598418 55.4056932, 11.360172 55.4057514)",,
756769045,,Smedegade,unclassified,50,False,False,55.974000000000004,"LINESTRING (11.3581253 55.4051197, 11.357974 55.4050913, 11.3575849 55.4048678, 11.3574226 55.4048326)",,
94160026,2,Rådhuspladsen,residential,50,False,False,70.13900000000001,"LINESTRING (11.3574226 55.4048326, 11.3573812 55.404868, 11.3572177 55.4049997, 11.3567928 55.4053522)",,
756769045,,Smedegade,unclassified,50,False,True,55.974000000000004,"LINESTRING (11.3574226 55.4048326, 11.3575849 55.4048678, 11.357974 55.4050913, 11.3581253 55.4051197)",,
262058909,,Løvegade,tertiary,50,False,False,49.239,"LINESTRING (11.350979 55.4038675, 11.3501992 55.4038744)",,
84040626,,H.P. Hansens Plads,residential,,False,False,148.328,"LINESTRING (11.350979 55.4038675, 11.3509881 55.4037567, 11.3510235 55.4036415, 11.3510722 55.4034894, 11.3511 55.4034025, 11.3511219 55.4033342, 11.3511689 55.4031875, 11.3511784 55.4031595, 11.3512297 55.4030077, 11.3512384 55.4029702, 11.3512846 55.402826, 11.3513312 55.4026804, 11.3513719 55.4025533)",,
262058909,,Løvegade,tertiary,50,False,True,87.318,"LINESTRING (11.350979 55.4038675, 11.3512822 55.4038741, 11.351909 55.4039064, 11.3523555 55.4039392)",,
262058909,,Løvegade,tertiary,50,False,True,49.239,"LINESTRING (11.3501992 55.4038744, 11.350979 55.4038675)",,
93882607,,H.P. Hansens Plads,residential,,True,False,104.43299999999999,"LINESTRING (11.3501992 55.4038744, 11.3501817 55.4037412, 11.3502435 55.403576, 11.3502916 55.4034197, 11.3503381 55.4032688, 11.3503849 55.4031171, 11.3504359 55.4029487)",,
262058909,,Løvegade,tertiary,50,False,False,104.40100000000001,"LINESTRING (11.3501992 55.4038744, 11.3496657 55.4039312, 11.3492794 55.4039925, 11.3488089 55.4041108, 11.3486279 55.4041522)",,
23453502,,Sønder Stationsvej,tertiary,50,False,True,258.598,"LINESTRING (11.3533307 55.4065854, 11.3530253 55.406624, 11.3524723 55.4066939, 11.352257 55.4067192, 11.3518124 55.4067715, 11.3504004 55.4069476, 11.3502241 55.4069696, 11.3501752 55.4069757, 11.3500571 55.4069904, 11.3498593 55.4069986, 11.3497543 55.4069942, 11.349313 55.4069787)",,
158021183,,Jernbanegade,tertiary,50,False,True,115.1,"LINESTRING (11.3533307 55.4065854, 11.3533282 55.4067327, 11.3533222 55.4070903, 11.3533402 55.4076204)",,
"[84041441, 262057813]",2,"['Jernbanegade', 'Frederiksgade']",tertiary,50,False,False,258.506,"LINESTRING (11.3533307 55.4065854, 11.3533287 55.4064659, 11.3533235 55.4061499, 11.3533229 55.4061133, 11.3533152 55.4056449, 11.3533123 55.4054682, 11.3533063 55.4051077, 11.3533033 55.404923, 11.3529351 55.4049124, 11.3528257 55.4049091, 11.3521384 55.4048882)",,
