osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,junction,tunnel,access
498362257,2,Viborgvej,tertiary,50,False,True,5.526,"LINESTRING (8.6235885 56.3580446, 8.623678 56.3580413)",,,,,
55727560,1,Sønderbrogade,tertiary,50,True,False,187.558,"LINESTRING (8.6235885 56.3580446, 8.6232309 56.3565872, 8.6231217 56.3563799)",,,,,
211869063,2,Frøjkvej,secondary,60,False,False,38.522,"LINESTRING (8.6103755 56.3601067, 8.6109917 56.3601658)",521,,,,
242636366,2,Frøjkvej,secondary,60,False,True,72.983,"LINESTRING (8.6103755 56.3601067, 8.6092046 56.3600064)",521,,,,
52907500,,Vesterbrogade,tertiary,40,False,True,252.748,"LINESTRING (8.6103755 56.3601067, 8.6103856 56.3600282, 8.6103776 56.3599519, 8.6103469 56.359873, 8.6100826 56.3594534, 8.6099484 56.3592402, 8.6095537 56.3585726, 8.6091805 56.3579411)",,,,,
99607950,2,Helgolandsgade,tertiary,50,False,True,42.893,"LINESTRING (8.6152576 56.3555213, 8.6150187 56.3555208, 8.6145614 56.3555172)",,,,,
"[498336843, 498309283]","['2', '3']",Helgolandsgade,tertiary,50,False,False,82.0,"LINESTRING (8.6152576 56.3555213, 8.6155276 56.3555218, 8.6161036 56.3555197, 8.6165886 56.3555179)",,,,,
"[25570464, 55727577, 498309284, 55727550]",4,Sønderbrogade,tertiary,"['60', '50']",False,False,207.126,"LINESTRING (8.6152576 56.3555213, 8.6152181 56.3556553, 8.6152122 56.3556856, 8.6151286 56.3560185, 8.6149734 56.3565523, 8.6149466 56.356647, 8.6149358 56.3566851, 8.6148567 56.3569721, 8.6147466 56.3573623)",,yes,,,
498321114,2,Nørrebrogade,tertiary,60,True,False,10.175,"LINESTRING (8.6119391 56.3602973, 8.6118812 56.360383)",,,,,
93264995,2,Slotsvænget,residential,,False,False,33.651,"LINESTRING (8.6145489 56.358134, 8.6140061 56.3581)",,,,,
158237031,,Kirkestræde,residential,,False,True,33.864999999999995,"LINESTRING (8.6145489 56.358134, 8.6147819 56.3581495, 8.6150932 56.3581764)",,,,,
"[166274083, 498321115]","['2', '4']",Nørrebrogade,tertiary,60,True,False,155.83100000000002,"LINESTRING (8.6145489 56.358134, 8.6145833 56.3582634, 8.6144203 56.3585442, 8.6141959 56.3587899, 8.6139461 56.3590025, 8.6134374 56.359349)",,,,,
"[498321120, 55727577]","['4', '5']",Sønderbrogade,tertiary,60,False,True,86.674,"LINESTRING (8.6145489 56.358134, 8.6145793 56.3579941, 8.6146681 56.3576505, 8.6147466 56.3573623)",,,,,
25682200,,Vestergade,residential,,False,False,31.869,"LINESTRING (8.6138588 56.3587227, 8.6136343 56.3587703, 8.6133756 56.3588251)",,,,,
55727551,,Åglimt,residential,,False,False,35.934,"LINESTRING (8.6133756 56.3588251, 8.6131495 56.3585272)",,,,,
25682200,,Vestergade,residential,,False,False,48.472,"LINESTRING (8.6133756 56.3588251, 8.6129594 56.3589324, 8.6126825 56.3590296)",,,,,
25682200,,Vestergade,residential,,False,True,31.869,"LINESTRING (8.6133756 56.3588251, 8.6136343 56.3587703, 8.6138588 56.3587227)",,,,,
106061769,,Sanct Jørgens Bakke,residential,,False,False,75.214,"LINESTRING (8.6166286 56.360447, 8.616735 56.3605197, 8.6168091 56.3605703, 8.6168592 56.3606046, 8.6172983 56.3610109)",,,,,
94816122,,Sanct Jørgens Gade,residential,,False,False,31.375,"LINESTRING (8.6172983 56.3610109, 8.6168322 56.3611247)",,,,,
94816127,,Sanct Jørgens Gade,residential,,False,True,57.029,"LINESTRING (8.6172983 56.3610109, 8.6175751 56.3609521, 8.6180687 56.3608918, 8.6181897 56.360877)",,,,,
106061769,,Sanct Jørgens Bakke,residential,,False,True,75.214,"LINESTRING (8.6172983 56.3610109, 8.6168592 56.3606046, 8.6168091 56.3605703, 8.616735 56.3605197, 8.6166286 56.360447)",,,,,
106061767,,Kirkestræde,residential,,False,False,70.613,"LINESTRING (8.6147754 56.3594667, 8.6149618 56.3594553, 8.615916 56.3594034)",,,,,
25777870,1,Holstebro midt,tertiary,50,True,False,13.255999999999998,"LINESTRING (8.6211578 56.3626643, 8.6211347 56.3626602, 8.621093 56.3626474, 8.6210594 56.3626286, 8.6210366 56.3626053, 8.6210264 56.3625795)",,,roundabout,,
25777870,1,Holstebro midt,tertiary,50,True,False,12.756,"LINESTRING (8.6213635 56.3625585, 8.6213634 56.3625872, 8.6213476 56.3626145, 8.6213177 56.3626379, 8.6212764 56.3626552)",,,roundabout,,
498383613,1,Lægårdvej,tertiary,40,True,False,33.722,"LINESTRING (8.6213635 56.3625585, 8.621401 56.3625943, 8.6214568 56.3626233, 8.6215355 56.3626551, 8.6217855 56.3627458)",,,,,
25777870,1,Holstebro midt,tertiary,50,True,False,15.693,"LINESTRING (8.6210485 56.3625257, 8.6210802 56.3625036, 8.6211223 56.3624877, 8.621171 56.3624795, 8.621222 56.3624796, 8.6212706 56.3624881)",,,roundabout,,
